,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10
46,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,3,0,2,0,3,0,0,2,2,0,3,5,7,0,-1,0,1,0,1,0,0,1,1,0,0
47,0,1,2,3,3,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,4,4,2,3,0,1,0,3,4,0,1,1,0,-1,0,1,0,0,0,0,0,1,0,1
48,0,0,0,0,0,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,4,4,0,0,2,2,0,3,5,4,0,-1,0,1,0,0,0,1,0,1,0,0
49,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,2,6,2,0,0,2,0,3,5,3,0,0,-1,0,0,0,0,1,1,0,0,0,0
50,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,1,4,0,0,2,0,2,2,3,7,0,-1,0,1,0,0,0,0,0,1,1,0
51,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,0,2,0,2,2,2,5,0,-1,0,1,0,0,1,1,0,0,0,0
52,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,0,2,0,2,2,5,7,0,-1,0,0,0,0,0,1,0,0,0,1
53,0,1,1,1,1,1,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,5,4,1,0,1,1,1,1,4,4,6,0,-1,0,1,1,1,0,0,0,0,1,1
54,0,0,0,0,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,0,2,7,0,0,2,0,3,4,4,0,0,-1,1,1,1,0,1,1,0,0,0,1
55,0,0,0,0,2,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,1,4,0,0,2,2,0,3,5,7,0,-1,1,1,0,1,1,0,1,0,1,0
56,0,1,1,1,1,1,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,0,7,0,1,1,1,1,1,6,6,0,-1,0,0,0,0,0,0,1,1,1,1
57,0,1,2,3,3,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,1,4,4,2,0,1,0,3,4,0,1,1,0,-1,0,0,0,1,1,0,1,0,0,0
58,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,5,4,0,0,2,0,2,2,2,5,0,-1,0,0,0,1,1,1,0,0,1,0
59,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,3,2,5,7,0,0,2,2,0,3,5,7,0,-1,1,1,1,0,0,1,0,1,1,1
60,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,2,2,6,3,0,0,2,2,0,3,5,7,0,-1,0,0,1,1,1,1,0,0,1,1
61,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,0,0,6,0,0,2,2,0,3,5,7,0,-1,0,0,0,0,0,1,1,0,0,0
62,0,1,2,3,3,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,1,4,3,0,1,0,3,4,0,1,1,0,-1,0,1,1,0,0,0,0,1,0,1
63,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,1,1,2,0,0,2,2,0,3,5,7,11,-1,0,1,0,1,0,0,0,0,0,1
64,0,1,2,3,3,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,1,4,7,0,1,0,3,4,0,1,1,0,-1,0,1,1,0,1,1,0,0,1,0
65,0,1,2,3,1,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,1,3,7,0,1,0,3,4,0,1,1,0,-1,1,0,0,0,1,1,0,1,1,0
66,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,3,2,2,0,0,2,2,0,3,5,7,0,-1,1,0,0,0,1,1,0,1,0,1
67,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,1,4,0,0,2,0,2,2,5,7,0,-1,0,0,0,1,0,0,0,1,1,1
68,0,1,2,3,3,5,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,2,0,0,0,1,0,3,4,0,0,2,13,-1,1,1,0,1,1,0,1,1,1,1
69,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,1,4,0,0,2,0,2,2,5,7,0,-1,1,1,0,1,1,1,1,0,0,0
70,0,1,1,1,1,1,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,0,1,5,0,1,1,1,1,4,4,6,0,-1,0,0,0,1,1,0,1,1,1,0
71,0,0,2,3,3,5,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,0,0,2,0,3,0,2,11,-1,0,0,0,0,0,0,0,1,1,0
72,0,1,2,3,3,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,5,1,6,0,1,0,3,4,0,1,1,7,-1,0,1,1,0,1,1,0,0,0,1
73,0,0,0,0,0,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,3,0,0,0,0,2,0,4,4,4,0,-1,1,0,0,0,0,0,0,1,1,1
74,0,0,0,0,2,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,1,4,0,0,2,0,2,2,5,4,0,-1,1,0,0,1,1,0,1,1,1,1
75,0,1,1,1,1,1,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,2,3,1,0,1,1,1,1,4,4,6,0,-1,0,0,1,0,1,0,1,1,0,0
76,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,4,6,7,0,0,2,2,0,3,5,7,0,-1,0,0,0,0,0,0,1,1,0,0
77,0,1,1,2,4,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,3,2,4,0,1,1,1,1,1,6,3,7,-1,1,1,0,1,0,1,1,0,1,0
78,0,1,1,2,4,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,4,3,1,0,1,1,1,1,1,6,3,5,-1,1,0,0,0,0,1,0,0,1,1
79,0,0,0,0,2,2,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,1,4,0,0,2,2,0,3,5,4,0,-1,1,1,0,1,1,0,0,1,0,1
80,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,4,6,2,0,0,2,2,0,3,5,7,0,-1,1,1,0,1,1,0,1,0,0,1
81,0,1,2,3,3,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,3,3,7,0,1,0,3,4,0,1,1,0,-1,1,1,1,1,1,1,1,1,1,0
82,0,1,1,2,4,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,4,5,0,0,1,1,1,1,1,6,3,4,-1,0,0,1,0,1,1,1,1,1,1
83,0,1,1,1,1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,4,4,1,0,1,1,1,1,1,6,6,6,-1,0,1,0,1,1,0,0,1,1,0
84,0,0,0,0,0,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,4,4,0,0,2,2,0,3,5,7,0,-1,1,0,1,1,0,0,1,0,0,1
85,0,1,1,1,1,1,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,0,2,7,0,1,1,1,1,4,4,6,0,-1,0,0,1,1,0,0,1,1,1,0
86,0,0,0,0,0,3,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,4,4,1,0,0,2,2,0,4,4,4,0,-1,1,0,0,1,1,1,0,0,0,0
87,0,1,1,1,1,1,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,3,3,1,0,1,1,1,1,4,4,6,0,-1,0,0,0,1,1,1,1,0,1,0
88,0,0,0,0,0,3,5,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,5,2,0,0,2,2,0,3,5,4,0,-1,0,1,0,0,1,1,1,1,0,1
89,0,1,2,3,0,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,5,6,6,0,0,0,2,0,4,4,4,0,-1,0,1,0,1,0,1,0,1,1,1
90,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,3,2,7,0,0,2,0,3,5,3,0,0,-1,1,1,0,1,0,0,0,1,1,1
91,0,0,0,0,0,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,5,4,3,0,0,2,2,0,4,4,4,0,-1,0,1,1,1,0,0,0,1,1,1
92,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,1,4,0,0,2,0,2,2,2,5,0,-1,1,0,0,0,1,0,1,0,1,0
93,0,0,0,0,2,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,1,4,0,0,2,0,0,3,5,4,0,-1,0,1,1,1,1,0,1,1,0,0
94,0,1,2,1,1,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,5,4,3,0,1,0,3,4,0,1,1,0,-1,1,0,0,0,1,0,1,0,0,0
95,0,1,1,1,1,1,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,4,0,0,1,1,1,1,4,4,6,0,-1,1,0,0,1,1,0,1,1,0,1
96,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,3,0,6,0,0,2,2,0,3,5,7,0,-1,1,1,1,0,1,0,0,0,1,1
97,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,2,0,6,3,0,0,2,2,0,3,5,7,0,-1,1,1,1,1,1,1,0,0,1,0
98,0,0,0,0,0,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,4,4,0,0,2,2,0,3,5,4,0,-1,1,1,0,0,1,0,1,1,0,1
99,0,0,2,3,0,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,3,0,3,2,0,0,0,2,0,3,4,4,0,-1,0,0,1,0,0,1,1,1,0,0
100,0,0,0,0,2,2,5,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,2,1,0,0,2,0,3,5,3,0,0,-1,0,0,1,0,0,0,1,0,1,1
101,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,3,2,5,2,0,0,2,2,0,3,5,7,0,-1,1,1,1,1,0,1,0,1,1,1
102,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,1,4,0,0,2,0,3,5,3,0,0,-1,0,1,1,0,1,0,0,1,0,0
103,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,5,2,0,0,2,2,0,3,5,7,0,-1,0,1,1,1,0,0,1,0,1,1
104,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,0,0,4,0,0,2,2,0,3,5,7,0,-1,0,1,0,0,0,0,1,0,1,1
105,0,1,2,3,3,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,3,5,1,6,0,1,0,3,4,0,1,1,0,-1,0,1,1,0,1,1,1,1,1,0
106,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,3,5,2,0,0,0,2,0,3,5,7,0,-1,1,1,0,0,0,1,1,1,0,0
107,0,0,0,0,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,0,2,0,2,2,5,4,0,-1,1,0,1,0,0,1,0,1,0,1
108,0,1,1,2,4,0,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,2,3,7,0,1,1,1,1,1,6,3,4,-1,1,1,0,0,1,0,1,0,1,0
109,0,0,0,0,0,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,0,4,0,0,2,2,0,3,5,4,0,-1,1,1,1,1,1,1,0,1,0,0
110,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,4,0,5,3,0,0,2,2,0,3,5,7,0,-1,1,0,1,1,1,1,1,1,1,1
111,0,0,2,3,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,5,6,4,0,0,0,2,0,3,0,2,0,-1,1,1,1,1,1,0,1,0,0,0
112,0,1,2,3,3,5,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,0,3,4,0,0,2,11,-1,1,1,0,1,1,1,0,0,1,0
113,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,0,1,4,0,0,0,2,0,3,0,2,0,-1,0,1,1,1,0,0,0,0,0,1
114,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,2,2,0,0,0,2,2,0,3,5,7,0,-1,0,0,0,1,0,0,1,1,0,1
115,0,0,0,0,0,3,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,4,4,0,0,2,2,0,3,5,4,0,-1,1,1,0,1,1,0,0,0,1,1
116,0,0,0,0,0,3,3,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,3,2,7,0,0,0,2,0,3,0,2,11,-1,1,0,1,1,0,0,1,1,0,1
117,0,1,2,3,3,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,4,2,0,4,0,1,0,3,4,0,1,1,0,-1,0,1,0,0,1,0,0,1,0,1
118,0,1,2,3,3,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,3,5,3,0,1,0,3,4,0,1,1,0,-1,1,1,1,0,1,1,1,1,0,0
