,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n0,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8
10,0,1,0,1,2,4,1,4,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,5,5,0,0,1,0,2,2,2,3,1,2,0
11,0,1,2,2,3,3,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,2,1,1,3,0,2,1,3,1
12,0,0,1,0,0,2,2,2,12,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,0,2,3,0,6,6,0,0,0,0,3,1,3,3,3,0,1
13,0,0,1,0,4,2,3,1,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,4,5,1,0,0,0,3,3,3,1,1,0,1,1,0
14,0,1,2,2,3,5,6,0,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,3,0,2,2,1,0,0,2,1,1,2,2,2,1,2,1
15,0,0,2,3,1,1,0,3,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,0,0,3,1,3,0,2,2,3
16,0,0,1,3,1,1,3,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,4,5,1,4,0,0,0,2,3,3,3,3,3,2,2
17,0,0,1,0,4,2,5,6,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,3,7,0,0,0,1,3,2,1,0,1,0,3
18,0,0,2,3,1,1,0,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,2,2,2,0,0,3,0,3,0
19,0,0,1,0,4,2,3,1,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,1,0,2,4,5,1,0,0,0,1,0,0,0,0,1,2,2,1
20,0,1,0,1,2,4,1,7,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,1,2,0,0,3,0,0,2,2,0,0,2,1,0,0,1
21,0,0,2,3,1,1,0,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,3,1,0,1,0,3,1,0,1
22,0,1,2,2,3,3,4,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,1,0,0,3,2,1,3,2,0,0,3,3
23,0,0,2,3,1,1,0,3,21,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,2,0,3,2,2,3,2,3,1
24,0,0,1,0,4,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,4,5,1,0,0,0,0,3,3,0,2,0,0,0,2
25,0,1,2,2,3,3,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,1,0,2,2,0,1,0,0,3
26,0,0,1,3,1,1,3,1,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,1,0,0,4,5,1,0,0,0,1,2,0,1,3,3,3,3,2
27,0,0,1,0,4,2,5,6,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,4,5,3,0,0,0,1,0,2,2,0,1,3,3,2
28,0,1,0,1,2,4,1,4,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,5,5,0,0,1,1,3,2,3,3,2,2,2
29,0,0,2,3,1,1,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,0,2,3,2,1,2,1,2,1
30,0,0,2,3,1,1,0,0,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,0,0,1,2,2,1,0,0,1,2,3,2,1,0,1,3,0
31,0,1,2,2,3,3,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,0,0,2,3,1,2,2,0,1
32,0,1,0,1,2,4,1,4,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,5,5,0,0,3,3,2,0,2,1,3,0,3
33,0,0,1,0,4,2,5,6,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,2,4,5,1,0,0,0,0,3,1,1,1,2,1,3,0
34,0,1,2,2,3,3,4,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,3,1,2,3,2,2,2,1,1
35,0,1,0,1,0,0,6,7,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,2,1,2,0,0,3,0,0,1,1,0,2,0,1,2,0,1
36,0,1,0,1,0,0,2,2,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,2,1,2,0,0,6,0,0,2,3,3,1,2,1,3,0,3
37,0,1,2,2,3,3,4,5,30,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,0,0,2,0,0,3,2,3,0,2,2,1,3,3
38,0,1,0,1,2,4,1,7,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,0,3,0,0,3,0,1,2,1,1,1,1,2
39,0,0,1,0,4,2,5,6,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,3,7,0,0,0,2,0,1,2,1,1,0,1
40,0,0,2,3,1,5,6,0,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,0,0,1,2,2,1,0,0,2,1,0,1,0,2,0,3,2
41,0,1,2,2,3,5,6,0,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,3,0,0,0,1,0,0,3,1,2,2,1,1,1,1,2
42,0,1,2,2,3,3,4,5,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,0,1,2,0,2,2,2,0,2
43,0,1,0,1,2,4,1,7,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,1,2,0,0,3,0,0,1,3,3,3,2,3,0,2,1
44,0,0,1,0,0,0,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,0,2,3,1,6,6,0,0,3,3,3,2,3,0,2,0,1
45,0,0,1,0,4,2,5,6,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,3,7,0,0,1,1,1,3,0,2,3,1,1
46,0,0,2,3,1,1,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,3,2,3,0,0,1,2,2,2
47,0,0,1,3,1,1,3,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,4,5,1,4,0,0,3,1,2,3,3,2,3,2,1
48,0,0,2,3,1,1,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,2,1,0,1,2,0,3,0,3
49,0,0,2,3,1,5,6,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,0,0,1,0,2,1,0,0,3,0,0,3,1,0,1,2,3
50,0,0,2,3,1,1,0,3,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,0,0,2,3,1,0,0,1,0
51,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,2,2,3,1,6,6,0,0,1,1,0,0,0,2,0,3,3
52,0,0,2,3,1,1,0,3,36,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,1,0,2,1,2,0,3,3,3
53,0,0,1,0,0,0,2,2,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,0,2,3,0,6,6,0,0,1,0,0,0,1,1,1,3,3
54,0,0,2,3,1,1,0,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,1,4,0,0,3,1,2,2,0,3,1,0,2
55,0,1,0,1,2,4,1,4,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,5,5,0,0,0,3,3,1,3,3,2,3,3
56,0,1,0,2,3,5,6,7,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,1,3,0,0,0,3,0,0,3,3,3,1,2,3,2,0,0
57,0,0,1,3,4,2,3,1,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,1,0,2,4,5,1,0,0,0,2,2,1,3,3,2,2,1,1
58,0,1,0,1,2,4,1,7,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,0,3,0,0,0,1,3,2,3,0,3,0,1
59,0,0,1,3,1,5,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,1,0,2,4,5,1,0,0,0,3,0,3,0,2,2,0,0,0
60,0,0,2,3,1,5,3,1,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,1,0,0,4,5,1,0,0,0,3,2,2,0,3,1,1,2,0
61,0,0,1,0,4,2,5,6,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,3,7,0,0,2,3,0,3,1,3,2,3,0
62,0,1,0,2,3,3,6,7,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,3,0,0,0,3,0,0,3,3,2,2,3,3,2,1,3
63,0,0,1,0,4,2,3,1,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,4,5,1,0,0,0,2,2,1,0,2,2,2,0,3
64,0,1,0,1,0,0,2,2,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,2,2,3,1,6,6,0,0,3,1,2,0,1,1,3,0,2
65,0,0,1,0,0,0,5,6,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,0,2,2,3,1,6,6,0,0,0,1,3,1,0,1,2,0,0
66,0,1,2,2,3,3,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,2,1,1,2,1,3,3,3,3
67,0,1,2,2,3,3,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,0,3,1,0,1,0,1,3,1
68,0,0,1,0,0,5,6,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,1,0,2,4,0,0,6,0,0,0,0,0,3,1,0,3,2,2
69,0,0,2,3,1,5,6,0,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,0,0,1,2,2,1,0,0,0,0,3,1,3,1,1,1,2
70,0,1,2,2,3,3,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,1,1,1,0,0,2,2,3,3
71,0,1,0,2,3,3,4,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,1,3,2,0,0,2,3,0,3
72,0,0,1,0,4,2,5,1,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,3,1,6,0,0,0,2,0,0,3,3,3,2,1,0
73,0,0,2,3,1,1,0,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,1,0,0,0,2,2,1,2,3,1,3,3
74,0,0,1,3,1,1,3,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,4,5,1,4,0,0,0,0,1,1,2,3,3,3,0
75,0,1,0,1,0,0,2,2,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,1,2,0,6,6,0,0,1,0,1,2,2,0,1,0,1
76,0,1,2,2,3,3,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,3,1,1,1,3,1,0,3,0
77,0,1,0,1,2,4,2,4,47,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,0,2,1,2,3,6,6,0,0,0,3,1,1,2,3,0,0,2
78,0,0,2,3,1,5,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,0,0,1,0,2,1,0,0,1,1,2,1,2,3,2,1,3
79,0,0,1,0,4,2,5,6,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,3,7,0,0,2,2,0,1,3,3,3,0,0
80,0,1,0,2,3,3,4,7,48,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,5,0,1,1,3,0,4,4,2,0,0,2,3,2,1,3,2,3,3,1
81,0,1,2,2,3,5,6,0,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,3,0,0,0,1,0,0,3,0,2,3,0,3,0,1,3
82,0,1,0,1,2,4,1,7,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,1,2,0,0,3,0,0,0,0,3,2,2,1,3,3,2
83,0,1,0,1,2,4,1,4,50,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,0,3,0,0,1,1,0,3,2,1,0,3,2
84,0,0,2,2,3,5,6,0,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,1,3,1,2,2,1,0,0,1,3,3,0,3,1,1,3,2
85,0,1,0,1,0,0,2,2,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,1,2,0,6,6,0,0,3,2,0,0,1,1,0,1,2
86,0,1,0,2,2,4,1,7,51,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,7,0,0,2,1,2,0,0,3,0,0,1,3,2,3,2,3,2,3,2
87,0,1,0,1,2,4,1,4,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,5,5,0,0,1,3,2,3,3,0,0,3,3
88,0,0,2,3,1,5,6,0,-1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,0,0,1,2,2,1,0,0,3,2,0,0,1,2,1,0,2
89,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,2,2,3,1,6,6,0,0,2,1,0,3,2,2,3,3,2
90,0,0,1,3,1,1,3,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,4,5,1,0,0,0,3,0,2,0,3,2,1,1,1
91,0,0,1,0,4,2,5,1,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,3,1,6,0,0,0,3,2,2,0,1,3,3,3,2
92,0,0,1,0,4,2,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,4,5,1,0,0,0,2,1,0,0,3,1,1,2,3
93,0,0,1,3,1,1,3,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,0,0,4,5,1,0,0,0,2,3,2,2,0,2,1,1,0
94,0,0,2,3,1,1,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,3,3,0,2,1,3,3,1,1
95,0,0,1,0,4,2,5,6,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,3,7,0,0,0,2,1,3,2,0,2,1,2
96,0,0,1,0,4,2,3,1,53,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,4,5,1,0,0,0,2,3,2,3,3,1,1,1,3
97,0,0,2,3,1,1,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,3,1,1,0,0,2,1,1,2
98,0,1,0,1,2,4,1,4,54,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,0,3,0,0,1,0,2,3,3,1,0,3,1
99,0,0,1,0,4,2,5,6,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,3,7,0,0,0,3,2,1,3,3,0,3,2
100,0,1,0,2,3,3,4,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,1,1,2,1,3,0,1,2,2
101,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,1,3,1,6,6,0,0,2,1,3,2,3,1,2,3,2
102,0,1,0,1,2,4,1,7,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,1,2,0,0,3,0,0,0,3,0,0,0,2,0,2,3
103,0,1,0,1,2,4,1,7,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,1,2,0,0,3,0,0,3,2,2,1,1,3,1,2,3
104,0,1,0,1,2,4,1,4,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,5,5,0,0,0,0,1,1,1,0,1,1,0
105,0,1,0,1,2,4,1,4,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,1,2,3,5,5,0,0,2,0,0,0,0,3,1,3,1
106,0,0,1,0,4,2,3,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,4,5,1,0,0,0,0,2,0,1,3,0,3,3,0
107,0,0,2,3,1,1,0,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,3,2,1,0,2,0,2,3,0
108,0,1,0,1,0,0,2,2,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,2,1,2,0,0,3,0,0,3,3,1,2,1,0,2,2,2
109,0,0,1,3,1,1,3,1,35,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,0,0,4,5,1,4,0,0,0,3,2,2,2,1,1,3,2
110,0,0,1,0,4,2,3,1,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,0,2,4,5,1,0,0,0,3,3,1,0,3,2,1,0,1
111,0,1,0,1,2,4,1,7,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,0,2,1,2,3,0,3,0,0,0,3,1,0,0,3,0,0,3
112,0,0,1,0,4,2,5,6,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,3,7,0,0,0,1,1,2,2,2,2,1,0
113,0,0,2,3,1,5,6,0,56,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0,1,0,0,1,0,0,1,0,0,0,3,1,0,0,2,0,3,3
114,0,0,2,3,1,1,0,3,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,0,0,1,0,0,1,2,2,1,0,0,0,3,2,0,2,0,1,1,1
115,0,0,2,3,1,1,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,2,0,0,0,3,3,1,1,0
116,0,0,1,0,0,0,2,1,58,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,0,2,3,0,6,6,0,0,3,2,2,3,0,3,2,0,0
117,0,0,1,0,4,2,5,6,59,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,6,6,0,0,0,2,3,2,0,2,3,3,2
118,0,1,2,2,3,3,4,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,3,2,2,2,3,3,2,2,3
119,0,0,2,3,1,1,0,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,2,0,3,0,0,0,3,2,2
120,0,0,2,3,1,1,0,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,3,0,0,0,1,0,1,0,0
121,0,1,0,1,0,0,2,2,-1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,2,2,3,0,6,6,0,0,3,3,1,3,2,0,0,0,2
122,0,1,0,2,3,3,4,7,60,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,1,3,0,4,0,2,0,0,1,3,2,1,1,2,1,1,3
123,0,0,2,3,1,1,0,3,61,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,1,1,0,1,1,0,0,0,0
124,0,1,2,2,3,3,6,5,62,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,1,0,0,1,1,2,1,1,2,0,3,1
125,0,0,2,3,1,1,0,3,63,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,0,0,1,2,2,4,0,0,0,1,3,0,0,1,2,3,2
126,0,1,0,2,3,3,6,7,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,1,3,0,0,0,3,0,0,1,3,3,0,2,2,2,3,3
127,0,1,2,2,3,3,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,1,0,0,3,2,3,2,0,3
128,0,0,1,0,4,2,5,6,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,3,1,3,7,0,0,1,0,0,1,3,1,2,0,3
129,0,1,0,1,2,4,1,7,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,1,2,0,0,3,0,0,3,1,1,0,3,1,0,3,3
130,0,1,2,2,3,5,6,7,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,1,3,0,0,0,3,0,0,0,1,3,0,0,2,2,0,2
131,0,0,1,0,4,2,5,6,64,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,1,0,0,0,2,3,1,6,6,0,0,3,2,3,1,3,0,2,2,0
132,0,1,2,2,3,3,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,0,4,4,2,0,0,1,0,1,1,2,1,3,2,0
133,0,1,2,2,3,5,6,0,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,1,3,0,0,0,1,0,0,2,1,3,3,2,2,1,2,3
