,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46
10,0,0,0,1,1,5,2,7,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,0,1,0,4,5,0,0,0,0,2,2,2,3,1,2,0,2,0,2,2,3,0,1,1,0,0,0,3,3,3,3,0,1,0,1,3,1,1,2,2,3,2,3,3,2,0,3,2,2,2,3,2,1,3
11,0,0,1,0,4,2,4,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,3,0,0,1,1,3,0,2,1,3,1,0,1,0,1,2,1,2,0,3,2,2,2,1,0,2,3,0,2,2,3,3,2,0,1,2,2,3,2,1,0,3,3,1,2,2,0,0,0
12,0,1,2,2,0,1,5,4,12,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,1,3,2,3,2,2,0,0,0,3,1,3,3,3,0,1,3,1,1,0,0,0,3,0,0,1,2,0,2,1,1,3,0,1,3,0,1,3,2,3,0,1,0,0,3,2,3,3,0,2,2,3,3,3
13,0,1,2,2,3,0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,1,3,3,1,1,5,0,0,3,3,1,1,0,1,1,0,0,2,0,1,2,1,1,2,0,1,1,2,0,2,3,2,0,1,3,0,2,1,2,1,2,2,0,0,0,2,1,2,0,2,2,3,1,2
14,0,0,1,0,4,2,6,6,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,2,0,4,5,4,1,0,0,1,1,2,2,2,1,2,1,2,0,0,1,2,2,1,0,3,1,1,0,2,2,2,3,1,3,2,1,2,3,2,2,1,1,1,3,1,1,2,3,3,3,3,2,2,0
15,0,1,1,3,2,3,3,1,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,5,4,4,0,0,0,3,1,3,0,2,2,3,1,1,1,1,2,1,1,2,1,3,2,1,3,0,3,3,1,3,1,0,0,3,2,1,3,1,3,3,3,1,1,3,3,0,0,1,1,0
16,0,1,2,3,2,0,3,1,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,3,1,1,4,0,0,2,3,3,3,3,3,2,2,0,0,0,2,2,3,3,2,2,2,2,2,0,1,1,3,3,1,2,0,1,1,2,0,1,0,2,2,3,1,0,3,2,3,3,3,1,3
17,0,1,2,2,3,4,0,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,1,3,2,2,6,6,0,0,1,3,2,1,0,1,0,3,1,2,1,3,1,2,3,2,1,2,2,2,1,0,0,3,0,1,2,2,3,1,2,3,1,1,0,2,2,0,0,3,2,3,3,3,2,3
18,0,1,1,3,2,3,3,1,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,5,4,4,0,0,2,2,0,0,3,0,3,0,3,0,0,2,1,3,0,0,1,2,0,3,1,2,1,3,1,0,1,2,3,1,2,1,3,2,2,2,0,3,0,1,0,3,2,3,0,2
19,0,1,2,2,3,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,0,1,3,3,1,1,5,0,0,0,0,0,0,1,2,2,1,1,2,1,2,2,0,2,0,0,0,3,3,1,1,2,3,1,2,0,3,1,1,1,3,0,1,3,3,0,1,2,0,0,2,3,3,3,2
20,0,0,0,1,1,5,1,0,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,0,1,0,3,0,7,0,0,2,0,0,2,1,0,0,1,1,0,0,0,1,3,2,1,2,1,3,0,1,3,3,1,3,0,2,0,0,3,1,1,2,2,3,1,3,3,1,1,2,1,3,2,2,3
21,0,1,1,3,2,3,3,1,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,5,4,4,0,0,1,0,1,0,3,1,0,1,0,3,2,1,3,0,3,3,2,3,3,1,2,2,1,2,3,1,2,0,2,2,3,2,3,0,0,1,2,2,0,1,1,0,1,1,0,3
22,0,0,1,0,4,2,4,3,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,1,0,0,2,1,3,2,0,0,3,3,0,0,0,0,0,1,0,2,3,3,0,2,2,1,1,3,0,2,3,3,3,2,3,3,0,1,0,2,0,1,1,1,1,1,1,1,1,2
23,0,1,1,3,2,3,3,1,21,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,5,4,4,0,0,0,3,2,2,3,2,3,1,0,0,1,0,2,2,1,2,3,3,3,2,0,3,0,3,3,3,3,1,0,0,0,0,3,0,1,0,0,1,0,0,3,3,3,0,0,2
24,0,1,2,2,3,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,1,3,3,1,1,5,0,0,3,3,0,2,0,0,0,2,2,3,2,1,0,2,3,0,2,0,3,2,2,0,0,1,3,2,3,2,0,0,1,2,2,2,0,0,2,1,2,0,0,3,2,1,2,2
25,0,0,1,0,4,2,4,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,3,0,0,0,2,2,0,1,0,0,3,3,3,1,2,3,0,1,2,3,0,1,0,0,0,1,3,0,2,3,2,2,2,2,2,0,1,1,0,0,3,0,2,0,1,3,1,0,2
26,0,1,2,3,2,0,3,5,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,0,1,2,3,1,1,5,0,0,2,0,1,3,3,3,3,2,0,2,1,1,1,2,3,1,2,3,3,1,2,1,0,1,1,3,3,1,3,0,1,2,0,0,2,2,2,1,0,3,3,1,2,1,0,2
27,0,1,2,2,3,4,0,2,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,1,3,3,1,6,5,0,0,0,2,2,0,1,3,3,2,2,0,3,3,3,0,0,1,3,1,1,1,0,3,1,3,3,2,2,0,2,0,0,0,2,3,3,3,1,0,0,2,0,1,3,2,0,3
28,0,0,0,1,1,5,2,7,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,0,1,0,4,5,0,0,0,1,3,2,3,3,2,2,2,0,3,0,2,3,1,1,0,1,3,0,3,3,3,3,0,1,3,0,2,3,2,2,2,2,3,1,3,0,2,3,0,0,3,1,0,1,0
29,0,1,1,3,2,3,3,1,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,5,4,4,0,0,2,3,2,1,2,1,2,1,1,2,1,0,2,1,0,1,1,1,1,1,0,0,2,0,2,3,1,3,3,2,0,0,2,1,3,1,2,3,1,0,3,3,0,3,2,0
30,0,1,1,3,2,3,6,6,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,1,2,1,5,4,1,0,0,2,3,2,1,0,1,3,0,2,2,3,3,1,0,1,0,2,1,1,3,3,2,2,2,3,0,3,0,2,3,3,0,0,1,3,1,3,3,1,0,2,0,0,0,0,2
31,0,0,1,0,4,2,4,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,3,0,0,0,2,3,1,2,2,0,1,2,1,0,1,3,1,3,0,1,2,3,2,0,1,1,0,0,2,0,0,3,2,3,1,0,3,3,2,0,1,2,2,1,0,0,1,2,0
32,0,0,0,1,1,5,2,7,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,0,1,0,4,5,0,0,0,3,2,0,2,1,3,0,3,0,0,0,2,1,1,2,2,2,2,0,2,0,2,3,3,3,3,1,0,0,1,2,1,0,0,1,1,0,3,1,2,1,3,1,1,2,0
33,0,1,2,2,3,4,0,2,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,3,3,1,1,5,0,0,3,1,1,1,2,1,3,0,0,0,1,3,2,0,3,3,1,1,1,2,1,1,1,1,1,1,3,1,2,0,3,1,0,0,1,1,1,3,0,2,2,1,0,3,2,2
34,0,0,1,0,4,2,4,3,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,3,0,0,1,2,3,2,2,2,1,1,0,2,3,3,0,3,0,0,1,0,1,1,1,2,3,1,0,0,2,2,3,2,3,2,3,3,3,1,2,3,3,3,2,1,0,0,0,3
35,0,0,0,1,0,1,1,0,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,0,1,0,3,0,7,0,0,1,0,2,0,1,2,0,1,2,1,2,0,0,3,2,3,1,1,2,3,2,1,3,0,0,3,2,0,0,3,2,1,3,2,0,1,3,2,0,3,1,0,0,2,2,3
36,0,0,0,1,0,1,1,4,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,0,1,0,3,0,2,0,0,3,3,1,2,1,3,0,3,2,3,3,2,3,3,1,0,0,0,1,2,1,3,3,3,1,0,0,0,3,3,0,3,1,1,3,0,2,2,0,3,0,3,3,0,2,0
37,0,0,1,0,4,2,4,3,30,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,3,0,3,0,0,2,3,0,2,2,1,3,3,0,2,2,2,0,0,1,2,1,2,3,1,2,3,0,2,2,2,2,0,3,3,3,2,3,0,1,2,3,2,0,3,1,0,0,1,0,0
38,0,0,0,1,1,5,2,0,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,0,1,0,4,0,7,0,0,0,1,2,1,1,1,1,2,1,1,2,2,0,1,3,1,1,0,1,3,2,2,1,1,1,0,3,1,2,0,3,3,3,0,0,2,0,3,1,3,3,0,2,3,3,0
39,0,1,2,2,3,4,0,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,1,3,2,2,6,6,0,0,2,0,1,2,1,1,0,1,0,1,0,0,2,1,0,1,2,1,3,2,2,3,1,1,0,0,1,3,0,1,0,0,3,2,2,3,3,0,3,1,1,2,0,2,2,0
40,0,1,1,3,2,3,6,6,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,1,2,1,5,4,1,0,0,1,0,1,0,2,0,3,2,3,1,1,0,2,3,1,0,2,1,0,3,0,3,0,2,1,2,2,2,2,2,3,2,2,2,0,1,2,0,1,3,1,2,0,0,0,1
41,0,0,1,0,4,2,6,6,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,2,0,4,3,0,1,0,0,1,2,2,1,1,1,1,2,3,3,3,2,2,0,2,1,2,1,0,1,0,3,3,2,0,0,3,0,2,1,1,1,3,1,1,0,1,1,2,1,2,2,1,1,1,0
42,0,0,1,0,4,2,4,3,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,3,0,0,1,2,0,2,2,2,0,2,1,1,0,3,0,1,2,0,0,2,1,1,2,3,3,1,2,3,3,3,1,3,2,0,3,0,2,3,3,3,1,0,3,1,2,1,1,1
43,0,0,0,1,1,5,1,0,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,0,1,0,3,0,7,0,0,3,3,3,2,3,0,2,1,3,2,3,1,1,3,3,0,2,2,1,3,0,3,2,2,0,3,0,0,2,0,3,1,2,2,0,0,2,0,3,1,2,3,0,0,3,0
44,0,1,2,2,0,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,1,3,2,2,2,2,0,0,3,3,2,3,0,2,0,1,2,1,3,1,3,2,2,3,1,2,0,1,1,2,3,3,3,1,1,0,1,1,0,2,1,1,0,1,3,3,1,1,2,3,0,2,1,0
45,0,1,2,2,3,4,0,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,1,3,2,2,6,6,0,0,1,1,3,0,2,3,1,1,3,0,2,1,3,0,1,0,1,1,1,2,1,2,3,1,2,3,3,0,3,2,3,3,0,2,1,1,2,2,2,2,0,3,0,2,2,0
46,0,1,1,3,2,3,3,1,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,5,4,4,0,0,2,3,0,0,1,2,2,2,1,2,1,2,1,3,0,2,0,3,0,2,0,3,0,2,1,3,1,1,3,3,3,0,3,2,1,1,3,3,2,2,3,3,0,2,0,3
47,0,1,2,3,2,0,3,1,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,3,1,1,4,0,0,1,2,3,3,2,3,2,1,0,2,3,0,0,1,1,1,3,3,2,0,2,1,2,3,2,0,2,1,0,2,0,3,3,2,2,0,2,2,1,3,1,2,0,2,2,3
48,0,1,1,3,2,3,3,1,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,5,4,4,0,0,1,0,1,2,0,3,0,3,0,2,2,0,3,3,2,3,2,3,0,2,3,3,2,0,3,1,3,0,2,1,0,2,3,3,2,2,1,0,2,2,0,1,1,0,3,1
49,0,1,1,3,2,3,6,6,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,1,2,1,3,4,1,0,0,0,0,3,1,0,1,2,3,1,1,1,2,2,3,1,2,3,2,2,3,0,2,1,2,1,0,0,3,0,0,2,2,2,2,1,2,2,3,1,3,0,1,3,3,0,3
50,0,1,1,3,2,3,3,1,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,5,4,4,0,0,0,2,3,1,0,0,1,0,3,0,3,3,0,1,2,3,2,0,1,2,0,1,2,3,2,1,3,0,0,3,1,2,1,1,2,3,2,0,0,2,2,2,1,0,0,0
51,0,0,0,1,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,0,3,2,2,2,2,0,0,1,0,0,0,2,0,3,3,0,1,0,3,1,2,0,3,1,3,0,3,3,0,2,1,0,3,3,1,2,3,1,0,2,2,0,3,1,3,1,0,3,1,0,0,1,1
52,0,1,1,3,2,3,3,1,36,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,5,4,4,0,0,0,2,1,2,0,3,3,3,1,3,1,1,1,3,2,3,0,3,3,2,1,3,0,1,0,0,1,0,0,1,1,2,0,2,2,3,2,1,3,0,0,2,3,3,1,1
53,0,1,2,2,0,1,5,4,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,1,3,2,3,2,2,0,0,0,0,0,1,1,1,3,3,3,1,2,3,0,2,3,1,1,1,1,3,0,0,1,3,2,0,2,0,2,0,1,1,0,2,2,0,3,3,0,2,1,3,0,2,3,1
54,0,1,1,3,2,0,3,1,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,2,1,1,1,4,0,0,1,2,2,0,3,1,0,2,2,0,3,0,3,2,0,3,0,3,1,1,0,3,3,0,2,2,3,1,0,1,1,2,0,0,2,2,0,3,2,3,0,2,1,2,3,0
55,0,0,0,1,1,5,2,7,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,0,1,0,4,5,0,0,0,3,3,1,3,3,2,3,3,1,3,3,3,1,1,3,2,3,2,0,1,2,3,0,1,1,0,1,0,2,3,1,0,0,2,1,2,1,3,0,1,1,3,0,0,1,0
56,0,0,0,0,4,2,1,0,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,2,0,4,3,0,7,0,0,3,3,1,2,3,2,0,0,1,2,3,1,1,0,0,2,3,3,1,1,3,1,0,2,0,0,0,2,0,1,2,3,1,2,0,0,3,1,3,3,3,3,3,1,3,2
57,0,1,2,3,3,0,0,5,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,0,1,3,3,1,1,5,0,0,2,1,3,3,2,2,1,1,1,1,0,2,3,3,0,0,2,2,3,0,2,1,1,2,3,2,3,1,1,3,0,2,2,2,3,0,3,0,1,3,1,0,2,1,2,3
58,0,0,0,1,1,5,2,0,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,0,1,0,4,0,7,0,0,1,3,2,3,0,3,0,1,0,1,0,1,3,0,3,0,3,1,1,3,0,1,0,1,0,0,3,1,3,1,0,1,2,0,3,3,3,1,0,2,0,2,1,3,2,2
59,0,1,2,3,2,0,6,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,1,3,3,1,1,5,0,0,0,3,0,2,2,0,0,0,2,2,0,0,1,3,0,0,3,1,1,0,2,3,2,0,2,3,0,2,1,1,2,2,2,3,2,1,0,1,0,2,2,0,3,0,0,0
60,0,1,1,3,2,0,6,5,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,0,1,2,3,1,1,5,0,0,2,2,0,3,1,1,2,0,2,3,3,0,2,2,3,2,3,2,3,2,0,3,2,1,0,3,1,1,0,0,0,3,1,1,0,1,2,2,0,3,2,2,1,2,0,0
61,0,1,2,2,3,4,0,2,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,1,3,2,2,6,6,0,0,3,0,3,1,3,2,3,0,3,2,0,0,3,1,2,0,3,1,3,3,1,3,3,3,2,1,1,2,2,3,3,1,2,0,2,1,0,3,1,2,2,2,1,3,1,0
62,0,0,0,0,4,2,1,0,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,2,0,4,3,0,7,0,0,3,2,2,3,3,2,1,3,2,0,3,0,2,3,2,1,2,3,3,2,0,2,2,1,1,2,3,1,1,3,2,2,3,3,1,3,0,1,0,0,1,0,0,1,0,2
63,0,1,2,2,3,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,1,3,3,1,1,5,0,0,2,1,0,2,2,2,0,3,2,3,1,1,2,2,0,2,3,0,1,3,1,1,2,0,1,3,0,2,3,0,1,1,3,0,0,2,1,1,0,1,0,0,2,2,3,2
64,0,0,0,1,0,1,5,4,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,0,3,2,2,2,2,0,0,1,2,0,1,1,3,0,2,0,0,1,3,3,3,1,0,0,3,3,3,0,0,0,3,1,0,3,2,0,2,0,0,0,0,1,0,0,1,1,0,3,2,2,1,0,2
65,0,1,2,2,0,4,5,4,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,1,0,3,2,2,2,2,0,0,1,3,1,0,1,2,0,0,0,2,3,0,3,1,3,1,1,3,1,3,1,0,1,2,2,3,0,2,2,0,1,3,1,0,3,2,0,3,0,1,2,1,2,0,1,3
66,0,0,1,0,4,2,4,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,3,0,0,1,1,2,1,3,3,3,3,1,0,2,1,3,1,3,0,3,1,0,2,1,1,2,0,0,0,0,1,0,1,2,3,2,1,1,3,0,0,3,3,3,3,1,1,3,1
67,0,0,1,0,4,2,4,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,0,4,0,3,3,0,0,3,1,0,1,0,1,3,1,3,1,3,3,3,3,0,2,2,1,3,1,3,3,0,1,3,3,0,3,3,2,3,3,1,3,2,2,1,1,0,0,1,0,1,0,3,0
68,0,1,2,2,0,1,6,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,1,3,3,3,0,2,0,0,0,0,3,1,0,3,2,2,0,3,3,1,2,1,1,1,2,2,2,1,1,1,2,0,2,0,1,0,0,0,1,1,3,2,2,0,2,2,1,1,1,3,1,1,2,2
69,0,1,1,3,2,3,6,6,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,1,2,1,5,4,1,0,0,0,3,1,3,1,1,1,2,2,2,1,3,2,1,0,0,2,3,0,2,2,1,0,2,3,0,1,2,1,3,3,3,0,0,0,0,3,3,3,3,3,1,0,0,2,3
