,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack,spectral_clustering_n_clusters_2_eigen_solver_arpack,spectral_clustering_n_clusters_3_eigen_solver_arpack,spectral_clustering_n_clusters_4_eigen_solver_arpack,spectral_clustering_n_clusters_5_eigen_solver_arpack,spectral_clustering_n_clusters_6_eigen_solver_arpack,spectral_clustering_n_clusters_7_eigen_solver_arpack,spectral_clustering_n_clusters_8_eigen_solver_arpack,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24
12,0,1,0,2,1,5,1,2,12,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,0,2,0,5,4,2,0,0,0,3,1,3,3,3,0,1,3,1,1,0,0,0,3,0,0,1,2,0,2,1,1,3
13,0,1,0,2,2,5,6,2,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,1,2,3,1,0,0,3,3,1,1,0,1,1,0,0,2,0,1,2,1,1,2,0,1,1,2,0,2,3,2
14,0,0,2,3,0,1,4,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,1,3,4,1,1,5,0,0,1,1,2,2,2,1,2,1,2,0,0,1,2,2,1,0,3,1,1,0,2,2,2,3
15,0,1,2,1,3,3,0,6,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,3,0,0,0,3,1,3,0,2,2,3,1,1,1,1,2,1,1,2,1,3,2,1,3,0,3,3
16,0,1,0,1,3,3,6,6,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,1,0,0,2,3,3,3,3,3,2,2,0,0,0,2,2,3,3,2,2,2,2,2,0,1,1,3
17,0,1,0,2,2,5,5,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,1,2,3,7,0,0,1,3,2,1,0,1,0,3,1,2,1,3,1,2,3,2,1,2,2,2,1,0,0,3
18,0,1,2,1,3,3,0,6,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,1,3,0,0,2,2,0,0,3,0,3,0,3,0,0,2,1,3,0,0,1,2,0,3,1,2,1,3
19,0,1,0,2,2,5,6,2,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,0,0,2,0,5,4,1,0,0,0,0,0,0,1,2,2,1,1,2,1,2,2,0,2,0,0,0,3,3,1,1,2,3
20,0,0,1,0,4,2,3,5,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,0,0,5,4,6,0,0,2,0,0,2,1,0,0,1,1,0,0,0,1,3,2,1,2,1,3,0,1,3,3,1
21,0,1,2,1,3,3,0,6,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,3,0,0,1,0,1,0,3,1,0,1,0,3,2,1,3,0,3,3,2,3,3,1,2,2,1,2
22,0,0,2,3,0,4,2,3,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,3,4,1,1,5,0,0,2,1,3,2,0,0,3,3,0,0,0,0,0,1,0,2,3,3,0,2,2,1,1,3
23,0,1,2,1,3,3,0,6,21,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,3,0,0,0,3,2,2,3,2,3,1,0,0,1,0,2,2,1,2,3,3,3,2,0,3,0,3
24,0,1,0,2,2,5,6,2,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,1,2,4,1,0,0,3,3,0,2,0,0,0,2,2,3,2,1,0,2,3,0,2,0,3,2,2,0,0,1
25,0,0,2,3,0,4,2,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,3,4,1,2,4,0,0,0,2,2,0,1,0,0,3,3,3,1,2,3,0,1,2,3,0,1,0,0,0,1,3
26,0,1,0,1,3,3,6,2,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,0,1,1,2,5,5,1,0,0,2,0,1,3,3,3,3,2,0,2,1,1,1,2,3,1,2,3,3,1,2,1,0,1
27,0,1,0,2,2,5,5,7,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,1,2,3,7,0,0,0,2,2,0,1,3,3,2,2,0,3,3,3,0,0,1,3,1,1,1,0,3,1,3
28,0,0,1,0,4,2,3,0,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,0,3,4,0,0,0,0,1,3,2,3,3,2,2,2,0,3,0,2,3,1,1,0,1,3,0,3,3,3,3,0
29,0,1,2,1,3,3,0,6,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,3,0,0,2,3,2,1,2,1,2,1,1,2,1,0,2,1,0,1,1,1,1,1,0,0,2,0
30,0,1,2,1,3,3,0,1,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,1,1,2,0,1,5,0,0,2,3,2,1,0,1,3,0,2,2,3,3,1,0,1,0,2,1,1,3,3,2,2,2
31,0,0,2,3,0,4,2,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,3,4,1,1,5,0,0,0,2,3,1,2,2,0,1,2,1,0,1,3,1,3,0,1,2,3,2,0,1,1,0
32,0,0,1,0,4,2,3,0,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,0,3,4,0,0,0,0,3,2,0,2,1,3,0,3,0,0,0,2,1,1,2,2,2,2,0,2,0,2,3,3
33,0,1,0,2,2,5,5,7,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,1,2,3,7,0,0,3,1,1,1,2,1,3,0,0,0,1,3,2,0,3,3,1,1,1,2,1,1,1,1
34,0,0,2,3,0,4,2,3,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,3,4,1,2,4,0,0,1,2,3,2,2,2,1,1,0,2,3,3,0,3,0,0,1,0,1,1,1,2,3,1
35,0,0,1,0,1,1,1,5,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,2,0,0,5,4,6,0,0,1,0,2,0,1,2,0,1,2,1,2,0,0,3,2,3,1,1,2,3,2,1,3,0
36,0,0,1,0,1,0,1,5,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,2,0,0,5,4,2,0,0,3,3,1,2,1,3,0,3,2,3,3,2,3,3,1,0,0,0,1,2,1,3,3,3
37,0,0,2,3,0,4,2,3,30,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,4,1,4,6,0,0,2,3,0,2,2,1,3,3,0,2,2,2,0,0,1,2,1,2,3,1,2,3,0,2
38,0,0,1,0,4,2,3,0,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,0,3,4,0,6,0,0,0,1,2,1,1,1,1,2,1,1,2,2,0,1,3,1,1,0,1,3,2,2,1,1
39,0,1,0,2,2,5,5,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,1,2,3,7,0,0,2,0,1,2,1,1,0,1,0,1,0,0,2,1,0,1,2,1,3,2,2,3,1,1
40,0,1,2,1,3,1,4,1,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,1,1,2,0,1,5,0,0,1,0,1,0,2,0,3,2,3,1,1,0,2,3,1,0,2,1,0,3,0,3,0,2
41,0,0,2,3,0,1,4,1,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,3,0,5,4,5,0,0,1,2,2,1,1,1,1,2,3,3,3,2,2,0,2,1,2,1,0,1,0,3,3,2
42,0,0,2,3,0,4,2,3,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,4,1,2,4,0,0,1,2,0,2,2,2,0,2,1,1,0,3,0,1,2,0,0,2,1,1,2,3,3,1
43,0,0,1,0,4,2,3,5,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,0,0,5,4,6,0,0,3,3,3,2,3,0,2,1,3,2,3,1,1,3,3,0,2,2,1,3,0,3,2,2
44,0,1,0,2,1,0,1,4,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,0,2,0,3,6,2,0,0,3,3,2,3,0,2,0,1,2,1,3,1,3,2,2,3,1,2,0,1,1,2,3,3
45,0,1,0,2,2,5,5,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,1,2,3,7,0,0,1,1,3,0,2,3,1,1,3,0,2,1,3,0,1,0,1,1,1,2,1,2,3,1
46,0,1,2,1,3,3,0,6,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,3,0,0,2,3,0,0,1,2,2,2,1,2,1,2,1,3,0,2,0,3,0,2,0,3,0,2
47,0,1,0,1,3,3,6,6,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,1,0,0,1,2,3,3,2,3,2,1,0,2,3,0,0,1,1,1,3,3,2,0,2,1,2,3
48,0,1,2,1,3,3,0,6,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,3,0,0,1,0,1,2,0,3,0,3,0,2,2,0,3,3,2,3,2,3,0,2,3,3,2,0
49,0,1,2,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,1,1,0,5,4,5,0,0,0,0,3,1,0,1,2,3,1,1,1,2,2,3,1,2,3,2,2,3,0,2,1,2
50,0,1,2,1,3,3,0,6,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,3,0,0,0,2,3,1,0,0,1,0,3,0,3,3,0,1,2,3,2,0,1,2,0,1,2,3
51,0,0,1,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,2,0,3,3,6,2,0,0,1,0,0,0,2,0,3,3,0,1,0,3,1,2,0,3,1,3,0,3,3,0,2,1
52,0,1,2,1,3,3,0,6,36,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,1,3,0,0,0,2,1,2,0,3,3,3,1,3,1,1,1,3,2,3,0,3,3,2,1,3,0,1
53,0,1,0,2,1,5,1,2,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,0,2,0,5,4,2,0,0,0,0,0,1,1,1,3,3,3,1,2,3,0,2,3,1,1,1,1,3,0,0,1,3
54,0,1,2,1,3,3,0,6,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,1,0,0,1,2,2,0,3,1,0,2,2,0,3,0,3,2,0,3,0,3,1,1,0,3,3,0
55,0,0,1,0,4,2,3,0,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,0,3,4,0,0,0,0,3,3,1,3,3,2,3,3,1,3,3,3,1,1,3,2,3,2,0,1,2,3,0,1
56,0,0,1,3,0,1,4,5,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,2,3,0,5,4,6,0,0,3,3,1,2,3,2,0,0,1,2,3,1,1,0,0,2,3,3,1,1,3,1,0,2
57,0,1,0,1,2,5,6,2,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,0,0,1,2,2,5,1,0,0,2,1,3,3,2,2,1,1,1,1,0,2,3,3,0,0,2,2,3,0,2,1,1,2
58,0,0,1,0,4,2,3,0,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,0,3,4,0,6,0,0,1,3,2,3,0,3,0,1,0,1,0,1,3,0,3,0,3,1,1,3,0,1,0,1
59,0,1,0,1,3,1,6,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,1,0,5,4,1,0,0,0,3,0,2,2,0,0,0,2,2,0,0,1,3,0,0,3,1,1,0,2,3,2,0
60,0,1,2,1,3,3,6,2,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,0,1,1,0,5,4,1,0,0,2,2,0,3,1,1,2,0,2,3,3,0,2,2,3,2,3,2,3,2,0,3,2,1
61,0,1,0,2,2,5,5,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,1,2,3,7,0,0,3,0,3,1,3,2,3,0,3,2,0,0,3,1,2,0,3,1,3,3,1,3,3,3
62,0,0,1,3,0,1,4,5,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,2,3,0,5,4,6,0,0,3,2,2,3,3,2,1,3,2,0,3,0,2,3,2,1,2,3,3,2,0,2,2,1
63,0,1,0,2,2,5,6,2,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,0,5,4,1,0,0,2,1,0,2,2,2,0,3,2,3,1,1,2,2,0,2,3,0,1,3,1,1,2,0
64,0,0,1,0,1,0,1,4,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,2,0,0,3,6,2,0,0,1,2,0,1,1,3,0,2,0,0,1,3,3,3,1,0,0,3,3,3,0,0,0,3
65,0,1,0,2,1,0,5,4,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,1,0,2,1,3,6,2,0,0,1,3,1,0,1,2,0,0,0,2,3,0,3,1,3,1,1,3,1,3,1,0,1,2
66,0,0,2,3,0,4,2,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,3,4,1,2,4,0,0,1,1,2,1,3,3,3,3,1,0,2,1,3,1,3,0,3,1,0,2,1,1,2,0
67,0,0,2,3,0,4,2,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,4,1,2,4,0,0,3,1,0,1,0,1,3,1,3,1,3,3,3,3,0,2,2,1,3,1,3,3,0,1
68,0,1,0,2,1,1,4,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,0,1,2,0,5,4,5,0,0,0,0,3,1,0,3,2,2,0,3,3,1,2,1,1,1,2,2,2,1,1,1,2,0
69,0,1,2,1,3,1,4,1,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,1,1,2,0,1,5,0,0,0,3,1,3,1,1,1,2,2,2,1,3,2,1,0,0,2,3,0,2,2,1,0,2
70,0,0,2,3,0,4,2,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,1,3,4,1,2,4,0,0,1,1,0,0,2,2,3,3,0,0,0,0,3,1,1,3,1,2,2,3,3,1,0,3
71,0,0,1,3,0,4,2,3,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,2,3,4,1,2,6,0,0,3,2,0,0,2,3,0,3,2,2,3,1,0,1,3,3,0,3,0,2,0,1,2,1
72,0,1,0,2,2,5,5,2,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,1,2,4,1,0,0,0,0,3,3,3,2,1,0,0,3,0,3,3,0,1,1,1,3,1,0,0,0,3,2
73,0,1,2,1,3,3,0,6,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,1,3,0,0,2,2,1,2,3,1,3,3,0,0,3,1,2,3,0,1,0,1,3,2,2,1,2,3
74,0,1,0,1,3,3,6,6,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,1,0,0,0,1,1,2,3,3,3,0,0,3,1,3,0,1,0,2,0,0,2,1,2,1,3,0
75,0,0,1,0,1,0,1,4,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,0,0,3,6,2,0,0,0,1,2,2,0,1,0,1,3,1,0,3,2,3,3,3,0,0,3,1,0,1,0,2
76,0,0,2,3,0,4,2,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,1,3,4,1,2,4,0,0,1,1,1,3,1,0,3,0,1,2,0,0,1,1,1,3,0,3,0,2,2,0,2,1
77,0,0,1,0,4,2,1,4,47,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,1,2,0,3,3,6,2,0,0,3,1,1,2,3,0,0,2,0,3,2,0,2,1,1,2,1,3,3,2,1,1,2,0
78,0,1,2,1,3,3,6,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,1,1,0,5,4,1,0,0,1,2,1,2,3,2,1,3,0,3,0,2,1,3,0,1,3,2,0,2,0,0,2,0
79,0,1,0,2,2,5,5,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,1,2,3,7,0,0,2,0,1,3,3,3,0,0,3,0,2,2,2,1,0,0,2,2,3,3,2,3,1,2
80,0,0,1,3,0,4,2,3,48,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,5,0,1,2,3,4,1,2,6,0,0,3,2,1,3,2,3,3,1,2,1,3,2,0,2,2,1,0,0,2,2,2,3,3,2
81,0,0,2,3,0,1,4,1,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,3,0,5,1,5,0,0,0,2,3,0,3,0,1,3,0,0,1,1,2,2,2,3,0,0,3,2,2,0,3,3
82,0,0,1,0,4,2,3,5,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,2,0,0,5,4,6,0,0,0,3,2,2,1,3,3,2,0,2,1,3,3,1,0,0,1,2,2,1,0,3,2,2
83,0,0,1,0,4,2,3,0,50,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,0,3,4,0,6,0,0,1,0,3,2,1,0,3,2,3,0,2,2,1,2,1,2,3,1,0,0,0,1,1,1
84,0,1,2,3,0,1,4,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,1,3,4,0,1,5,0,0,3,3,0,3,1,1,3,2,0,0,2,0,0,0,2,0,3,1,2,2,3,0,0,3
85,0,0,1,0,1,0,1,4,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,2,0,0,3,6,2,0,0,2,0,0,1,1,0,1,2,0,0,3,2,1,2,0,1,3,1,1,2,1,0,3,0
86,0,0,1,3,4,2,3,5,51,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,7,0,1,2,0,0,5,4,6,0,0,3,2,3,2,3,2,3,2,1,1,1,2,3,0,0,3,3,1,3,0,3,2,2,3
87,0,0,1,0,4,2,3,0,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,0,3,4,0,0,0,0,3,2,3,3,0,0,3,3,2,0,3,3,1,1,3,2,1,2,1,3,1,3,3,3
88,0,1,2,1,3,1,4,1,-1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,1,1,2,0,1,5,0,0,2,0,0,1,2,1,0,2,1,3,2,0,1,2,2,1,3,3,2,3,2,3,3,3
89,0,0,0,2,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,0,2,1,3,6,2,0,0,1,0,3,2,2,3,3,2,3,0,1,3,1,0,1,1,0,3,3,0,2,2,2,3
90,0,1,0,1,3,3,6,6,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,1,0,0,0,2,0,3,2,1,1,1,0,0,0,1,0,2,3,0,1,0,1,2,1,3,3,0
91,0,1,0,2,2,5,5,2,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,1,2,4,1,0,0,2,2,0,1,3,3,3,2,3,2,2,2,3,0,2,2,0,1,0,2,3,0,1,3
92,0,1,0,2,2,5,6,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,0,5,4,1,0,0,1,0,0,3,1,1,2,3,1,0,3,3,2,1,3,2,1,3,0,3,1,0,1,2
93,0,1,0,1,3,3,6,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,0,0,1,2,0,5,1,0,0,3,2,2,0,2,1,1,0,3,2,2,0,1,0,1,3,1,3,2,2,0,0,2,1
94,0,1,2,1,3,3,0,6,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,3,0,0,3,0,2,1,3,3,1,1,3,2,0,3,0,1,1,0,3,3,3,2,2,3,0,3
95,0,1,0,2,2,5,5,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,1,2,3,7,0,0,2,1,3,2,0,2,1,2,2,0,0,1,3,3,2,0,0,3,1,3,2,1,2,3
96,0,1,0,2,2,5,6,2,53,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,2,1,2,4,1,0,0,3,2,3,3,1,1,1,3,3,3,0,1,0,0,3,3,1,2,1,2,3,1,3,2
97,0,1,2,1,3,3,0,6,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,1,1,2,0,5,3,0,0,1,1,0,0,2,1,1,2,0,1,0,0,1,1,2,0,3,3,0,2,2,0,0,2
98,0,0,1,0,4,2,3,0,54,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,2,0,3,4,0,6,0,0,0,2,3,3,1,0,3,1,0,0,0,1,1,3,2,2,3,3,2,1,0,1,1,1
99,0,1,0,2,2,5,5,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,2,1,2,3,7,0,0,3,2,1,3,3,0,3,2,2,3,1,1,3,1,2,0,2,3,1,1,1,0,2,3
