,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4,random_n5,random_n6,random_n7
10,0,1,0,0,3,3,0,6,-1,1,0,0,0,0,0,0,0,0,0,0,2,3,1,6,0,0,0,1,0,4,1,0,1,0,1,0,2,0,2,2,2,1
11,0,1,2,2,4,4,5,0,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,0,0,1,3,4,4,7,0,2,1,2,1,0,1,2,0
12,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,0,1,0,1,1,0,2
13,0,1,2,0,4,4,5,0,2,2,0,0,0,0,0,0,0,0,0,2,2,4,3,5,1,0,0,0,1,3,4,4,7,0,2,2,2,0,1,0,2,1
14,0,1,2,2,2,5,2,7,5,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,3,2,2,2,3,0,1,0,1,0,2,1,1,2
15,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,1,0,1,0,2,0,0
16,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,3,2,2,2,3,0,1,2,2,0,2,1,0,2
17,0,0,1,3,1,1,1,4,6,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,0,2,0,1,1,0,0
18,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,1,2,1,2,2,2,2
19,0,1,2,2,4,0,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,1,3,2,1,0,1,0,1,1,1,0,2,2,2,0
20,0,0,1,1,0,2,3,1,7,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,0,1,0,6,0,1,0,2,2,2,2,1,1,0
21,0,1,2,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,3,2,1,0,1,0,1,1,2,1,0,2,2,2
22,0,1,0,0,3,3,0,6,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,0,4,3,3,5,0,2,0,1,0,1,2,1,2
23,0,1,2,2,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,3,2,1,0,1,0,1,0,1,0,2,2,0,0
24,0,1,2,2,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,4,5,6,0,0,0,1,3,2,1,0,1,0,1,2,0,1,0,0,0,2
25,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,3,2,2,2,3,0,1,1,2,2,0,2,2,2
26,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,1,0,1,2,2,2,2
27,0,1,0,0,3,0,6,2,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,2,2,2,1,2,2,1
28,0,1,2,2,2,5,2,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,3,2,2,2,3,0,1,1,0,2,1,1,0,2
29,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,0,1,0,6,0,1,0,2,0,2,0,1,1,0
30,0,1,2,2,4,4,5,0,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,0,0,1,3,4,4,7,0,2,1,1,2,1,0,0,1
31,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,0,0,0,1,1,2,1
32,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,1,2,0,1,0,6,0,1,0,2,1,0,1,0,2,0
33,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,3,2,2,2,3,0,1,2,1,2,2,0,1,1
34,0,1,2,2,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,3,2,1,0,1,0,1,0,1,1,1,2,2,2
35,0,1,2,2,4,4,5,0,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,0,1,3,4,4,7,0,2,1,0,1,2,0,0,1
36,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,1,0,2,0,0,2,1
37,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,1,1,1,1,2,2,1
38,0,1,2,2,4,0,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,1,3,2,1,0,1,0,1,2,1,2,2,0,1,2
39,0,1,0,0,3,3,0,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,0,4,3,3,2,0,2,2,2,0,0,0,1,1
40,0,1,2,2,2,5,2,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,3,2,2,2,3,0,1,2,0,0,2,0,1,2
41,0,1,2,2,2,5,2,7,10,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,3,2,2,2,3,0,1,1,2,1,2,2,2,2
42,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,2,1,1,2,2,2,2
43,0,1,2,2,4,4,5,0,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,0,1,3,4,4,7,0,2,1,2,0,1,2,2,2
44,0,1,0,0,3,3,0,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,0,4,3,3,2,0,2,2,0,0,2,1,2,1
45,0,0,1,3,1,1,1,4,-1,-1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,-1,1,1,1,2,2,2,2
46,0,1,0,0,3,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,1,4,3,3,2,0,2,1,2,2,2,2,2,1
47,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,0,0,1,0,2,1,0
48,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,1,1,1,2,0,2,1
49,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,1,0,1,6,1,0,2,2,2,1,0,1,0
50,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,0,1,6,1,0,0,1,2,1,1,2,2
51,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,3,2,2,2,3,0,1,0,0,2,2,0,0,0
52,0,0,1,1,3,3,0,6,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,0,0,0,4,3,3,5,1,2,1,2,0,1,0,1,0
53,0,1,2,2,4,0,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,1,3,2,1,0,1,0,1,2,0,0,0,2,1,1
54,0,0,0,1,0,2,3,1,12,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,0,1,0,6,0,1,0,2,0,2,0,1,2,1
55,0,1,0,0,3,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,0,1,4,3,3,2,0,2,1,0,0,0,2,1,1
56,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,2,0,1,2,2,0,2
57,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,1,2,2,1,0,6,6,1,0,1,0,2,1,1,1,0
58,0,1,0,0,3,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,1,4,3,3,2,0,2,1,0,2,2,1,2,1
59,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,0,1,6,1,0,2,1,1,1,2,0,1
60,0,1,2,2,2,5,2,7,-1,2,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,0,1,3,4,4,7,0,-1,1,2,0,1,1,2,1
61,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,0,1,1,2,2,0,0
62,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,0,2,2,0,1,1,1
63,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,3,2,2,2,3,0,1,0,0,2,0,0,0,1
64,0,1,2,2,2,5,2,7,-1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,3,2,2,2,3,0,1,2,2,0,2,0,1,1
65,0,1,0,0,3,3,0,6,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,0,4,3,3,5,0,2,0,1,0,2,1,2,2
66,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,0,0,1,0,1,1,2
67,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,0,2,1,1,1,2,0
68,0,1,2,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,3,2,1,0,1,0,1,1,2,0,1,1,0,2
69,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,3,2,1,0,1,0,1,1,2,2,1,2,0,1
70,0,1,0,0,3,3,6,2,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,1,2,1,0,1,1,2
71,0,1,2,2,2,5,2,0,13,2,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,0,0,1,3,4,4,7,0,2,0,0,1,2,1,0,0
72,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,1,1,0,0,0,1,2
73,0,1,0,0,4,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,1,4,3,3,2,0,2,2,2,1,2,1,1,0
74,0,0,1,3,1,1,1,4,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,0,2,2,2,2,1,0
75,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,3,2,2,2,3,0,1,0,2,0,0,1,2,2
76,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,1,2,1,1,2,2,2
77,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,1,1,0,0,0,1,0
78,0,1,2,2,4,0,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,6,0,0,0,1,3,2,1,0,1,0,1,0,2,1,1,0,0,1
79,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,2,0,1,0,1,0,1
80,0,1,0,0,3,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,0,1,4,3,3,2,0,2,1,2,0,2,1,1,2
81,0,1,2,2,2,5,2,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,3,2,2,2,3,0,1,0,2,1,0,1,1,1
82,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,2,2,1,2,2,2,0
83,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,2,1,0,0,2,0,2
84,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,0,0,1,2,0,0,0
85,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,1,1,0,2,0,2,1
86,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,2,2,2,2,1,2,1
87,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,2,1,1,2,2,0,1
88,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,2,1,0,1,1,2,2
89,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,2,2,0,2,0,1,1
90,0,1,0,0,4,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,1,4,3,3,2,0,2,0,0,1,2,0,1,0
91,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,0,1,1,1,2,0,1
92,0,1,0,0,3,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,1,4,3,3,2,0,2,2,2,2,1,2,0,0
93,0,1,0,0,3,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,1,4,3,3,2,0,2,1,1,2,1,1,0,2
94,0,0,1,1,3,3,0,6,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,0,0,0,4,3,3,5,1,2,1,0,2,2,0,0,2
95,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,2,0,2,0,0,2,0
96,0,1,0,0,4,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,1,3,4,4,2,0,2,1,0,2,0,1,2,2
97,0,1,2,2,4,4,5,0,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,0,1,3,4,4,7,0,2,1,1,2,2,1,1,1
98,0,1,0,0,4,4,5,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,1,3,4,4,7,0,2,0,2,1,0,2,0,0
99,0,1,0,0,4,0,6,2,15,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,3,2,1,0,1,0,1,1,1,2,2,2,0,2
100,0,1,2,0,4,4,5,0,-1,2,0,0,0,0,0,0,0,0,0,2,2,4,3,5,1,0,0,0,1,3,4,4,7,0,2,0,1,1,2,1,2,1
101,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,1,2,2,2,1,1,2
102,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,1,1,2,1,0,1,1
103,0,0,1,3,1,1,1,4,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,0,2,2,2,1,1,0
104,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,1,2,2,1,0,0,1
105,0,1,0,0,3,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,0,1,4,3,3,2,0,2,2,0,2,0,2,1,2
106,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,1,0,1,6,1,0,0,2,2,1,1,1,2
107,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,2,2,0,2,1,1,2
108,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,3,2,2,2,3,0,1,0,1,1,2,1,2,0
109,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,3,2,1,0,1,0,1,0,1,2,2,2,0,0
110,0,1,2,2,2,5,2,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,3,2,2,2,3,0,1,0,0,1,1,2,1,1
111,0,0,1,3,1,1,1,4,16,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,2,2,1,1,0,2,1
112,0,0,1,1,0,2,3,1,7,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,0,1,0,6,0,1,0,2,2,1,0,2,0,2
113,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,0,5,5,4,1,0,0,0,0,2,0,2,0
114,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,3,2,2,2,3,0,1,2,0,0,0,0,2,1
115,0,1,2,2,2,5,2,0,13,2,0,0,0,0,0,0,0,0,0,2,1,2,4,1,1,0,0,0,1,3,4,4,7,0,2,1,2,0,2,0,0,0
116,0,0,1,3,1,1,1,4,17,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,2,0,0,1,0,1,2
117,0,0,0,0,3,3,0,6,3,3,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,0,4,1,0,1,0,-1,2,1,1,1,0,1,0
118,0,1,0,0,3,3,0,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,0,4,3,3,2,0,2,2,2,0,0,1,2,0
119,0,1,0,0,3,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,1,4,3,3,2,0,2,1,1,2,1,2,0,2
120,0,1,0,0,4,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,1,3,4,4,2,0,2,0,1,1,0,2,2,2
121,0,1,2,2,2,5,2,7,18,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,3,2,2,2,3,0,-1,1,2,2,2,0,2,1
122,0,1,2,2,2,5,2,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,3,2,2,2,3,0,1,1,1,1,2,0,2,2
123,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,1,3,2,2,2,3,0,1,2,2,1,1,0,0,1
124,0,1,2,2,2,5,2,0,13,2,0,0,0,0,0,0,0,0,0,2,1,2,4,1,1,0,0,0,1,3,4,4,7,0,2,0,2,2,0,1,2,1
125,0,1,0,0,3,3,0,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,0,4,3,3,5,0,2,2,0,2,2,2,0,2
126,0,1,2,2,2,5,2,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,3,2,2,2,3,0,1,2,2,0,0,2,1,2
127,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,2,1,2,2,1,1,1
128,0,0,1,3,1,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,5,1,6,1,0,0,0,2,2,2,0,2
129,0,1,2,2,2,5,2,7,-1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,3,2,2,2,3,0,1,1,2,2,2,1,0,2
130,0,0,0,1,3,3,0,6,19,2,0,0,0,0,0,0,0,0,1,0,2,0,1,3,4,0,0,0,0,4,3,3,5,1,2,2,2,0,0,0,0,2
131,0,1,2,2,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,1,3,2,1,0,1,0,1,2,2,2,2,1,0,0
132,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,2,2,1,1,1,0,1
133,0,1,0,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,1,0,2,1,0,1,0,1,0,2,0,2,2,0,2
134,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,1,2,2,1,0,6,6,1,0,1,1,1,1,1,1,2
135,0,1,0,0,3,4,5,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,1,4,3,3,2,0,2,0,2,1,1,2,1,1
136,0,1,0,0,3,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,1,4,3,3,2,0,2,1,2,0,0,2,1,2
137,0,0,1,1,0,2,3,1,7,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,0,1,0,6,0,1,0,0,1,1,0,2,0,2
138,0,1,2,2,2,5,2,0,20,2,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,0,1,3,4,4,7,0,2,1,1,0,0,0,0,1
139,0,0,1,1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,0,1,0,6,0,1,0,0,1,2,1,2,0,0
140,0,1,2,2,2,5,4,3,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,1,3,2,2,2,3,0,1,0,1,1,0,2,1,1
