,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29
14,0,1,2,3,2,4,5,6,5,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,0,2,0,2,3,0,0,18,2,0,1,0,0,0,0,2,0,1,0,0,1,2,1,2,0,1,2,2,1,2,0,1,0,0,2,0,1
15,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,3,4,2,4,1,5,1,2,2,0,2,1,2,2,2,1,0,0,1,2,2,2,0,2,0,1,1,0,2,2,2,1,0,2,1
16,0,1,2,3,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,0,2,0,2,3,0,0,-1,2,0,2,1,2,0,2,0,1,2,0,0,0,1,2,2,2,0,1,0,1,1,1,1,1,0,2,1,0
17,0,0,1,0,4,0,3,1,6,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,3,4,2,4,1,-1,1,0,2,0,2,1,0,0,1,0,2,0,0,2,2,1,2,2,1,0,2,1,2,1,1,1,0,2,2
18,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,0,3,4,4,5,1,0,0,2,0,0,2,2,2,2,0,1,1,1,0,0,1,0,1,2,1,0,0,1,1,2,2,1,2,0,2
19,0,1,2,3,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,0,2,0,3,0,6,0,-1,2,0,1,0,0,2,0,2,1,0,0,0,1,1,2,1,1,0,2,2,1,0,1,0,2,1,2,1,0
20,0,0,1,2,1,3,1,3,7,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,0,1,3,2,0,5,1,1,-1,0,0,2,2,2,0,1,2,0,2,1,1,2,0,1,1,0,2,1,2,0,2,1,2,2,2,2,1,0
21,0,1,2,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,0,2,0,3,0,6,0,-1,2,2,1,2,0,0,2,2,2,1,2,2,0,1,2,2,2,0,0,2,0,0,0,1,2,1,2,2,2
22,0,1,0,1,3,5,0,5,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,2,3,4,1,1,3,0,28,0,1,2,2,1,2,1,1,1,2,0,0,2,1,1,1,2,1,1,0,2,1,1,2,2,2,1,1,0
23,0,1,2,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,0,2,0,3,0,6,0,12,2,0,0,2,0,0,2,0,2,1,1,1,1,0,2,1,2,0,2,1,2,2,1,2,2,0,2,2,1
24,0,1,2,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,4,5,6,0,0,1,0,2,0,3,0,6,0,12,1,1,1,1,0,1,2,0,0,0,2,2,2,1,1,2,0,2,0,1,1,1,2,0,0,0,1,1,2
25,0,1,2,3,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,0,2,0,2,3,0,0,-1,1,1,1,2,2,2,2,1,1,0,0,2,2,1,0,2,0,1,0,1,2,0,2,2,0,2,0,1,1
26,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,6,0,0,2,2,0,2,1,0,1,1,2,2,2,0,0,1,2,1,1,2,0,0,2,1,0,0,1,2,1
27,0,1,0,1,3,1,6,2,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,0,3,0,3,0,6,0,-1,1,1,2,0,0,0,1,1,1,1,1,2,1,1,0,1,0,0,0,1,2,0,1,1,1,1,0,1,1
28,0,1,2,3,2,4,5,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,0,2,0,2,3,0,0,16,2,0,0,1,2,1,2,1,2,1,2,2,0,2,2,0,2,2,1,2,1,2,1,2,2,1,0,0,1
29,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,0,1,3,2,0,5,1,1,-1,1,2,1,1,0,0,0,0,1,2,1,2,1,2,0,1,2,1,1,1,1,2,2,1,0,0,0,0,0
30,0,1,2,3,2,2,4,7,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,1,2,1,1,5,6,2,0,-1,0,2,2,2,1,0,0,2,1,1,1,1,0,2,0,1,1,1,2,1,1,2,1,1,0,0,0,1,0
31,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,7,0,0,1,2,0,0,1,0,2,1,2,1,1,1,2,2,2,0,1,2,1,1,1,0,1,0,1,0,0
32,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,0,1,3,2,0,5,1,1,-1,0,0,0,0,2,0,2,0,1,1,1,2,1,0,1,1,0,2,2,1,1,2,1,2,0,2,0,0,2
33,0,1,2,3,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,0,2,0,2,3,0,0,-1,2,1,2,2,1,1,2,1,0,0,1,2,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2,1
34,0,1,2,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,0,2,0,3,0,6,0,12,0,0,0,0,2,0,2,2,2,0,1,0,2,2,1,0,0,0,0,0,2,2,2,2,1,0,0,2,1
35,0,1,2,1,0,2,4,7,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,1,2,1,1,5,6,2,0,20,1,1,2,1,2,2,1,2,0,0,1,1,2,1,0,0,0,0,1,0,1,2,2,1,2,2,1,2,0
36,0,1,0,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,0,3,0,3,0,6,0,-1,1,1,1,2,2,0,1,2,2,0,0,2,1,0,1,1,0,0,2,2,2,1,0,2,2,1,2,1,0
37,0,1,0,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,0,3,0,3,0,6,0,-1,0,1,0,0,1,2,1,1,2,1,2,0,0,0,2,0,0,0,1,2,1,1,0,1,2,0,2,2,0
38,0,1,2,3,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,0,2,0,3,0,6,0,-1,0,1,1,2,0,2,0,0,1,2,1,2,1,0,0,2,0,1,2,2,2,1,2,1,1,2,0,0,2
39,0,1,0,1,3,5,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,2,3,4,1,1,7,0,-1,0,1,0,0,0,0,2,2,1,2,0,2,2,0,1,2,0,2,1,1,0,2,1,2,2,2,0,2,2
40,0,1,2,3,2,4,5,6,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,0,2,0,2,3,0,0,-1,2,1,2,2,2,2,0,0,1,0,0,1,1,0,0,0,0,1,2,1,0,0,1,1,2,1,0,0,2
41,0,1,2,3,2,4,5,6,10,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,0,2,0,2,3,0,0,-1,1,2,1,1,2,2,2,2,2,1,0,2,2,0,1,1,0,0,2,1,1,2,1,0,2,1,0,0,1
42,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,9,1,1,1,2,2,1,1,1,1,0,1,2,2,2,1,0,0,2,1,2,1,0,1,2,2,0,0,2,2
43,0,1,2,1,0,2,4,7,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,1,2,1,1,5,6,2,0,20,2,1,0,1,2,2,0,2,0,2,0,1,2,1,0,1,1,2,2,0,0,0,2,0,0,1,2,1,0
44,0,1,0,1,3,5,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,2,3,4,1,1,7,0,27,0,2,0,1,2,1,2,0,1,0,2,0,1,0,1,2,1,1,0,2,0,1,0,0,0,0,2,0,0
45,0,0,1,0,4,0,3,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,0,3,4,4,5,1,-1,0,2,1,1,0,1,0,2,1,1,0,1,0,1,2,1,2,0,2,2,1,1,1,2,1,0,0,0,2
46,0,1,0,1,3,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,1,2,1,4,1,1,7,0,24,0,0,1,2,1,1,0,2,2,2,2,1,0,1,1,1,2,0,1,1,0,2,0,2,1,2,0,2,2
47,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,-1,2,2,2,0,2,0,2,2,0,2,2,2,0,2,0,2,0,1,2,2,2,0,2,1,1,0,1,1,0
48,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,0,3,4,4,5,1,0,2,0,2,2,2,2,0,1,1,1,0,2,2,2,2,1,2,1,0,1,1,2,0,2,0,0,2,0,2
49,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,2,0,2,4,1,-1,1,1,0,0,1,1,1,1,0,1,0,2,1,1,0,2,1,0,0,1,2,1,0,0,2,2,1,0,2
50,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,3,0,2,4,1,-1,0,0,0,1,0,1,1,1,2,2,2,0,1,0,2,0,2,1,1,0,1,1,0,2,0,1,2,0,0
51,0,1,2,3,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,0,2,0,2,3,0,0,-1,2,0,0,1,0,0,2,1,0,2,1,2,0,2,2,2,1,2,2,1,0,0,2,1,0,2,2,0,2
52,0,0,1,2,3,5,0,5,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,1,2,3,4,1,1,3,1,-1,2,1,1,2,1,1,2,1,1,2,0,0,1,0,2,2,0,1,1,2,2,1,0,2,1,0,1,0,0
53,0,1,2,3,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,1,0,2,0,3,0,6,0,15,2,2,0,1,2,1,1,0,0,0,0,0,0,2,2,2,1,2,2,2,0,0,2,1,2,1,1,0,2
54,0,0,0,2,1,3,1,3,12,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,0,1,3,2,0,5,1,1,10,1,2,2,0,2,0,1,1,0,0,1,1,2,0,1,1,0,2,2,2,0,0,0,1,0,1,1,1,2
55,0,1,0,1,3,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,1,2,1,4,1,1,7,0,25,1,1,1,0,1,0,2,2,0,0,2,0,0,2,2,1,0,0,0,2,0,1,0,0,2,2,2,0,0
56,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,0,3,4,4,5,1,1,2,2,1,2,2,2,2,1,2,1,2,0,1,2,2,2,2,0,2,0,1,2,1,0,2,0,2,1,2
57,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,0,1,0,2,0,5,4,1,-1,0,0,2,2,2,0,2,1,0,0,0,2,1,0,0,2,2,2,2,1,1,0,1,0,1,0,1,2,1
58,0,1,0,1,3,5,0,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,2,1,4,1,1,7,0,-1,1,0,1,1,0,2,0,1,1,1,2,0,2,1,0,2,0,0,0,0,1,1,2,2,2,2,0,1,0
59,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,3,0,2,4,1,-1,0,0,1,2,0,2,2,2,1,1,2,0,1,2,1,0,2,1,2,2,0,1,1,2,0,0,2,1,2
60,0,1,2,3,2,4,5,6,-1,2,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,2,1,1,5,6,2,0,-1,2,1,2,0,0,0,0,2,1,0,1,0,2,1,1,0,0,2,0,2,2,2,1,0,1,2,2,2,1
61,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,0,3,4,4,5,1,1,1,1,1,1,0,0,2,2,1,0,2,0,1,2,1,0,2,0,2,2,0,1,0,0,0,2,1,2,2
62,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,0,3,4,4,5,1,0,2,2,2,1,2,2,2,0,2,2,1,1,0,0,0,0,0,1,2,1,2,2,0,0,1,0,0,1,0
63,0,1,2,3,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,0,2,0,2,3,0,0,-1,2,1,1,1,2,2,2,0,2,1,1,1,1,0,2,1,2,0,2,2,1,1,1,1,0,1,2,0,0
64,0,1,2,3,2,4,5,6,-1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,1,0,2,0,2,3,0,0,-1,1,0,2,0,1,1,2,1,0,1,2,2,1,2,1,2,1,2,0,2,2,0,1,1,0,0,2,2,0
65,0,1,0,1,3,5,0,5,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,1,2,3,4,1,1,3,0,28,0,0,0,0,2,1,1,2,2,0,0,1,1,2,2,0,0,0,0,2,0,2,2,0,0,2,1,0,1
66,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,3,4,2,4,1,-1,0,2,2,1,0,1,2,0,0,0,0,2,1,1,0,2,0,2,0,0,2,1,1,1,1,0,0,2,0
67,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,-1,2,2,1,1,2,2,2,0,1,1,1,2,1,2,1,1,2,0,1,0,2,1,0,1,1,0,1,2,0
68,0,1,2,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,0,2,0,3,0,6,0,12,1,2,0,0,0,1,2,1,1,0,1,0,1,2,2,2,0,0,1,0,0,1,1,0,0,0,1,1,0
69,0,1,0,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,1,0,2,0,3,0,6,0,-1,0,0,0,2,2,1,1,2,1,2,1,0,0,0,1,2,1,2,1,1,1,0,2,1,2,1,1,0,2
70,0,1,0,1,3,1,6,2,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,0,3,0,3,0,6,0,-1,2,1,2,1,2,2,1,1,0,0,1,1,1,1,1,1,1,2,0,0,2,2,2,1,1,0,1,0,0
71,0,1,2,3,2,4,5,7,13,2,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,1,2,1,1,5,6,2,0,29,1,0,2,0,0,0,2,1,1,0,2,0,0,0,0,1,0,0,2,1,1,0,1,0,2,0,1,1,1
72,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,6,2,1,0,0,0,0,1,1,1,1,1,0,2,2,2,2,2,0,0,1,1,0,1,1,0,2,1,2,0
73,0,1,0,1,0,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,1,2,1,4,1,1,7,0,23,2,1,0,0,1,1,0,1,1,2,2,0,0,1,0,1,2,0,2,1,1,1,1,2,0,2,1,2,1
74,0,0,1,0,4,0,3,1,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,0,3,4,4,5,1,-1,1,0,2,2,1,1,0,2,2,0,1,2,2,0,2,0,0,2,2,1,1,0,2,1,0,1,2,1,0
75,0,1,2,3,2,4,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,1,0,2,0,2,3,0,0,-1,1,1,0,1,1,1,1,2,1,1,1,1,1,2,2,2,2,1,0,2,0,0,0,1,2,0,2,2,1
76,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,8,0,2,0,2,1,2,1,0,1,1,2,0,0,0,1,1,0,0,2,1,1,0,0,1,1,0,1,2,1
77,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,-1,1,2,1,0,0,0,1,2,2,2,0,2,1,2,1,0,2,0,2,1,0,1,1,0,1,1,2,2,1
78,0,1,2,3,0,1,2,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,6,0,0,1,0,2,0,3,0,6,0,12,0,1,2,0,0,2,2,1,2,1,2,0,2,2,2,2,0,2,1,1,0,1,2,2,2,1,1,2,0
79,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,3,4,2,4,1,5,2,0,1,1,2,0,1,0,1,2,0,2,0,1,2,1,2,0,1,2,0,0,2,1,2,2,0,0,1
80,0,1,0,1,3,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,1,2,1,4,1,1,7,0,25,2,2,2,1,1,2,1,0,1,2,1,1,0,2,0,1,0,2,2,2,0,1,1,1,0,0,0,1,1
81,0,1,2,3,2,4,5,6,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,1,0,2,0,2,3,0,0,-1,0,1,1,0,0,2,1,2,1,0,2,2,0,1,1,1,1,1,0,2,2,0,0,1,0,1,0,0,2
82,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,-1,1,2,2,1,1,0,0,1,1,0,2,0,1,1,2,2,1,0,1,1,1,2,1,0,1,1,0,2,0
83,0,1,0,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,0,3,0,3,0,6,0,-1,2,1,2,2,0,0,0,2,0,0,1,1,1,2,1,2,1,1,0,0,1,0,2,1,2,0,0,2,2
84,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,3,4,2,4,1,-1,2,2,1,1,1,2,0,2,1,0,2,1,2,2,2,0,1,0,2,1,2,1,0,2,2,1,1,2,1
85,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,3,4,2,4,1,-1,0,1,0,1,1,0,0,1,2,0,1,2,1,1,0,0,2,0,2,1,2,0,1,0,1,2,0,1,2
86,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,0,1,0,3,4,2,4,1,5,1,2,1,0,2,1,1,0,1,0,1,1,1,1,2,1,1,0,1,1,2,2,1,0,1,2,0,1,1
87,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,0,1,0,3,4,4,5,1,1,2,2,0,1,0,0,2,2,1,1,1,2,0,1,0,1,1,0,1,0,1,0,1,1,0,2,1,1,2
88,0,0,1,2,1,3,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,0,1,3,2,0,5,1,1,-1,1,1,2,1,2,0,2,0,2,0,2,1,2,0,1,2,0,2,2,2,2,0,1,0,0,1,0,1,2
89,0,1,0,1,0,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,1,0,3,0,3,0,6,0,-1,0,2,2,0,1,1,0,0,2,1,0,1,0,2,2,1,2,2,2,2,0,1,1,2,0,2,0,1,2
90,0,1,0,1,0,2,4,4,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,1,2,1,4,1,1,7,0,23,0,1,1,0,2,1,0,2,2,1,2,2,2,2,2,1,2,1,2,1,0,1,0,2,0,2,0,2,2
