,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_1_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4,random_n5,random_n6,random_n7,random_n8,random_n9,random_n10,random_n11,random_n12,random_n13,random_n14,random_n15,random_n16,random_n17,random_n18,random_n19
10,0,1,1,0,0,1,5,7,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,1,2,0,3,3,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0
11,0,1,2,2,0,0,1,5,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,1,0,0,3,1,2,3,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1
12,0,0,0,3,2,2,6,0,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,1,2,2,6,7,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0
13,0,0,0,3,2,2,6,0,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,1,2,2,6,7,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0
14,0,0,0,1,4,4,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1
15,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,3,5,5,6,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,0
16,0,1,2,2,1,5,2,4,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,3,1,5,5,2,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,1
17,0,0,0,3,2,2,4,6,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,1,4,4,4,4,0,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1
18,0,0,0,1,4,1,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,0,3,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1
19,0,1,1,0,0,1,5,7,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,1,2,0,3,3,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1
20,0,0,0,1,4,4,0,3,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,2,0,0,1,2,2,2,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1
21,0,1,2,2,1,5,2,4,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,3,5,5,6,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0
22,0,0,0,1,4,4,0,3,2,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1
23,0,0,0,3,2,2,6,0,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,1,2,2,6,7,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0
24,0,0,0,1,4,1,0,3,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,0,3,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,1
25,0,0,0,3,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,2,2,4,4,3,7,0,1,0,0,3,1,2,3,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0
26,0,0,0,3,2,2,6,0,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,1,2,2,6,7,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0
27,0,1,2,2,0,0,1,5,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,3,7,0,1,0,0,3,1,2,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1
28,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1
29,0,1,2,2,1,5,2,4,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,3,1,5,5,2,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1
30,0,1,1,0,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,3,1,0,0,2,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0
31,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,0,3,5,5,6,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1
32,0,1,1,0,0,1,5,7,5,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,1,2,0,3,3,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,1
33,0,1,2,2,1,5,2,4,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,3,1,5,5,2,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0
34,0,1,2,2,0,0,1,2,-1,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,0,3,1,2,6,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,1
35,0,1,1,0,3,3,3,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,0,3,0,1,0,3,1,0,0,2,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,0,0
36,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,0
37,0,0,0,3,2,2,4,6,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,1,4,4,4,4,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1
38,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1
39,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,1,1
40,0,0,0,3,0,4,6,5,12,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,2,0,1,0,0,3,1,2,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0
41,0,0,0,1,4,4,6,0,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,0,2,1,2,2,6,7,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1
42,0,0,0,1,4,4,6,0,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,6,0,0,2,1,2,2,6,7,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0
43,0,1,2,2,1,5,2,4,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,3,1,5,5,2,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0
44,0,1,1,0,0,1,5,7,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,1,2,0,3,3,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,1,1
45,0,0,0,3,2,2,4,6,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,0,2,1,2,2,6,7,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1
46,0,1,2,2,1,5,2,4,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,3,5,5,6,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0
47,0,0,0,3,2,2,6,0,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,1,2,2,6,7,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1
48,0,1,2,2,1,5,2,4,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,3,1,5,5,2,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1
49,0,1,2,2,1,0,1,2,6,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,0,3,1,2,6,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0
50,0,0,0,1,4,4,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
51,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1
52,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
53,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,1
54,0,1,1,0,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,3,1,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0
55,0,1,1,0,0,1,5,7,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,1,2,0,3,3,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1
56,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,0,3,5,5,6,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,1
57,0,0,0,3,2,2,4,6,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,1,4,4,4,4,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1
58,0,0,0,3,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,0,0,3,1,2,3,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1
59,0,0,0,1,4,4,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1
60,0,1,2,2,1,5,2,4,1,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,3,1,5,5,2,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,1,1
61,0,0,0,3,2,2,4,6,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,1,4,4,4,4,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0
62,0,0,2,3,0,0,1,5,6,0,0,0,0,0,0,0,0,0,1,2,2,4,4,3,7,0,1,0,0,3,1,2,3,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0
63,0,1,2,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,4,4,7,0,1,0,0,3,5,5,6,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1
64,0,1,2,2,1,5,2,4,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,3,1,5,5,2,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1
65,0,0,0,1,4,4,0,3,2,1,1,1,1,0,0,0,0,0,0,1,0,3,2,6,2,0,0,1,2,2,2,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0
66,0,0,0,1,4,4,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
67,0,0,0,3,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,0,0,3,1,2,3,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,0
68,0,0,0,3,2,2,4,6,14,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,1,4,4,4,4,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
69,0,0,0,3,2,2,4,6,11,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,1,4,4,4,4,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0
70,0,0,1,0,0,1,5,7,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,1,2,0,3,3,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1
71,0,1,2,2,1,5,2,4,9,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,3,5,5,6,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0
72,0,0,0,1,4,4,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1
73,0,1,2,2,1,5,2,4,10,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,3,1,5,5,2,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0
74,0,1,1,0,3,3,3,1,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,3,1,0,0,5,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0
75,0,0,0,3,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,1,0,4,4,3,7,0,1,0,0,3,1,2,3,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0
76,0,1,1,0,0,1,5,7,16,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,1,2,0,3,3,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1
77,0,0,1,0,0,1,5,7,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,4,0,0,1,2,0,3,3,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1
78,0,0,0,3,2,2,6,0,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,1,2,2,6,7,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0
79,0,0,0,1,4,4,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1
80,0,0,0,3,2,2,6,0,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,1,2,2,6,7,0,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0
81,0,1,1,0,3,5,2,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,0,3,1,5,5,2,1,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1
82,0,1,1,0,0,1,5,7,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,1,2,0,3,3,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1
83,0,0,0,1,4,4,6,0,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,1,2,2,6,7,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1
84,0,1,1,0,3,3,3,1,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,3,1,0,0,5,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0
85,0,1,1,0,0,1,5,7,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,1,2,0,3,3,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1
86,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,1
87,0,1,1,0,3,3,3,1,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,3,1,0,0,5,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,1
88,0,0,0,3,2,2,4,6,8,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,1,0,0,2,1,4,4,4,4,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0
89,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1
90,0,1,1,0,0,1,5,7,-1,1,1,1,1,0,0,0,0,0,1,0,2,3,0,5,4,0,0,1,2,0,3,3,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1
91,0,0,0,3,2,2,4,6,13,1,1,1,1,0,0,0,0,0,0,1,1,4,1,2,0,0,0,2,1,2,2,6,7,0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
92,0,1,1,0,3,3,3,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,1,3,0,1,0,3,1,0,0,2,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
93,0,0,0,1,4,4,6,0,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0
94,0,0,0,1,0,1,5,7,2,1,1,1,1,0,0,0,0,0,0,0,0,3,0,5,2,0,0,1,2,0,3,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
95,0,0,0,3,2,2,6,0,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,1,2,2,6,7,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1
96,0,0,0,1,4,4,6,0,3,1,1,1,1,0,0,0,0,0,0,1,1,2,2,6,0,0,0,2,1,2,2,6,7,0,1,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1
97,0,0,0,1,4,4,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
98,0,0,0,3,2,2,6,0,7,1,1,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,2,1,2,2,6,7,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
99,0,1,1,0,3,3,3,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,5,1,3,0,1,0,3,1,0,0,2,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,1,0
100,0,1,1,0,0,1,5,7,2,1,1,1,1,0,0,0,0,0,1,0,0,3,0,5,4,0,0,1,2,0,3,3,0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1
101,0,1,1,0,3,3,3,1,15,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,3,1,0,0,5,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1
102,0,1,1,0,3,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,5,0,3,0,1,0,3,1,0,0,5,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1
103,0,0,0,1,4,4,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0
104,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,2,1,3,4,5,0,1,0,0,3,5,5,6,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0
105,0,0,0,3,0,0,1,5,4,0,0,0,0,0,0,0,0,0,0,1,2,4,4,3,7,0,1,0,0,3,1,2,3,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,1,0
106,0,0,0,1,4,4,0,3,3,1,1,1,1,0,0,0,0,0,0,1,0,2,2,6,6,0,0,1,2,2,2,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1
107,0,1,2,2,1,5,2,4,1,0,0,0,0,0,0,0,0,0,1,2,3,0,3,1,5,0,1,0,3,1,5,5,2,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0
108,0,1,2,2,1,5,2,2,0,0,0,0,0,0,0,0,0,0,1,2,3,1,3,1,5,0,1,0,0,3,5,5,6,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
