,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_01_min_cluster_size_0_2,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4,random_n5,random_n6,random_n7,random_n8,random_n9,random_n10,random_n11,random_n12,random_n13,random_n14,random_n15,random_n16,random_n17,random_n18,random_n19,random_n20,random_n21,random_n22,random_n23,random_n24,random_n25,random_n26
21,0,1,1,1,1,0,6,7,6,3,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,1,3,2,5,5,3,0,-1,1,1,0,1,2,2,0,2,0,0,0,2,2,0,1,1,1,1,1,2,1,2,2,0,0,2
22,0,0,0,0,3,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,7,1,-1,1,1,2,0,0,0,1,2,0,2,1,0,1,0,0,0,2,2,2,1,1,2,1,1,1,0
23,0,1,2,3,4,3,6,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,1,1,3,5,5,3,2,1,2,1,2,1,0,1,0,1,2,0,1,1,1,0,2,2,2,0,0,1,0,0,0,1,0,2
24,0,1,2,3,4,4,6,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,1,1,3,5,5,3,2,1,0,0,1,1,0,2,0,1,2,2,1,0,0,0,0,2,2,2,0,2,1,0,2,1,1,1
25,0,1,2,2,2,2,2,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,1,3,2,1,2,5,2,1,0,1,1,1,2,0,0,1,1,1,0,0,2,1,2,0,2,1,1,2,0,1,1,0,0,2
26,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,4,6,0,0,1,1,0,0,1,1,2,1,2,0,2,1,0,1,1,2,0,0,2,2,2,1,0,1,1,2
27,0,0,0,3,4,3,5,4,8,4,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,1,3,5,5,3,2,-1,2,1,0,0,1,0,0,0,0,1,0,2,2,2,0,0,0,1,0,1,0,1,2,0,1,0
28,0,1,2,2,2,4,3,2,9,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,1,3,2,1,2,5,2,1,2,0,2,0,1,2,2,0,1,1,1,0,1,2,1,2,0,0,2,1,0,2,2,1,0,1
29,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,4,6,0,-1,0,0,0,0,2,2,2,1,0,0,2,2,2,1,0,0,2,2,0,2,0,2,1,2,0,0
30,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,2,1,4,0,1,0,1,-1,0,1,0,2,2,0,1,2,2,0,0,1,1,0,0,0,1,0,2,1,1,0,0,0,2,2
31,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,6,1,0,0,0,2,2,2,1,1,2,0,2,0,0,1,2,1,2,0,1,2,2,0,2,2,0,2,0,0
32,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,4,6,0,0,0,1,0,1,1,1,1,0,1,0,2,1,2,1,1,2,1,2,1,1,0,1,2,0,0,1
33,0,1,2,2,2,2,2,6,-1,-1,2,0,0,0,0,0,0,0,1,1,3,2,1,1,6,0,0,1,3,2,1,2,5,0,-1,0,2,2,0,1,2,1,2,0,0,0,2,0,2,2,0,0,2,0,1,2,1,0,0,0,0
34,0,1,2,3,4,4,6,5,10,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,0,1,1,3,5,5,3,2,1,1,1,0,0,2,2,0,1,1,1,0,1,2,2,1,1,0,0,2,2,1,0,2,0,1,2
35,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,2,1,4,0,1,0,1,2,0,1,0,0,2,0,1,2,0,2,2,1,2,0,1,1,2,1,1,0,2,1,1,1,1,1
36,0,0,0,3,4,3,5,4,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,1,3,5,5,3,2,1,2,0,2,1,1,0,2,1,2,0,0,0,1,2,0,1,2,2,0,1,0,0,0,0,2,1
37,0,0,0,3,4,3,5,4,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,2,1,3,5,5,3,1,1,1,0,2,1,2,0,2,0,1,0,1,0,2,2,1,2,2,0,2,0,1,1,0,0,0,2
38,0,0,2,3,4,3,3,5,-1,5,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,1,1,3,5,5,3,2,1,1,2,0,0,2,2,1,2,2,0,0,0,0,1,1,0,2,2,0,1,0,2,1,1,0,2
39,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,2,1,4,0,1,2,1,2,1,1,2,1,2,0,2,0,0,0,2,2,2,1,0,1,0,2,1,0,2,0,0,2,0,0
40,0,1,2,2,2,4,3,2,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,1,3,2,1,2,5,2,1,2,1,0,1,0,0,1,1,1,2,0,2,1,1,0,1,2,0,0,0,2,1,2,0,2,0
41,0,1,2,2,2,2,2,6,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,1,3,2,1,2,5,2,1,2,2,1,2,1,0,2,2,1,0,0,0,2,1,2,0,0,2,0,0,0,2,1,0,1,0
42,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,6,1,0,-1,1,2,2,2,1,1,0,2,0,1,0,1,0,1,0,1,1,2,0,2,1,2,2,2,2,1
43,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,1,4,0,1,0,1,2,0,0,2,1,2,0,0,0,2,2,0,0,0,0,2,0,0,1,2,2,0,1,2,0,2,1
44,0,0,0,0,3,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,2,1,2,2,2,1,0,0,2,0,2,2,2,2,0,1,2,0,1,2,1,0,1,1,2,0,2,1,0
45,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,0,4,0,-1,2,1,2,1,1,1,1,1,0,2,1,2,1,1,2,0,0,0,0,0,1,0,1,1,1,0
46,0,0,0,0,3,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,7,1,2,1,0,2,2,2,0,1,1,0,1,0,2,0,1,1,1,2,2,0,2,1,0,2,2,2,1
47,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,4,6,0,0,2,0,1,0,0,0,1,2,2,2,2,2,1,1,2,0,2,0,0,2,2,2,1,2,1,1
48,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,0,4,0,-1,2,0,1,1,0,1,0,1,2,2,0,0,0,0,2,1,0,2,1,1,1,1,1,2,1,1
49,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,4,6,0,0,0,1,2,0,1,0,2,0,1,1,0,2,1,1,2,1,0,0,1,0,0,2,2,0,0,2
50,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,4,6,0,0,2,0,2,0,1,2,0,0,0,1,0,0,1,0,1,1,0,2,2,1,1,1,1,0,2,1
51,0,1,2,2,2,2,2,7,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,1,3,2,1,2,5,2,1,2,2,2,0,2,1,0,1,1,1,0,1,0,0,2,0,2,0,2,1,0,0,2,2,2,2
52,0,0,0,0,3,1,4,3,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,7,1,-1,1,0,2,2,1,2,2,1,2,2,0,1,0,0,2,1,1,2,0,0,2,2,0,0,1,1
53,0,1,2,2,2,4,6,7,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,1,3,2,1,2,5,2,1,0,1,2,2,0,2,0,2,0,2,0,2,2,0,1,0,2,2,0,1,2,1,1,0,2,0
54,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,6,1,0,-1,1,2,2,0,1,2,0,1,0,2,0,0,1,2,0,1,1,2,1,1,2,0,1,0,0,2
55,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,2,1,4,0,1,2,1,2,1,1,0,2,0,2,0,0,1,2,2,2,1,0,2,2,2,1,0,0,1,2,1,0,1,1
56,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,0,4,0,0,1,1,2,0,2,2,0,1,1,0,1,0,2,1,1,1,1,1,1,2,2,1,2,2,0,2
57,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,4,6,0,0,1,2,2,1,0,0,1,0,2,2,2,2,0,2,0,2,1,2,1,1,1,2,1,2,1,1
58,0,0,0,0,3,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,7,1,2,2,2,0,1,1,1,0,2,0,2,1,2,0,2,0,0,0,0,2,0,0,2,0,0,2,0
59,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,4,6,0,0,0,2,1,1,2,0,1,1,1,2,2,0,2,1,2,1,1,2,1,2,2,1,0,2,1,2
60,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,2,1,4,0,1,0,1,-1,0,2,1,2,2,0,1,1,2,1,0,0,0,2,1,1,2,2,1,1,2,0,1,1,1,2
61,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,0,4,0,0,0,2,0,2,1,1,1,2,1,1,1,0,0,2,1,0,1,1,2,2,2,2,1,0,2,2
62,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,0,4,0,0,0,1,2,1,2,2,1,1,2,1,2,2,0,2,0,2,2,1,2,0,2,1,1,0,2,0
63,0,1,2,2,2,2,2,6,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,1,3,2,1,2,5,2,-1,1,0,2,0,2,2,0,1,0,0,0,1,0,0,1,2,0,0,2,1,2,1,2,2,1,1
64,0,0,0,0,0,5,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,1,2,1,4,0,1,0,1,-1,1,1,1,0,1,2,1,1,2,0,2,0,1,2,0,2,2,1,0,0,0,0,0,1,0,0
65,0,0,0,0,3,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,7,1,2,0,2,2,1,0,0,0,0,2,2,2,1,2,1,1,0,0,0,2,2,2,1,2,2,2,2
66,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,4,6,0,0,1,2,0,1,0,0,2,2,1,2,0,2,2,1,1,2,2,1,1,1,2,1,0,2,0,2
67,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,6,1,0,0,2,0,2,1,2,2,0,2,1,0,2,2,1,1,0,2,1,0,1,2,2,1,2,2,1,2
68,0,1,2,3,4,3,6,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,1,1,3,5,5,3,2,1,0,0,1,1,0,2,2,1,0,2,1,0,0,0,2,2,2,2,0,0,1,0,1,1,0,0
69,0,1,2,3,4,4,6,5,14,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,1,1,3,5,5,3,2,1,1,0,2,2,1,2,2,2,1,0,1,1,2,0,0,1,2,2,1,0,1,1,0,0,2,0
70,0,1,1,3,4,3,5,4,8,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,2,1,3,5,5,3,2,-1,0,1,2,0,1,1,2,2,0,2,1,0,2,1,1,2,1,1,2,1,1,1,1,1,0,2
71,0,0,0,0,0,5,0,0,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,2,1,4,0,1,0,1,-1,2,1,2,0,1,1,1,1,0,1,1,2,0,0,1,0,1,1,1,0,0,2,1,1,0,2
72,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,6,1,0,0,1,1,2,1,0,2,2,2,1,0,2,0,2,1,1,0,1,0,0,1,0,2,1,1,0,1
73,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,2,1,4,0,1,2,1,2,0,1,1,1,2,2,2,2,1,0,0,2,0,1,0,2,0,1,2,0,0,1,2,1,1,1
74,0,1,1,1,1,0,1,1,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,4,6,0,-1,1,0,2,0,1,2,1,2,2,1,0,2,1,0,1,2,0,0,1,2,0,2,1,1,1,2
75,0,1,2,2,2,2,2,6,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,1,3,2,1,2,5,2,-1,0,0,0,0,2,2,0,0,2,1,0,0,1,0,0,0,2,2,2,1,1,2,0,1,1,2
76,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,4,6,0,0,2,1,0,0,1,0,0,1,0,1,2,0,2,1,0,2,2,1,2,2,1,0,0,2,1,2
77,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,6,1,0,-1,2,1,0,0,1,0,1,2,1,0,1,0,2,0,1,2,0,1,1,2,1,0,1,2,1,0
78,0,1,2,3,4,4,6,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,1,1,3,5,5,3,2,1,2,0,1,0,2,0,2,0,0,2,0,0,2,2,2,2,1,1,1,1,0,0,0,0,2,2
79,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,4,6,0,0,2,1,1,1,0,1,2,1,2,1,0,0,0,1,2,0,0,1,1,2,2,1,2,0,2,1
80,0,0,0,0,3,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,7,1,2,1,0,0,1,0,1,1,0,2,0,0,2,0,0,1,0,2,2,2,0,1,0,0,1,2,2
81,0,0,2,3,2,4,3,2,17,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,1,3,2,1,2,5,2,1,0,2,1,2,0,2,0,2,1,0,2,0,1,1,2,0,0,1,1,1,2,0,0,0,1,0
82,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,6,1,0,0,0,0,0,1,2,0,2,0,0,2,1,0,0,1,1,2,1,0,0,0,2,2,2,1,2,2
83,0,1,1,1,1,0,6,5,-1,7,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,0,0,1,1,3,5,5,3,0,-1,2,0,0,0,1,1,0,1,1,2,0,1,1,1,0,2,1,1,0,2,0,2,0,2,2,1
84,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,6,1,0,0,0,1,2,2,0,1,1,1,2,2,2,0,2,1,2,0,1,1,1,1,0,1,1,1,2,1
85,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,4,6,0,0,1,0,0,0,2,1,0,1,2,1,0,1,0,1,1,2,0,2,2,1,1,0,1,0,2,0
86,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,4,6,0,0,0,1,0,2,2,2,1,2,0,2,2,1,1,1,1,0,1,0,1,2,0,1,0,0,0,1
87,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,3,4,0,4,0,0,0,0,0,1,1,2,2,0,1,0,2,1,0,2,2,0,0,1,0,1,2,1,1,2,1,0
88,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,0,0,1,3,4,6,0,0,1,2,2,0,1,1,1,0,1,1,1,2,1,2,0,0,2,1,1,0,2,2,1,1,2,0
89,0,0,0,3,4,3,5,4,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,1,3,5,5,3,2,1,2,2,0,0,1,0,0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,2,0,1,2,2
90,0,0,0,0,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,2,1,4,0,1,2,1,2,1,2,2,1,2,0,0,2,2,1,1,0,2,0,0,0,0,0,0,1,1,0,2,2,1,2
91,0,1,2,3,4,3,6,5,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,1,1,3,5,5,3,2,1,1,0,0,1,2,1,2,0,1,2,0,0,0,0,0,1,0,2,1,0,1,0,1,2,0,1
92,0,0,0,0,3,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,2,1,2,1,0,2,1,1,0,1,2,0,2,0,2,1,1,1,1,1,2,1,2,0,2,2,1,2,2
93,0,0,0,0,3,1,4,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,7,1,2,1,1,1,2,0,1,2,2,0,1,2,1,2,0,2,0,0,0,0,1,0,2,0,2,0,0
94,0,0,0,0,3,1,4,3,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,2,2,0,2,3,7,1,-1,0,2,0,0,0,1,0,1,2,2,2,1,1,0,1,0,1,1,2,1,0,0,0,1,2,2
95,0,1,1,3,4,4,6,5,18,1,0,0,0,0,0,0,0,0,1,1,1,3,4,4,2,0,0,1,3,3,5,5,3,2,1,1,2,1,2,1,2,1,1,2,1,0,2,2,0,0,0,0,2,1,0,0,1,0,2,0,1
