,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_08_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57
10,0,1,0,2,3,3,4,4,7,0,0,0,0,0,0,0,0,0,0,1,3,0,3,3,2,0,0,1,1,0,5,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1
11,0,1,0,2,3,1,2,4,1,1,1,1,1,0,0,0,0,0,1,1,2,0,4,6,3,0,1,0,0,1,4,6,4,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1
12,0,0,2,1,0,5,6,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,0,2,0,3,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1
13,0,1,0,2,1,4,5,0,2,1,1,1,1,0,0,0,0,0,1,1,2,2,4,6,3,0,1,0,0,1,3,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0
14,0,0,1,1,4,2,3,5,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,1,3,4,1,2,7,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1
15,0,1,0,0,2,4,5,6,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
16,0,0,1,3,3,3,4,2,5,1,1,1,1,0,0,0,0,0,0,2,3,0,2,4,6,0,1,0,0,1,4,6,4,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1
17,0,1,2,0,2,0,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,0,0,2,3,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0
18,0,0,2,1,0,5,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,2,3,4,1,0,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
19,0,1,0,2,1,4,5,0,10,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,2,2,3,2,5,5,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1
20,0,0,1,3,4,2,1,7,11,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,1,1,0,5,2,7,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0
21,0,1,2,0,2,0,6,1,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,0,0,2,0,3,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0
22,0,0,1,3,3,3,4,4,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,1,1,0,5,4,2,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1
23,0,1,2,0,2,0,0,3,-1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,2,3,4,1,0,6,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
24,0,1,0,2,1,4,5,0,13,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,2,2,3,2,5,5,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0
25,0,0,1,3,4,2,1,2,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,1
26,0,1,0,2,1,1,2,0,15,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,7,0,0,1,1,0,5,4,2,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,1,1
27,0,1,2,0,2,0,6,1,8,1,1,1,1,0,0,0,0,0,0,0,1,1,0,5,5,0,1,0,0,2,0,3,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0
28,0,1,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,2,2,3,2,0,6,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0
29,0,0,1,3,3,3,4,4,12,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,1,1,0,5,4,2,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
30,0,0,1,3,4,2,1,2,14,1,1,1,1,0,0,0,0,0,0,2,0,1,2,4,5,0,1,0,0,2,0,3,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
31,0,0,2,1,2,0,6,1,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,2,3,4,1,0,3,0,0,0,0,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,0
32,0,0,2,1,0,0,6,1,16,0,0,0,0,0,0,0,0,0,1,0,1,4,5,1,1,0,0,2,3,4,1,0,3,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0
33,0,0,1,3,4,2,1,7,17,0,0,0,0,0,0,0,0,0,0,2,3,3,2,2,6,0,0,1,3,4,1,2,7,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0
34,0,0,2,1,0,5,6,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,0,2,0,3,0,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1
35,0,0,1,3,3,3,4,4,5,1,1,1,1,0,0,0,0,0,0,1,3,0,4,4,3,0,1,0,0,1,4,6,4,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
36,0,1,0,0,2,4,5,6,2,1,1,1,1,0,0,0,0,0,1,1,1,4,4,0,0,0,1,0,0,1,3,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
37,0,0,1,3,4,2,1,2,3,1,1,1,1,0,0,0,0,0,0,2,3,1,2,4,6,0,1,0,0,1,4,6,4,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1
38,0,1,2,0,2,0,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,0,0,1,0,0,2,3,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0
39,0,0,1,3,3,3,4,4,-1,0,0,0,0,0,0,0,0,0,0,2,3,0,3,3,2,0,0,1,1,0,5,4,2,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1
40,0,1,2,0,2,4,0,6,2,1,1,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,1,0,0,2,3,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1
41,0,1,0,2,1,4,5,0,18,0,0,0,0,0,0,0,0,0,1,1,2,2,1,0,7,0,0,2,2,3,2,5,5,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,1,1
42,0,0,2,1,0,5,3,1,8,1,1,1,1,0,0,0,0,0,0,0,0,1,0,5,5,0,1,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0
43,0,0,1,3,3,3,4,4,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,1,1,0,5,4,2,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0
44,0,1,2,0,2,4,0,6,20,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,2,2,3,2,5,6,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1
45,0,1,0,2,3,1,2,4,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,3,6,2,0,0,1,1,0,5,4,2,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1
46,0,0,1,3,4,3,1,7,21,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,6,0,0,1,1,0,5,2,7,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1
47,0,1,2,0,2,0,0,6,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,2,3,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
48,0,0,1,1,0,5,3,2,22,1,1,1,1,0,0,0,0,0,0,2,0,1,0,5,5,0,1,0,0,2,0,3,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1
49,0,1,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,1,0,0,2,2,3,2,0,6,1,0,0,0,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
50,0,1,2,0,2,0,6,1,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,5,5,0,1,0,0,2,3,3,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0
51,0,0,1,1,4,2,3,5,9,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,0,0,1,3,4,1,2,7,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0
52,0,1,2,0,2,0,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,2,3,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0
53,0,0,2,1,0,5,3,5,23,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,0,2,3,4,1,0,3,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0
54,0,0,2,1,0,5,6,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,4,0,0,2,3,4,1,0,3,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
55,0,1,0,2,3,1,2,0,25,0,0,0,0,0,0,0,0,0,1,1,2,2,3,6,2,0,0,1,1,0,5,4,2,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
56,0,1,2,0,2,4,0,6,2,1,1,1,1,0,0,0,0,0,1,0,1,4,4,0,0,0,1,0,0,2,3,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1
57,0,0,1,1,4,2,3,5,26,0,0,0,0,0,0,0,0,0,0,2,0,3,2,2,4,0,0,1,3,4,1,2,7,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1
58,0,0,1,3,3,3,4,4,19,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,2,0,0,1,1,0,5,4,2,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0
59,0,1,2,0,2,0,0,3,8,1,1,1,1,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,2,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0
60,0,1,2,0,2,0,0,3,27,0,0,0,0,0,0,0,0,0,1,0,1,4,1,1,0,0,0,2,2,3,2,5,6,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0
