,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1
37,0,1,2,1,1,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,3,7,0,0,0,3,3,3,0,5,0,-1,1
38,0,1,2,1,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,5,7,0,0,0,3,2,2,6,2,0,-1,0
39,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,1,3,0,0,0,0,3,2,2,6,2,0,-1,0
40,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,1,3,2,0,0,0,3,2,2,6,2,0,-1,1
41,0,1,2,1,1,3,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,6,3,0,0,0,3,2,2,6,2,0,-1,0
42,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,0,0,0,0,0,3,2,2,5,4,0,-1,1
43,0,1,2,3,4,3,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,4,1,1,0,0,0,3,2,2,6,2,0,-1,1
44,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,1,3,0,0,0,3,2,2,6,2,0,-1,0
45,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,0,0,3,2,2,6,2,0,-1,0
46,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,0,3,0,0,0,3,2,2,6,2,0,-1,2
47,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,2,3,0,0,0,3,2,2,6,2,0,-1,0
48,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,1,4,6,0,0,0,3,2,2,5,4,0,-1,2
49,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,3,7,0,0,0,3,2,2,5,4,0,-1,2
50,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,0,6,0,0,0,0,3,2,2,5,4,0,-1,1
51,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,4,3,1,0,0,0,3,2,2,5,4,0,-1,0
52,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,2,5,2,1,0,0,0,3,2,2,5,4,0,-1,2
53,0,1,2,1,1,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,1,1,5,4,1,0,0,0,3,3,3,0,5,0,-1,0
54,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,2,7,0,0,0,3,2,2,6,2,0,-1,2
55,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,4,0,0,0,0,0,3,2,2,5,4,0,-1,2
56,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,0,7,0,0,0,3,2,2,6,2,0,-1,2
57,0,1,2,1,1,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,3,1,1,4,2,0,0,0,3,3,3,0,5,0,-1,0
58,0,1,2,1,1,1,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,1,5,4,0,0,0,3,2,2,5,4,0,-1,1
59,0,1,0,0,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,3,2,5,7,0,0,1,0,4,1,1,1,0,-1,2
60,0,0,0,0,3,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,2,2,6,3,0,1,1,1,0,5,4,0,0,-1,2
61,0,0,1,0,3,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,0,0,6,0,1,1,2,1,5,4,0,0,-1,0
62,0,1,0,0,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,1,4,3,0,0,1,0,4,1,1,1,0,-1,0
63,0,1,0,3,0,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,1,1,2,0,0,1,0,4,1,1,1,0,-1,1
64,0,1,0,0,3,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,1,4,7,0,0,1,1,0,4,2,7,0,-1,1
65,0,1,0,3,0,3,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,1,1,4,0,0,1,0,4,1,1,1,0,-1,2
66,0,1,0,3,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,3,2,2,0,0,1,0,4,1,1,1,0,-1,2
67,0,1,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,3,2,0,0,0,1,0,4,1,1,1,0,-1,2
68,0,0,0,0,3,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,2,0,0,0,1,1,1,0,5,4,0,0,-1,0
69,0,1,0,3,3,5,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,3,1,4,0,0,0,0,2,2,6,2,1,-1,0
70,0,0,0,0,3,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,0,1,5,0,1,1,1,0,5,4,3,0,-1,2
71,0,1,0,3,4,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,0,1,3,3,3,1,1,0,-1,0
72,0,1,0,0,0,4,4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,5,1,6,0,0,1,0,4,1,1,1,0,-1,2
73,0,1,2,3,4,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,3,0,0,0,0,3,3,3,0,5,0,-1,2
74,0,1,0,3,4,3,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,1,6,4,0,0,1,0,4,1,1,1,0,-1,2
75,0,1,0,0,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,2,3,1,0,0,1,0,4,1,1,1,0,-1,1
76,0,1,0,0,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,4,6,7,0,0,1,0,4,1,1,1,0,-1,1
77,0,0,0,0,3,0,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,2,4,0,1,1,1,0,5,4,0,0,-1,2
78,0,1,0,3,3,5,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,4,3,1,0,0,0,3,2,2,6,2,1,-1,1
79,0,1,0,3,4,3,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,4,0,2,0,0,1,0,4,1,1,1,0,-1,1
80,0,1,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,4,6,2,0,0,1,0,4,1,1,1,0,-1,0
81,0,1,0,3,0,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,3,5,7,0,0,1,0,4,1,1,1,0,-1,2
82,0,1,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,4,5,0,0,0,1,1,0,4,2,7,0,-1,1
83,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,4,4,1,0,1,2,1,0,5,4,0,0,-1,0
84,0,1,0,3,0,3,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,0,4,1,1,0,0,1,0,4,1,1,1,0,-1,2
85,0,1,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,0,2,7,0,0,1,0,4,1,1,1,0,-1,0
86,0,1,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,4,4,4,1,0,0,1,1,0,4,2,7,0,1,2
87,0,1,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,3,3,1,0,0,1,1,0,4,2,7,0,-1,2
88,0,0,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,4,2,4,3,0,0,1,1,0,4,2,7,0,-1,1
89,0,1,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,5,6,6,0,0,1,1,0,4,2,7,0,-1,2
90,0,0,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,5,4,7,0,0,1,1,0,4,2,7,0,1,1
91,0,0,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,5,4,3,0,0,1,1,0,4,2,7,0,1,1
92,0,0,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,0,3,6,0,1,1,1,0,4,2,7,0,1,0
93,0,1,0,3,0,3,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,1,4,2,0,0,1,0,4,1,1,1,0,-1,0
94,0,1,0,3,0,3,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,5,4,3,0,0,1,0,4,1,1,1,0,-1,2
95,0,1,2,3,1,5,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,4,0,0,0,0,3,2,2,6,2,1,-1,0
96,0,1,0,3,4,3,6,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,3,0,6,0,1,2,2,1,1,1,3,0,-1,2
97,0,1,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,2,0,6,3,0,0,1,0,4,1,1,1,0,-1,0
98,0,1,0,3,0,3,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,5,4,5,0,0,1,0,4,1,1,1,0,-1,2
99,0,1,0,3,0,3,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,0,3,4,0,0,1,0,4,1,1,1,0,-1,0
100,0,1,0,0,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,2,1,2,1,0,0,1,0,4,1,1,1,0,-1,2
101,0,1,0,0,3,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,3,2,5,2,0,0,1,0,4,1,1,1,0,-1,0
102,0,1,0,3,4,3,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,2,4,5,4,0,0,1,0,4,1,1,1,0,0,2
103,0,1,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,4,2,5,3,0,0,1,0,4,1,1,1,0,-1,2
104,0,1,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,0,5,4,0,0,1,0,4,1,1,1,0,-1,0
105,0,0,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,3,5,1,6,0,0,1,1,0,4,2,7,0,-1,2
106,0,1,0,0,0,4,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,3,5,4,0,0,1,0,4,1,1,1,0,-1,0
107,0,0,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,2,1,7,0,0,1,1,0,4,2,7,0,1,0
108,0,1,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,2,3,7,0,0,1,0,4,1,1,1,0,-1,0
109,0,1,0,3,4,3,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,5,0,4,0,0,1,0,4,1,1,1,0,-1,1
110,0,1,0,3,4,3,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,4,0,5,3,0,0,1,0,4,1,1,1,1,-1,0
111,0,1,0,0,0,4,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,6,4,0,0,1,0,4,1,1,1,0,0,1
112,0,0,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,1,1,1,0,4,2,7,0,-1,2
113,0,1,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,0,1,4,0,0,1,1,0,4,2,7,0,-1,2
114,0,1,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,2,0,0,0,1,1,0,4,2,7,0,0,1
115,0,1,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,4,6,0,0,1,1,0,4,2,7,0,-1,1
116,0,1,0,0,0,0,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,3,2,7,0,0,1,0,4,1,1,1,0,-1,2
117,0,1,0,0,0,4,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,0,4,0,0,1,0,4,1,1,1,0,-1,1
118,0,0,1,0,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,3,5,3,0,1,2,2,1,5,4,0,0,-1,0
119,0,1,0,0,0,4,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,2,3,2,0,0,1,0,4,1,1,1,0,-1,0
120,0,1,0,3,4,3,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,1,2,7,0,0,1,0,4,1,1,1,0,-1,0
121,0,1,2,3,4,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,2,2,7,0,0,1,3,3,3,0,5,0,-1,1
122,0,0,0,3,4,4,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,3,5,5,0,0,1,1,0,4,2,7,0,-1,1
123,0,1,0,3,4,3,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,3,0,5,0,0,1,0,4,1,1,1,0,-1,0
124,0,1,0,3,4,3,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,0,3,5,5,0,0,1,0,4,1,1,1,0,-1,0
125,0,1,0,0,0,4,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,2,1,0,0,0,1,0,4,1,1,1,0,0,2
126,0,1,0,3,0,3,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,0,2,0,1,0,0,1,0,4,1,1,1,0,0,1
127,0,0,0,0,0,4,4,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,3,4,2,5,0,0,1,1,0,4,2,7,0,-1,1
128,0,1,0,0,0,4,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,2,2,2,1,0,0,1,1,0,4,2,7,0,-1,0
129,0,0,0,0,0,4,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,3,2,3,3,0,0,1,1,0,1,1,1,0,-1,1
130,0,0,1,2,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,3,2,0,0,1,2,2,1,5,4,3,0,-1,0
131,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,2,4,2,3,6,0,1,2,2,1,0,3,3,0,-1,0
132,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,0,2,2,5,0,1,2,2,1,0,3,3,0,-1,0
133,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,2,1,6,0,1,2,2,1,0,3,3,0,-1,1
134,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,4,2,0,0,1,2,1,0,5,4,0,0,-1,1
135,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,2,6,1,0,1,2,2,1,5,4,0,0,-1,1
136,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,3,3,2,0,1,2,2,1,5,4,0,0,-1,1
137,0,0,1,2,2,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,3,0,6,4,0,1,2,2,1,5,4,0,0,-1,1
138,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,3,3,2,0,1,2,2,1,5,4,0,0,-1,0
139,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,2,3,0,0,1,2,2,1,5,4,0,0,2,0
140,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,0,3,2,5,0,1,2,2,1,5,4,0,0,2,1
141,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,3,0,6,3,0,1,2,2,1,5,4,0,0,-1,1
142,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,0,3,2,0,1,2,2,1,5,4,0,0,2,2
143,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,0,4,2,0,1,2,2,1,5,4,0,0,-1,2
144,0,0,1,2,2,2,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,2,3,1,5,0,1,2,2,1,0,3,3,0,-1,2
145,0,0,1,2,2,2,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,2,2,0,0,1,2,2,1,5,4,0,0,-1,2
