,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4,random_n5,random_n6,random_n7,random_n8,random_n9,random_n10
10,0,1,0,1,0,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,4,4,5,0,1,2,0,4,0,0,7,0,-1,0,1,1,1,1,0,0,1,1,0
11,0,0,1,0,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,4,0,6,2,0,0,0,1,0,3,6,2,0,-1,0,0,0,0,1,1,1,0,0,1
12,0,0,2,2,1,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,0,0,4,0,0,1,3,2,1,2,4,6,-1,1,0,0,0,0,1,1,1,1,1
13,0,1,0,1,2,5,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,4,0,7,0,1,2,2,4,0,0,7,0,-1,1,1,0,0,1,0,1,1,1,1
14,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,2,4,6,0,0,0,1,0,3,6,2,9,-1,0,1,0,1,0,1,0,1,1,1
15,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,2,0,0,0,0,1,0,3,6,2,0,-1,1,0,1,0,1,1,0,1,1,1
16,0,1,0,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,0,5,0,0,1,2,0,4,0,0,7,0,-1,1,1,0,0,0,1,1,0,1,1
17,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,0,1,6,4,0,0,0,1,0,3,6,2,0,-1,0,0,0,1,0,0,0,1,0,1
18,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,1,5,6,2,0,0,1,3,2,1,2,5,0,-1,1,1,1,0,0,1,1,0,1,0
19,0,1,0,1,4,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,0,2,0,1,2,2,1,0,1,6,0,-1,0,0,1,0,0,0,1,1,0,0
20,0,1,0,1,4,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,2,0,6,0,1,2,2,1,4,1,6,0,-1,0,0,1,1,0,0,0,0,0,0
21,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,5,7,0,1,2,2,1,4,1,3,0,-1,1,1,1,0,0,0,0,0,1,1
22,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,3,1,1,7,0,0,0,1,0,3,6,2,7,-1,0,1,1,1,0,1,0,1,0,0
23,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,0,4,5,6,0,0,1,3,2,0,0,5,0,-1,0,0,0,0,1,1,1,0,0,1
24,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,2,3,0,0,0,0,1,3,2,1,2,5,0,-1,0,1,0,0,0,1,1,0,1,0
25,0,0,2,2,1,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,3,0,1,1,0,0,1,3,2,1,2,4,4,-1,0,1,1,0,0,0,1,0,0,0
26,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,3,4,5,0,0,0,1,0,3,6,2,0,-1,1,0,1,0,0,0,0,1,0,0
27,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,1,1,5,3,1,0,0,1,3,2,0,0,5,0,-1,0,0,1,1,0,0,1,1,1,0
28,0,0,1,0,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,0,0,5,0,0,0,1,0,3,6,2,0,-1,1,0,1,1,1,1,0,0,0,1
29,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,2,3,0,0,0,1,3,2,0,0,5,0,-1,0,1,0,0,1,1,1,0,1,0
30,0,0,2,0,1,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,3,5,1,0,0,1,3,2,1,2,4,7,-1,0,1,1,1,1,0,1,0,0,0
31,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,0,0,6,4,0,0,0,1,0,3,6,2,0,-1,1,1,1,0,1,1,1,0,1,0
32,0,0,2,0,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,0,3,0,0,1,3,2,1,2,2,0,-1,1,0,0,0,1,1,1,1,1,1
33,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,3,2,0,0,0,1,3,2,3,6,2,0,-1,0,0,0,0,0,1,0,1,0,1
34,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,5,3,3,0,0,0,1,0,3,6,2,0,-1,0,1,0,1,1,1,1,0,1,0
35,0,0,1,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,3,0,5,0,0,0,1,0,3,6,2,0,-1,0,1,0,0,1,1,0,1,0,0
36,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,3,6,6,0,0,0,1,0,3,6,2,0,-1,0,1,1,1,1,0,0,0,0,1
37,0,1,0,1,0,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,4,0,3,7,0,1,2,0,4,5,5,7,0,-1,1,1,0,0,0,0,0,1,1,0
38,0,1,0,1,0,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,3,1,5,7,0,1,2,0,4,5,5,7,0,-1,1,1,1,0,0,0,1,0,1,1
39,0,1,1,3,4,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,1,3,0,0,0,0,1,0,3,6,2,0,-1,0,0,0,1,1,1,1,1,1,0
40,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,1,2,0,4,5,5,7,0,-1,1,0,1,0,0,1,1,1,0,0
41,0,1,1,3,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,0,6,3,0,1,0,1,0,3,6,2,0,-1,0,0,0,0,0,0,1,0,0,0
42,0,0,2,2,1,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,0,0,0,0,1,3,2,1,2,4,7,-1,0,1,1,0,0,0,0,1,0,1
43,0,0,1,3,4,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,0,4,6,1,0,0,0,1,0,3,6,2,0,-1,0,0,0,1,1,0,1,0,1,0
44,0,1,0,1,4,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,3,1,3,0,1,0,1,0,3,6,2,0,-1,1,0,0,1,1,1,1,0,0,0
45,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,0,1,3,2,1,2,4,0,-1,0,1,1,1,1,1,1,0,1,0
46,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,3,0,2,0,3,0,1,2,2,1,4,1,3,0,-1,0,1,0,0,0,0,1,0,0,0
47,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,4,4,2,3,0,0,0,1,0,3,6,2,0,-1,0,1,1,1,0,1,0,0,1,1
48,0,1,0,1,4,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,4,4,0,1,2,2,1,4,1,6,0,-1,1,1,1,0,0,0,0,0,0,0
49,0,1,0,1,0,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,2,6,2,0,1,2,0,4,5,5,7,0,-1,1,0,0,0,0,1,0,0,0,1
50,0,1,0,1,0,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,1,4,0,1,2,0,3,2,5,3,0,-1,1,1,0,1,1,1,0,1,0,0
51,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,1,2,0,3,2,4,1,0,-1,0,0,1,1,0,1,0,0,0,0
52,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,1,2,0,3,2,1,3,0,-1,0,1,1,1,0,1,1,1,0,1
53,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,0,5,4,1,0,0,1,3,2,0,0,5,0,-1,1,1,1,0,1,1,0,1,1,0
54,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,0,2,7,0,1,2,0,4,0,0,7,0,-1,0,1,1,1,1,1,0,0,1,0
55,0,1,0,1,0,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,1,4,0,1,2,2,1,4,1,3,0,-1,1,1,0,1,1,0,1,1,0,0
56,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,1,0,7,0,0,1,3,2,1,2,5,0,-1,0,1,1,1,0,0,1,1,0,0
57,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,1,4,4,2,0,0,0,1,0,3,6,2,0,-1,0,1,1,1,1,0,0,1,1,1
58,0,1,0,1,0,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,5,4,0,1,2,0,3,2,4,1,0,-1,0,0,1,0,0,0,1,0,1,0
59,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,3,2,5,7,0,1,2,2,1,4,1,3,0,-1,0,1,1,1,1,1,1,0,1,1
60,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,2,2,6,3,0,1,2,2,1,4,1,3,0,-1,0,1,0,0,1,1,1,0,1,1
61,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,0,0,6,0,1,2,2,1,4,1,3,0,-1,1,1,1,0,1,0,1,0,1,1
62,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,1,4,3,0,0,0,1,0,3,6,2,0,-1,0,1,0,0,1,0,0,0,1,1
63,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,1,1,2,0,1,2,2,1,4,1,3,11,-1,1,1,0,0,0,1,1,0,1,0
64,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,4,1,4,7,0,0,0,1,0,3,6,2,0,-1,1,1,1,1,1,1,1,1,0,1
65,0,0,1,3,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,1,3,7,0,0,0,1,0,3,6,2,0,-1,1,1,1,0,0,1,0,1,0,0
66,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,2,3,2,2,0,1,2,2,1,4,1,3,0,-1,1,1,1,1,1,0,1,1,1,1
67,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,1,4,0,1,2,0,3,2,1,3,0,-1,1,1,0,0,1,0,1,0,0,0
68,0,0,1,3,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,3,2,0,0,0,0,0,1,0,3,3,0,13,-1,1,1,1,0,0,1,1,0,0,0
69,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,5,1,4,0,1,2,0,3,2,1,3,0,-1,1,0,1,1,1,0,0,0,1,0
70,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,0,1,5,0,0,1,3,2,0,0,5,0,-1,0,0,1,1,0,0,0,0,0,0
71,0,1,1,3,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,3,1,5,0,1,0,2,1,4,3,0,11,-1,1,1,1,1,0,0,0,0,0,1
72,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,5,1,6,0,0,0,1,0,3,6,2,7,-1,0,1,0,0,1,1,1,0,1,0
73,0,1,0,1,4,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,3,0,0,1,0,2,1,0,0,6,0,-1,1,1,1,1,1,0,0,0,1,1
74,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,1,4,0,1,2,0,3,2,1,6,0,-1,1,0,0,0,1,0,1,0,0,0
75,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,4,2,3,1,0,0,1,3,2,0,0,5,0,-1,1,0,0,1,1,0,1,1,1,1
76,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,4,6,7,0,1,2,2,1,4,1,3,0,-1,0,1,1,0,0,1,1,1,0,0
77,0,0,2,2,1,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,3,2,4,0,0,1,3,2,1,2,4,7,-1,0,1,0,1,0,1,1,1,0,0
78,0,0,2,2,1,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,1,3,4,3,1,0,0,1,3,2,1,2,4,5,-1,0,1,0,1,1,0,1,1,0,0
79,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,1,4,0,1,2,2,1,4,1,6,0,-1,0,1,0,1,1,0,0,0,1,0
80,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,0,4,6,2,0,1,2,2,1,4,1,3,0,-1,1,1,0,1,1,1,1,1,1,0
81,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,1,3,3,7,0,0,0,1,0,3,6,2,0,-1,0,1,1,0,0,1,1,0,0,1
82,0,0,2,2,1,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,1,4,5,0,0,0,1,3,2,1,2,4,4,-1,0,1,0,1,1,0,1,0,0,1
83,0,0,2,0,2,5,0,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,3,4,4,1,0,0,1,3,2,1,2,5,6,-1,1,1,0,0,0,1,0,0,0,0
84,0,1,0,1,4,3,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,4,4,0,1,2,2,1,4,1,3,0,-1,0,1,1,1,1,1,0,0,1,1
85,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,0,0,2,7,0,0,1,3,2,0,0,5,0,-1,0,1,1,0,0,0,0,1,0,1
86,0,1,0,1,4,3,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,4,4,1,0,1,2,2,1,0,0,6,0,-1,1,1,1,1,1,0,1,0,0,0
87,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,2,3,3,1,0,0,1,3,2,0,0,5,0,-1,0,1,1,0,1,1,0,1,1,1
88,0,1,0,1,4,3,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,5,2,0,1,2,2,1,4,1,6,0,-1,0,0,1,1,1,0,1,0,0,0
89,0,0,1,3,4,3,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,5,6,6,0,1,0,2,1,0,0,6,0,-1,0,1,0,0,1,0,0,1,0,0
90,0,1,0,1,0,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,2,3,2,7,0,1,2,0,4,5,5,7,0,-1,1,0,0,0,0,0,1,1,0,1
91,0,1,0,1,4,3,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,3,5,4,3,0,1,2,2,1,0,0,6,0,-1,1,1,1,1,1,0,1,1,1,0
92,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,1,4,0,1,2,0,3,2,4,1,0,-1,1,0,1,0,0,1,1,0,0,0
93,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,1,4,0,1,2,0,1,4,1,6,0,-1,1,0,0,1,0,0,1,1,1,0
94,0,0,1,0,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,0,5,4,3,0,0,0,1,0,3,6,2,0,-1,1,1,0,0,0,0,1,1,1,0
95,0,0,2,0,2,5,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,4,0,0,0,1,3,2,0,0,5,0,-1,1,1,1,1,0,0,0,0,1,1
96,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,0,3,0,6,0,1,2,2,1,4,1,3,0,-1,0,0,0,0,1,0,0,1,0,0
97,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,2,0,6,3,0,1,2,2,1,4,1,3,0,-1,0,0,0,0,1,0,1,1,0,0
98,0,1,0,1,4,3,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,4,2,4,4,0,1,2,2,1,4,1,6,0,-1,1,0,1,0,1,1,0,1,0,0
99,0,1,1,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,3,0,3,2,0,1,0,2,1,4,0,6,0,-1,0,1,0,1,0,0,1,1,1,0
100,0,1,0,1,0,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,2,2,1,2,1,0,1,2,0,4,5,5,7,0,-1,1,1,0,1,0,1,0,0,1,1
101,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,2,3,2,5,2,0,1,2,2,1,4,1,3,0,-1,1,0,0,1,0,1,0,1,1,0
102,0,1,0,1,0,1,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,4,1,4,0,1,2,0,4,5,5,7,0,-1,0,0,0,0,1,0,0,1,0,1
103,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,5,2,0,1,2,2,1,4,1,3,0,-1,1,0,1,1,1,1,0,1,1,1
104,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,0,0,4,0,1,2,2,1,4,1,3,0,-1,1,0,1,1,1,0,1,1,1,0
105,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,2,3,5,1,6,0,0,0,1,0,3,6,2,0,-1,0,1,1,1,1,1,1,0,1,0
106,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,3,3,5,2,0,1,0,2,1,4,1,3,0,-1,0,0,1,0,1,1,1,0,0,0
107,0,1,0,1,0,1,5,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,4,2,1,4,0,1,2,0,3,2,1,6,0,-1,0,0,1,1,1,0,1,0,1,0
108,0,0,2,2,1,4,6,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,2,3,7,0,0,1,3,2,1,2,4,4,-1,1,1,1,1,1,0,1,1,1,0
109,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,2,0,4,0,1,2,2,1,4,1,6,0,-1,0,1,1,1,0,0,0,1,0,0
110,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,4,0,5,3,0,1,2,2,1,4,1,3,0,-1,0,1,1,0,1,0,1,0,1,0
111,0,1,1,3,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,5,6,4,0,1,0,2,1,4,3,0,0,-1,1,0,1,1,0,1,1,0,0,0
112,0,0,1,3,3,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,1,0,4,0,0,0,1,0,3,3,0,11,-1,0,0,0,0,1,0,1,1,0,0
113,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,3,0,1,4,0,1,0,2,1,4,3,0,0,-1,1,0,0,1,0,0,1,1,0,1
114,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,1,2,2,0,0,1,2,2,1,4,1,3,0,-1,1,0,1,0,0,0,1,1,1,1
115,0,1,0,1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,2,2,2,4,4,0,1,2,2,1,4,1,6,0,-1,0,1,0,0,1,0,1,0,1,0
116,0,1,0,1,4,3,4,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,3,1,3,2,7,0,1,0,2,1,4,3,0,11,-1,0,1,1,0,0,1,1,0,1,1
117,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,1,0,4,2,0,4,0,0,0,1,0,3,6,2,0,-1,1,0,1,0,1,1,1,0,1,0
118,0,0,1,3,3,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,2,3,2,3,5,3,0,0,0,1,0,3,6,2,0,-1,1,0,0,1,0,0,0,0,1,1
