,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3,random_n4,random_n5,random_n6,random_n7,random_n8,random_n9,random_n10,random_n11,random_n12,random_n13,random_n14,random_n15
14,0,1,0,3,3,1,3,6,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,2,3,2,5,4,5,1,-1,2,1,0,0,2,2,2,1,2,1,2,2,0,2,1
15,0,1,0,3,3,1,3,6,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,2,3,2,5,4,5,1,-1,0,0,1,0,0,0,2,0,0,2,2,2,1,0,2
16,0,1,0,3,3,1,3,6,-1,-1,2,1,0,0,0,0,0,0,1,1,3,0,1,1,0,0,1,2,3,2,5,4,5,1,-1,1,0,2,1,2,2,2,1,0,0,1,1,2,1,1
17,0,1,0,3,3,5,6,2,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1
18,0,1,0,3,3,1,3,6,-1,-1,-1,-1,0,0,0,0,0,0,1,1,3,0,1,1,0,0,1,2,3,2,5,4,5,1,-1,1,1,0,0,1,0,1,2,0,0,1,2,2,0,2
19,0,1,0,3,3,1,6,2,-1,8,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,2,3,2,5,4,5,1,-1,1,1,1,2,1,1,2,0,2,0,0,2,1,0,1
20,0,1,0,3,3,5,6,2,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,0,2,2,0,1,1,1,1,2,0,0,2,2,1,1
21,0,1,0,3,3,1,6,2,-1,-1,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,2,3,2,5,4,5,1,-1,1,1,1,0,2,2,1,1,2,0,2,1,2,2,0
22,0,1,0,3,3,5,6,2,-1,-1,-1,-1,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,0,0,0,1,0,1,0,2,1,2,0,2,0,1,1
23,0,1,0,1,0,5,6,2,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,0,0,0,1,1,0,0,0,0,0,1,1,1,2,2
24,0,1,0,1,0,5,6,2,-1,7,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,1,1,0,1,2,2,1,1,0,0,2,1,0,2,1
25,0,1,0,1,0,2,0,5,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,0,4,5,0,1,1,2,2,0,1,1,1,0,0,0,2,0,1,2,0,2
26,0,1,0,1,3,5,6,2,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,0,1,0,1,1,0,2,2,0,0,1,1,2,2,2
27,0,1,0,3,3,5,6,2,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,0,2,1,1,1,1,1,2,1,0,0,0,1,1,1,1
28,0,1,0,3,3,5,6,2,-1,4,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,0,1,0,2,2,2,1,2,0,2,0,0,2,1,2
29,0,1,0,1,0,2,0,5,-1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,0,4,5,0,1,1,1,0,2,0,0,1,1,1,0,0,0,1,0,0,0
30,0,1,0,1,0,2,0,5,-1,5,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,0,4,5,0,1,1,1,0,2,2,2,2,2,0,1,0,1,1,1,2,2
31,0,1,0,3,3,5,6,2,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,2,0,2,0,2,2,2,1,0,2,1,2,2,1,0
32,0,1,0,3,3,1,3,6,-1,-1,-1,-1,1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,2,3,2,5,4,5,1,-1,0,1,0,1,2,1,1,2,0,0,0,0,0,2,2
33,0,1,0,3,3,1,3,6,-1,-1,-1,-1,1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,2,3,2,5,4,5,1,-1,1,2,0,0,2,2,2,1,0,2,1,0,0,1,1
34,0,1,0,1,0,2,0,5,-1,5,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,0,4,5,0,1,1,1,1,2,2,2,2,0,2,1,0,0,2,1,1,2
35,0,1,0,1,0,2,0,5,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,0,4,5,0,1,-1,1,1,0,0,0,2,0,1,0,0,2,1,2,1,2
36,0,1,0,3,3,5,6,2,-1,-1,-1,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,0,0,2,0,1,2,1,2,1,2,1,0,0,1,2
37,0,1,0,3,3,5,6,2,-1,3,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,2,0,2,1,1,1,0,0,1,1,0,1,1,0,0
38,0,1,0,1,0,2,0,5,-1,-1,3,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,0,4,5,0,1,1,0,1,0,2,2,2,1,1,1,2,0,2,0,0,0
39,0,1,0,1,3,5,6,2,-1,4,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,0,2,2,1,1,2,2,0,0,2,1,0,0,2,2,0
40,0,1,0,3,3,5,6,2,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,0,2,0,1,1,2,2,0,1,0,1,2,1,0,2,0
41,0,1,0,1,0,2,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,0,7,0,1,1,2,0,4,5,0,1,-1,0,2,1,1,1,2,1,1,2,0,1,0,2,0,0
42,0,1,0,1,0,2,0,5,-1,-1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,0,4,5,0,1,1,2,2,0,0,1,0,2,0,0,2,0,0,0,1,1
43,0,1,0,3,3,5,6,2,-1,-1,-1,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,2,3,0,3,1,-1,0,1,0,0,1,1,1,2,1,1,0,1,2,2,2
44,0,1,0,3,3,1,6,2,-1,-1,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,2,3,2,5,4,5,1,-1,0,1,1,2,2,1,1,0,1,1,0,1,0,2,2
45,0,1,0,1,0,2,0,5,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,0,4,5,0,1,1,0,1,0,0,2,0,2,0,0,1,1,0,0,0,1
46,0,1,0,3,3,1,6,2,-1,8,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,2,3,2,5,4,5,1,-1,1,2,0,0,1,1,0,1,0,1,2,2,1,2,1
47,0,1,0,1,0,2,0,5,-1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,0,4,5,0,1,1,1,0,1,2,2,0,1,2,1,2,2,0,2,0,1
48,0,1,0,3,3,1,6,2,-1,6,4,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,2,3,2,5,4,5,1,-1,2,0,2,1,0,1,1,2,0,0,0,2,0,1,1
49,0,1,0,1,0,5,6,2,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,7,0,1,2,3,2,3,0,3,1,-1,0,1,2,2,1,1,1,0,0,0,0,0,1,2,0
50,0,0,2,0,1,4,2,3,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,0,0,1,2,2,7,0,-1,0,0,0,2,1,2,0,0,2,1,1,1,0,1,2
51,0,0,2,0,2,0,2,3,-1,-1,-1,3,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,1,1,2,2,7,0,-1,1,2,2,0,2,0,0,2,1,0,0,2,1,1,1
52,0,0,2,0,1,4,2,3,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,0,0,1,2,2,7,0,-1,0,2,1,2,0,0,2,0,2,1,2,2,0,0,1
53,0,0,1,2,4,3,5,0,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,1,3,0,1,1,0,-1,1,0,1,2,1,1,1,1,1,0,1,0,1,1,2
54,0,0,1,2,2,0,1,4,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,1,1,2,2,7,0,-1,2,2,2,0,0,0,2,1,2,0,1,0,2,0,1
55,0,0,1,2,2,0,1,4,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,2,6,0,2,2,2,1,2,0,2,2,0,0,2,0,2,0,0,0
56,0,0,2,0,2,0,2,3,-1,-1,-1,3,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,1,1,1,2,2,7,0,-1,0,2,2,1,2,1,1,1,0,1,2,1,2,2,0
57,0,0,1,2,4,3,5,0,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,1,1,3,0,1,1,0,-1,1,1,2,0,1,1,1,2,1,2,1,2,2,1,0
58,0,0,1,0,2,0,1,4,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,1,1,2,2,7,0,-1,1,1,1,1,0,2,2,0,1,0,1,2,1,0,1
59,0,0,1,2,4,3,5,0,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,1,1,0,-1,1,0,2,2,1,0,0,1,1,1,0,1,2,2,2
60,0,0,1,2,4,3,5,0,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,1,3,0,1,1,0,-1,1,0,0,1,2,0,2,0,2,1,2,1,1,0,1
61,0,0,1,2,2,0,1,4,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,1,1,2,2,6,0,-1,2,0,0,1,1,1,0,2,1,1,2,0,1,1,2
62,0,0,1,2,4,3,5,0,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,1,3,0,1,1,0,-1,2,2,2,0,2,1,0,1,0,1,1,0,1,1,0
63,0,0,1,2,2,0,1,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,1,1,2,2,6,0,3,2,2,1,1,1,2,2,2,1,1,2,0,1,2,0
64,0,0,1,2,4,0,1,4,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,2,6,0,2,0,1,1,1,1,0,1,0,0,1,0,1,1,2,2
65,0,0,2,0,2,0,2,3,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,1,1,2,2,7,0,-1,2,1,2,1,2,0,2,0,2,0,0,2,0,2,1
66,0,0,1,2,2,0,1,4,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,6,6,0,0,1,1,1,2,2,6,0,2,1,0,2,2,0,0,2,1,0,1,1,1,0,2,1
67,0,0,1,2,4,3,5,0,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,1,1,0,-1,0,0,1,0,0,2,0,2,0,0,1,0,2,2,1
68,0,0,1,2,4,3,5,0,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,0,1,1,3,0,6,1,0,-1,1,2,0,1,1,2,2,0,2,2,2,2,0,1,0
69,0,0,1,2,4,3,5,0,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,1,1,0,-1,2,1,2,1,1,1,1,2,0,0,0,0,1,2,1
70,0,0,2,0,2,0,2,3,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,1,1,2,2,6,0,-1,0,1,0,0,1,1,2,2,2,2,2,2,1,2,2
71,0,0,1,2,2,0,1,4,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,5,6,6,0,0,1,1,1,2,2,6,0,3,0,2,2,1,0,1,2,1,2,1,2,1,0,2,1
72,0,0,1,2,2,0,1,4,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,3,4,6,1,0,0,1,1,1,2,6,4,0,-1,2,0,0,2,2,1,0,2,2,0,1,0,2,2,1
73,0,0,1,2,2,0,1,4,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,1,1,2,2,6,0,3,0,1,2,0,2,0,1,0,0,0,0,1,2,1,2
74,0,0,1,2,2,0,1,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,1,1,2,2,7,0,3,0,1,1,1,2,0,1,0,2,0,0,1,0,1,2
75,0,0,2,0,2,0,1,4,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,1,1,2,2,7,0,-1,0,1,2,2,0,0,0,1,1,2,2,1,1,0,0
76,0,0,2,0,2,0,1,4,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,1,1,2,2,7,0,-1,0,1,1,1,2,0,1,2,0,1,0,2,1,2,0
77,0,0,2,0,2,0,2,3,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,6,1,0,0,0,0,1,2,2,7,0,-1,0,1,0,2,0,2,1,0,0,0,0,1,2,2,1
78,0,0,1,2,2,0,1,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,1,1,2,2,6,0,3,0,2,1,1,1,2,2,0,1,2,2,1,0,1,1
79,0,0,1,2,4,3,5,0,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,1,1,0,-1,2,2,1,2,2,0,0,1,1,0,1,2,1,1,0
80,0,0,1,2,4,3,5,0,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,1,3,0,1,1,0,-1,0,2,2,1,2,1,1,2,1,0,1,1,2,1,1
81,0,0,1,2,4,3,5,0,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,1,1,3,0,1,1,0,-1,2,0,2,2,0,0,0,2,1,0,1,1,2,2,1
82,0,0,1,2,4,3,5,0,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,1,6,0,2,1,1,0,2,1,1,2,2,2,0,2,1,0,0,2
83,0,0,1,2,2,0,1,4,-1,-1,-1,-1,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,1,1,1,2,6,4,0,-1,1,2,1,2,2,2,1,0,0,2,0,2,2,0,1
84,0,0,1,2,2,0,1,4,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,1,2,2,6,0,-1,1,1,0,2,0,2,0,0,0,1,2,2,1,1,2
85,0,0,2,0,2,0,2,3,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,1,1,1,2,2,7,0,-1,0,1,0,0,0,1,1,1,1,1,2,0,2,1,0
86,0,0,2,0,2,0,2,3,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,1,1,1,2,2,7,0,-1,1,1,0,2,2,0,0,0,2,0,1,1,2,1,1
87,0,0,1,2,4,3,5,0,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,0,1,1,3,0,6,1,0,-1,1,1,2,2,1,0,2,1,2,2,0,2,2,1,2
88,0,0,1,2,2,0,1,4,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,1,2,2,6,0,2,1,0,0,2,2,1,2,1,1,1,1,1,0,0,2
89,0,0,1,2,4,3,5,0,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,1,1,0,-1,0,2,1,2,0,0,1,2,1,1,0,2,1,0,2
90,0,0,1,2,4,3,5,0,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,1,1,0,2,1,2,0,0,0,0,1,1,1,0,0,2,2,1,2
91,0,0,1,2,2,0,1,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,1,1,2,2,6,0,3,2,0,2,1,0,2,0,2,1,0,1,2,0,0,1
92,0,0,1,2,4,3,5,0,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,1,1,0,-1,0,1,1,0,1,1,1,2,2,2,1,0,2,1,0
93,0,0,1,2,4,3,5,0,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,1,1,3,0,1,1,0,-1,1,1,0,2,0,0,2,0,0,1,2,1,1,0,2
94,0,0,1,2,4,3,5,0,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,1,6,0,2,2,0,1,0,1,2,2,0,2,0,0,2,2,2,0
95,0,0,1,2,2,0,1,4,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,1,2,2,6,0,2,0,0,2,0,0,0,2,1,0,2,0,1,0,2,2
96,0,0,1,2,2,0,1,4,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,1,2,2,6,0,2,2,0,0,2,1,0,1,1,0,2,0,2,2,0,2
97,0,0,1,2,2,0,1,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,1,1,1,2,2,6,0,3,0,2,0,1,2,1,0,1,0,2,0,1,2,1,2
98,0,0,1,2,4,3,5,0,-1,-1,-1,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,1,1,3,0,1,1,0,-1,1,1,0,2,1,0,2,1,2,1,0,1,2,0,0
99,0,0,1,2,4,0,1,4,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,1,1,3,0,2,6,0,2,2,2,2,2,2,2,2,0,1,1,2,2,0,1,0
100,0,0,2,0,1,4,2,3,-1,-1,-1,7,5,1,1,1,1,0,0,2,1,2,2,2,5,0,0,0,0,4,1,3,2,0,-1,2,1,1,1,1,0,1,1,1,1,0,1,2,1,0
101,0,0,1,2,2,0,1,4,0,11,12,8,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,1,1,1,2,6,4,0,-1,1,2,0,1,2,1,1,2,2,2,2,0,2,1,1
102,0,0,2,0,1,4,4,1,-1,-1,-1,-1,2,1,1,1,1,0,0,2,0,2,2,2,5,0,0,0,0,4,1,3,2,0,-1,0,0,0,2,1,0,1,0,2,2,1,0,0,1,0
103,0,0,2,0,2,0,2,3,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,2,1,0,0,1,1,1,2,6,4,0,-1,1,2,0,1,2,0,1,2,0,0,2,1,0,0,1
104,0,0,2,0,1,4,2,3,-1,-1,-1,-1,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,0,0,4,1,3,2,0,-1,1,0,0,2,0,1,0,1,2,0,2,1,1,0,1
105,0,0,2,0,1,4,4,1,-1,-1,-1,-1,6,1,1,1,1,0,0,2,0,2,3,5,4,0,0,0,0,4,1,3,2,0,-1,0,1,1,1,2,0,1,0,0,1,2,2,0,2,0
106,0,0,1,2,4,3,5,0,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,2,4,5,4,2,0,0,1,1,3,0,1,1,0,-1,2,1,2,2,1,0,0,2,2,1,1,2,2,1,2
107,0,0,2,0,1,4,4,1,-1,-1,-1,9,7,1,1,1,1,0,0,2,0,2,3,5,4,0,0,0,0,4,1,3,2,0,-1,2,1,2,0,0,1,0,0,1,0,0,1,2,2,2
108,0,0,2,0,2,0,1,1,-1,-1,-1,-1,-1,-1,1,1,1,0,0,2,1,3,2,2,1,0,0,1,1,1,2,6,4,0,-1,2,0,1,1,0,0,2,2,1,1,2,1,0,0,1
109,0,0,2,0,1,4,4,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,3,5,4,0,0,0,0,4,1,3,2,0,-1,2,0,0,1,2,2,2,0,1,0,1,1,1,0,2
110,0,0,2,0,1,4,2,3,-1,-1,-1,-1,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,0,0,4,1,3,2,0,-1,1,0,1,2,2,0,1,2,2,0,2,1,0,1,2
111,0,0,2,0,2,0,1,4,-1,-1,13,10,2,1,1,1,1,0,0,2,1,3,2,2,1,0,0,1,1,1,2,6,4,0,-1,2,0,1,2,0,0,2,2,0,0,2,0,1,0,1
112,0,0,2,0,1,4,2,3,-1,-1,14,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,0,0,4,1,3,2,0,-1,2,0,1,0,2,1,0,2,1,2,1,1,0,1,0
113,0,0,1,2,2,3,1,4,-1,-1,-1,-1,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,1,1,1,2,6,4,0,-1,2,0,1,2,0,1,1,0,0,1,2,2,1,2,1
114,0,0,1,0,2,0,1,4,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,1,3,2,2,1,0,0,1,1,1,2,6,4,0,-1,2,1,1,1,0,1,1,2,1,2,2,0,1,1,0
