,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48
10,0,0,1,0,3,2,5,5,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,0,0,3,3,1,0,0,2,4,3,2,2,1,1,0,3,4,2,2,0,4,1,2,0,4,0,2,1,1,1,3,1,3,4,1,3,3,0,4,1,3,1,1,2,2,1,2,0,0,3,4,2,2,1,0
11,0,0,0,3,0,0,2,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,2,1,2,5,6,0,0,2,3,2,3,4,0,1,1,3,1,3,0,4,2,3,3,4,3,4,2,0,2,3,2,4,3,2,0,1,3,3,3,2,2,0,0,3,0,3,2,3,1,4,4,3,4,0,4
12,0,1,2,2,4,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,3,3,5,4,7,0,0,1,0,1,0,4,4,4,1,3,1,2,3,3,1,2,0,1,4,1,0,1,4,4,0,2,4,4,3,1,1,4,2,0,2,3,0,4,0,3,1,0,2,1,0,4,4,4,0
13,0,1,2,2,1,1,0,2,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,3,2,1,6,0,0,0,3,4,1,0,0,0,3,4,3,4,1,3,0,2,4,1,2,1,2,0,1,4,1,1,4,1,1,3,4,2,0,3,1,1,3,2,4,3,4,1,4,0,2,2,3,3,2,0
14,0,0,0,3,0,3,6,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,2,2,1,4,0,4,0,0,1,3,1,0,3,0,1,0,4,1,4,0,4,1,1,3,1,2,2,3,4,2,3,4,0,3,4,4,2,3,3,4,0,3,1,0,0,2,3,4,4,2,2,4,4,2,0,3
15,0,1,0,1,2,5,4,4,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,4,0,3,0,0,0,4,4,0,2,0,0,2,1,3,1,0,4,3,3,1,2,3,2,2,1,0,1,4,0,3,3,0,0,0,4,4,0,2,0,2,1,4,1,4,2,2,3,1,2,0,2,0
16,0,1,2,1,2,5,0,4,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,2,1,6,3,0,0,1,0,0,1,0,4,2,4,2,3,3,0,0,0,4,4,4,4,4,3,4,1,2,3,1,2,0,2,2,4,3,3,4,4,4,2,0,0,2,4,3,3,3,3,0,0,1,1
17,0,1,2,2,1,1,3,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,3,0,1,5,0,0,1,0,2,2,4,4,0,2,1,2,1,2,0,0,4,4,2,4,1,3,3,0,2,0,3,4,2,0,3,3,2,3,1,3,0,3,1,3,3,3,4,0,2,4,3,0,4,4
18,0,1,0,1,2,5,4,4,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,4,0,3,0,0,2,4,4,1,0,0,0,0,0,2,0,1,0,0,2,2,4,3,1,1,1,4,0,3,0,0,4,2,3,3,3,1,3,1,2,0,4,0,1,2,4,1,2,3,1,3,2,2
19,0,1,2,2,1,1,0,2,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,0,0,3,2,1,6,0,0,0,3,1,0,4,2,4,3,2,1,1,1,3,0,0,2,4,2,0,1,3,0,2,0,1,1,1,0,1,2,4,2,4,1,2,2,3,0,2,3,3,1,4,1,2,0,4,0,1
20,0,0,1,0,3,2,5,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,0,0,5,2,2,0,0,4,1,3,1,4,1,0,1,0,4,0,2,0,1,0,1,2,1,4,2,4,2,4,4,4,1,3,2,4,4,0,1,4,3,0,0,2,1,0,2,4,1,4,1,1,1,0,0
21,0,1,0,1,2,5,4,4,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,4,0,3,0,0,4,4,3,3,0,3,4,0,4,0,4,0,0,2,2,1,3,3,3,0,1,1,3,1,3,4,0,1,3,2,1,0,2,4,0,1,4,0,3,4,1,0,2,3,2,0,4,4
22,0,0,0,3,0,0,2,3,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,2,1,2,5,4,0,0,2,2,3,2,2,1,4,3,1,3,4,2,0,3,0,0,2,3,1,2,1,2,4,3,0,1,4,0,2,1,0,1,4,0,2,4,0,4,0,4,2,3,1,0,3,0,1,3
23,0,1,0,1,2,5,4,4,21,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,4,0,3,0,0,1,3,2,1,4,4,4,2,4,3,1,4,0,1,1,0,2,4,2,1,4,2,4,4,1,2,4,2,4,0,0,2,3,0,4,3,2,1,2,0,2,4,4,3,0,3,2,4
24,0,1,2,2,1,1,0,2,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,3,2,1,6,0,0,0,2,0,3,0,1,2,3,3,3,1,0,4,1,1,3,2,0,4,2,2,0,4,3,4,2,0,2,0,1,4,0,3,4,4,2,1,2,0,0,0,1,3,0,0,0,4,2,1
25,0,0,0,3,0,0,2,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,2,1,2,5,6,0,0,1,0,0,1,0,3,0,0,2,3,2,4,2,4,2,3,4,3,0,4,2,0,2,0,3,2,0,4,0,0,3,2,0,0,0,2,4,2,0,4,4,2,3,3,0,1,3,3
26,0,1,2,1,2,5,0,2,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,0,0,1,2,1,6,0,0,0,4,3,1,2,2,2,3,3,3,3,0,1,0,4,4,1,0,0,0,2,2,3,1,4,1,2,3,2,1,1,4,4,4,3,2,0,0,4,3,3,0,3,3,1,4,2,4,4
27,0,1,2,2,1,1,3,7,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,2,1,1,0,0,0,2,1,2,4,0,4,0,3,3,4,0,2,4,3,3,4,4,3,0,1,3,4,0,0,4,3,2,1,4,1,3,1,3,0,2,3,1,4,0,2,1,1,0,1,2,2,3,4
28,0,0,1,0,3,2,5,5,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,0,0,3,3,1,0,0,0,4,0,3,0,4,3,2,2,1,2,3,0,3,1,2,1,0,3,0,2,3,4,2,0,1,4,3,1,2,3,0,3,2,4,0,3,0,2,4,1,1,2,1,3,2,3,1
29,0,1,0,1,2,5,4,4,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,4,0,3,0,0,4,3,1,3,1,0,4,4,3,2,0,3,1,2,1,4,4,3,2,0,1,1,4,4,2,3,1,1,3,0,4,3,3,3,1,1,0,1,3,4,2,0,0,3,3,3,2,0
30,0,1,0,1,2,5,4,1,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,1,4,4,0,4,0,0,0,2,2,0,1,0,4,1,3,3,2,2,0,2,4,3,1,0,2,3,2,3,2,2,1,2,4,0,1,1,2,2,0,4,1,4,2,4,1,0,0,4,1,0,3,2,4,4
31,0,0,0,3,0,0,2,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,2,1,2,5,6,0,0,1,1,2,4,3,1,1,0,0,4,4,1,3,3,1,4,0,1,4,0,2,1,2,1,3,0,2,3,2,0,3,0,4,3,1,4,4,3,2,3,2,0,2,3,1,1,2,1
32,0,0,1,0,3,2,5,5,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,0,0,3,3,1,0,0,2,4,2,2,2,0,1,3,2,3,0,4,0,3,0,4,0,4,3,3,4,0,3,1,1,2,0,4,4,0,0,1,4,3,0,3,4,4,2,4,0,2,1,4,1,2,2,3
33,0,1,2,2,1,1,3,7,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,3,2,1,6,0,0,0,2,0,0,1,0,1,0,1,2,1,1,4,2,1,0,2,2,3,3,1,1,0,2,4,3,2,3,4,3,1,3,3,0,3,3,0,0,0,4,1,0,0,0,3,2,2,2,0
34,0,0,0,3,0,0,2,3,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,2,1,2,5,6,0,0,4,0,1,3,4,4,1,0,2,2,0,2,4,4,1,4,2,1,4,1,2,4,0,0,2,3,4,0,4,4,0,3,2,1,0,1,3,2,3,0,4,2,1,3,0,1,4,0
35,0,0,1,0,4,3,1,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,1,0,0,5,2,2,0,0,2,4,2,1,2,1,4,0,3,3,1,0,4,1,4,0,1,0,3,3,2,2,0,0,0,0,1,2,1,2,3,1,3,3,2,2,1,2,2,0,3,2,4,2,4,4,2,2
36,0,0,1,0,4,4,1,0,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,1,0,0,5,2,7,0,0,2,3,3,2,3,0,4,3,4,0,1,2,0,3,3,0,0,4,4,0,3,4,0,1,0,0,4,3,2,0,4,4,1,4,0,2,0,1,2,1,3,2,4,4,3,2,0,0
37,0,0,0,3,0,0,2,3,30,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,2,1,5,2,6,0,0,4,1,2,3,3,0,0,4,4,3,2,4,0,4,3,2,4,4,1,1,3,2,2,2,0,1,2,3,2,4,2,3,4,4,2,4,4,3,4,3,1,4,2,4,2,0,2,3
38,0,0,1,0,3,2,5,6,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,0,0,3,2,2,0,0,0,1,2,2,4,2,4,2,4,1,4,0,4,0,4,0,1,2,4,2,1,4,1,4,0,1,4,4,0,2,2,1,2,4,2,3,3,1,2,4,2,2,1,1,2,1,3,2
39,0,1,2,2,1,1,3,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,3,0,1,5,0,0,4,0,1,3,2,0,0,1,3,1,4,0,1,1,2,1,0,3,3,1,3,2,4,2,1,2,0,1,1,0,1,0,2,0,2,4,1,1,4,0,1,1,0,3,1,3,4,0
40,0,1,0,1,2,3,6,1,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,1,4,4,0,4,0,0,1,0,3,2,0,4,4,4,3,2,0,3,3,3,1,2,0,1,2,0,4,2,0,2,4,2,4,1,1,3,2,1,2,4,3,4,1,0,2,1,2,1,3,2,4,2,4,0
41,0,0,0,3,0,3,6,1,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,2,2,1,5,2,4,0,0,2,0,4,4,3,4,2,2,0,3,2,2,4,2,4,4,1,3,0,1,1,3,2,4,4,3,1,1,4,2,2,2,1,4,0,4,0,0,2,4,3,3,0,1,0,3,1,1
42,0,0,0,3,0,0,2,3,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,2,1,2,5,6,0,0,4,0,4,1,1,1,1,2,4,4,4,3,4,4,4,2,4,3,0,2,4,4,2,3,1,0,0,2,4,0,0,3,3,0,2,4,1,1,2,1,3,1,3,0,4,3,1,1
43,0,0,1,0,3,2,5,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,0,0,5,2,2,0,0,2,3,1,0,1,3,2,1,2,0,2,1,1,0,1,1,3,4,4,2,0,1,0,1,0,4,4,1,2,4,4,1,0,3,3,4,0,0,3,0,3,1,3,3,1,4,0,3
44,0,1,2,2,4,4,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,0,3,3,0,4,7,0,0,2,4,1,0,1,2,3,2,2,2,2,1,4,2,4,2,3,2,1,1,4,2,0,3,1,2,4,4,0,3,0,0,0,0,2,0,1,3,1,0,4,1,3,0,3,2,0,1
45,0,1,2,2,1,1,3,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,3,0,1,5,0,0,3,1,0,3,4,0,2,1,2,3,4,4,1,4,4,1,1,4,2,2,1,4,2,3,3,2,2,4,3,2,0,4,1,0,0,0,0,4,1,2,2,4,1,3,2,2,2,1
46,0,1,0,1,2,5,4,4,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,4,0,3,0,0,3,2,2,3,4,4,3,3,0,1,0,0,2,3,2,2,1,1,3,4,4,0,1,1,1,0,1,3,0,3,4,1,4,3,3,0,2,4,3,1,0,0,1,2,1,0,3,2
47,0,1,2,1,2,5,4,4,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,2,1,6,3,0,0,0,0,2,3,3,3,4,3,1,4,3,2,1,4,2,3,0,4,1,4,0,2,3,3,4,3,1,4,0,2,0,2,0,3,0,3,2,3,0,4,1,1,0,2,1,3,1,0
48,0,1,0,1,2,5,4,4,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,4,0,3,0,0,2,3,1,2,4,2,4,1,4,1,4,0,1,4,1,1,1,0,1,4,2,3,2,4,3,1,3,3,0,3,1,2,0,1,2,2,2,0,2,0,3,3,0,0,3,1,3,1
49,0,1,0,1,2,3,6,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,1,4,5,0,4,0,0,1,3,1,0,4,3,3,3,0,1,3,4,3,0,1,1,4,0,4,2,2,2,2,0,2,4,2,3,1,0,1,3,4,4,1,4,1,2,4,2,2,3,1,1,4,1,2,3
50,0,1,0,1,2,5,4,4,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,4,0,3,0,0,3,3,2,4,4,0,0,3,3,1,1,0,3,3,3,3,3,2,1,3,3,2,4,0,1,3,2,4,4,4,0,2,2,1,2,2,4,1,2,4,0,2,4,2,4,2,0,2
51,0,0,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,1,3,3,0,4,7,0,0,3,4,3,0,0,3,1,4,4,2,3,4,2,4,0,3,4,3,3,1,1,2,1,0,0,4,3,4,3,3,0,0,0,1,4,3,3,4,1,2,0,4,3,2,4,0,0,4
52,0,1,0,1,2,5,4,4,36,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,4,0,3,0,0,4,0,4,1,0,4,2,2,1,4,4,4,4,0,3,2,1,2,0,1,4,1,3,3,4,3,2,2,2,2,2,3,2,3,0,3,1,4,0,4,4,2,3,1,3,1,1,2
53,0,1,2,2,4,1,1,0,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,3,3,5,4,7,0,0,3,3,3,2,1,0,3,1,0,0,2,0,1,3,4,0,2,1,1,2,1,2,4,0,3,3,3,3,3,2,4,2,0,0,1,1,2,4,2,2,2,2,3,3,0,4,2,3
54,0,1,0,1,2,5,4,4,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,1,4,1,6,3,0,0,2,1,3,0,4,1,1,1,0,1,1,0,0,1,3,1,3,1,1,1,3,0,2,3,2,0,1,3,1,3,4,3,3,3,0,1,4,2,3,2,2,1,0,0,1,4,3,2
55,0,0,1,0,3,2,5,5,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,0,0,3,3,1,0,0,1,2,3,1,4,1,3,2,4,0,1,3,0,1,2,3,0,1,1,1,3,2,3,3,0,2,4,0,4,2,1,2,0,1,0,1,3,1,1,2,1,0,3,0,4,3,1,3
56,0,0,1,3,0,3,6,6,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,2,2,1,5,2,2,0,0,4,2,0,1,4,4,2,4,3,4,2,1,4,0,2,0,2,4,3,4,1,3,0,4,0,1,1,2,1,1,0,3,2,4,0,1,4,4,3,3,3,0,1,0,0,1,3,3
57,0,1,2,1,1,1,0,2,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,0,0,3,2,1,6,0,0,0,1,3,2,1,3,0,2,3,3,3,0,4,4,1,3,4,4,4,0,3,4,2,3,4,3,3,3,3,0,2,3,0,0,4,4,4,2,0,0,1,3,1,1,4,3,4,3,3
58,0,0,1,0,3,2,5,6,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,0,0,3,2,2,0,0,0,0,2,1,0,3,1,2,1,0,4,0,4,0,4,3,3,0,1,0,4,0,1,3,1,2,4,4,1,2,0,2,3,3,0,4,0,3,4,2,3,3,0,2,0,4,1,3
59,0,1,2,1,2,3,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,3,2,1,6,0,0,0,4,2,3,3,4,2,3,0,3,3,3,2,0,4,0,1,1,1,0,1,4,3,4,2,4,4,2,3,0,3,4,4,4,1,4,4,2,3,2,4,3,2,2,0,3,1,4,1
60,0,1,0,1,2,3,0,2,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,0,0,1,2,1,6,0,0,0,3,0,2,3,1,1,4,0,4,3,3,0,3,4,2,2,0,0,2,4,2,0,0,1,2,0,0,3,0,1,2,1,1,0,3,3,4,0,1,2,4,3,3,4,2,3,2,1
61,0,1,2,2,1,1,3,7,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,3,3,0,1,5,0,0,0,0,3,3,4,0,2,2,3,0,2,3,1,0,0,3,2,3,4,1,2,2,1,1,1,0,0,1,3,3,1,4,1,3,1,0,2,0,0,2,3,1,1,2,4,2,1,2
62,0,0,1,3,0,3,2,6,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,2,2,1,5,2,2,0,0,1,0,2,2,4,1,0,1,3,3,4,0,0,3,0,3,2,4,1,2,0,4,1,3,1,0,1,2,3,4,1,2,4,0,2,3,1,3,4,1,0,1,0,4,1,4,2,3
63,0,1,2,2,1,1,0,2,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,3,2,1,6,0,0,0,3,1,2,3,4,3,3,3,0,2,3,2,4,1,2,2,2,2,0,0,1,3,1,4,4,3,0,3,2,2,3,0,2,1,4,4,3,3,3,4,3,1,1,4,2,2,3,4
64,0,0,1,0,4,4,1,0,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,1,1,3,3,0,4,7,0,0,2,0,3,1,2,4,0,0,2,0,3,4,0,2,3,4,2,4,0,1,0,2,1,0,0,4,1,3,0,1,4,1,0,0,0,1,3,4,2,4,3,3,4,1,4,1,1,0
65,0,1,2,2,4,4,3,0,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,1,1,3,3,0,4,7,0,0,2,2,0,2,4,4,2,4,0,1,4,0,1,2,1,2,4,3,3,4,3,1,0,2,1,2,0,4,0,1,0,3,2,3,3,0,2,2,2,2,1,0,0,2,2,4,0,1
66,0,0,0,3,0,0,2,3,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,2,1,2,5,6,0,0,2,4,0,3,1,0,4,0,1,1,0,3,0,4,0,4,3,4,3,2,0,0,4,0,1,4,4,3,2,4,2,0,4,1,4,1,4,1,2,1,4,0,3,0,3,3,3,1
67,0,0,0,3,0,0,2,3,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,2,1,2,5,6,0,0,3,3,1,1,3,2,4,3,4,1,2,1,0,2,0,1,3,3,4,0,1,4,2,1,1,3,4,0,3,1,2,1,2,1,1,4,1,3,4,2,1,4,3,1,1,3,3,1
