,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27
10,0,0,0,1,1,4,6,6,-1,-1,1,1,0,0,0,0,0,0,0,0,2,4,5,3,1,0,1,0,1,1,2,1,6,1,-1,1,2,1,2,1,1,0,2,0,1,1,1,1,0,1,2,2,1,0,2,2,2,1,2,2,0,0
11,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,1,3,4,4,3,1,-1,0,2,2,2,0,0,2,1,1,1,2,1,0,0,2,0,1,1,0,0,1,0,0,1,2,2,1
12,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,7,1,0,1,1,1,0,1,1,2,1,2,2,1,2,2,1,0,2,1,2,1,0,2,0,0,2,1
13,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,3,4,4,3,1,15,2,2,1,1,1,0,0,2,2,0,1,1,2,0,2,0,0,2,2,0,1,1,0,1,1,0,2
14,0,0,2,0,0,3,4,4,-1,-1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,3,2,3,5,1,2,-1,1,1,1,0,2,2,0,2,0,2,0,2,1,0,0,2,1,0,2,2,2,2,1,1,2,0,2
15,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,3,7,0,4,2,1,1,0,0,1,0,2,0,2,0,1,1,1,1,0,1,2,2,2,1,2,2,1,2,0,2
16,0,1,2,0,0,2,2,1,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,2,3,5,1,2,8,2,1,1,1,1,0,0,0,0,1,0,2,1,2,2,0,0,1,1,0,2,1,2,1,2,0,0
17,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,-1,2,0,2,0,0,2,2,2,0,1,0,2,0,0,1,0,1,0,0,0,0,2,2,2,0,1,2
18,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,0,4,0,0,1,0,2,1,0,2,2,1,0,2,2,1,0,0,1,2,0,0,2,2,1,2,0,1,2,0,2
19,0,1,2,2,3,3,3,5,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,2,1,5,2,-1,1,1,0,2,2,1,2,0,2,1,1,0,1,2,0,2,2,1,0,0,1,2,2,2,0,0,0
20,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,3,0,0,-1,0,1,1,0,0,1,0,1,2,0,0,1,2,0,2,0,1,1,2,1,1,0,0,0,1,2,0
21,0,1,1,3,2,1,1,3,6,3,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,2,3,2,2,1,5,0,-1,0,0,2,0,0,1,0,2,1,0,2,2,1,0,1,2,2,1,1,2,2,2,2,2,2,2,2
22,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,2,2,1,-1,1,2,2,1,2,0,0,0,1,2,1,2,1,0,2,2,0,1,2,2,1,1,1,2,0,1,0
23,0,1,2,2,3,4,3,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,2,1,5,2,11,0,0,1,0,1,0,1,2,0,1,1,0,2,0,2,1,2,1,2,0,1,0,2,2,2,0,2
24,0,1,2,2,3,3,3,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,2,1,5,2,11,0,2,1,0,0,0,2,0,0,1,1,2,0,0,1,0,0,1,1,1,1,0,1,2,1,1,0
25,0,1,2,0,0,2,2,1,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,2,3,5,1,2,8,2,0,1,2,1,2,2,2,1,0,1,1,0,0,1,2,0,2,2,1,1,0,0,2,0,1,1
26,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,3,7,0,2,2,0,1,2,1,0,0,0,0,2,1,1,0,2,0,1,1,0,1,0,1,1,1,1,0,0,0
27,0,0,0,2,3,4,6,6,8,4,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,1,1,2,1,5,2,-1,0,2,0,0,2,2,1,1,0,1,1,1,1,2,2,1,0,1,0,2,2,0,0,1,1,1,2
28,0,1,2,0,3,3,4,4,9,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,2,3,5,1,2,12,0,0,2,1,0,2,2,0,2,1,0,2,2,0,1,1,1,1,1,2,0,0,0,0,1,2,0
29,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,3,7,0,-1,0,2,1,0,0,2,0,2,1,1,2,1,1,1,1,0,0,0,1,0,1,0,0,2,2,2,2
30,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,1,3,4,4,3,1,-1,2,2,1,0,2,2,2,0,1,2,2,2,0,2,2,0,2,0,0,0,0,1,2,1,2,1,1
31,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,-1,1,1,2,0,0,0,2,0,0,2,1,0,1,2,0,0,0,1,1,1,2,1,0,2,2,2,0
32,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,3,0,0,-1,1,2,2,1,0,0,1,1,2,2,2,1,0,1,1,1,1,2,0,1,2,0,1,2,2,2,2
33,0,1,2,0,0,2,2,0,-1,-1,2,0,0,0,0,0,0,0,1,1,3,2,1,1,6,0,0,2,3,2,3,5,1,0,-1,2,2,1,2,0,1,1,2,0,0,0,2,0,1,2,2,2,0,2,2,0,2,0,0,1,1,2
34,0,1,2,2,3,3,3,5,10,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,0,2,1,1,2,1,5,2,-1,1,0,2,2,2,0,1,0,1,1,0,1,0,0,0,0,2,1,0,0,1,1,1,0,0,1,0
35,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,1,3,4,4,3,1,-1,1,1,2,1,2,0,1,2,1,2,0,0,0,0,0,0,2,2,1,1,2,2,0,2,0,0,2
36,0,0,0,2,3,4,6,6,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,1,1,2,1,5,2,-1,0,0,2,2,0,1,0,2,2,2,0,1,0,2,2,0,1,0,2,1,1,2,1,0,1,1,0
37,0,0,0,2,4,4,6,6,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,0,1,1,2,1,5,1,-1,0,0,0,1,0,0,0,2,0,2,0,2,2,2,2,1,1,1,1,0,1,0,0,0,0,0,1
38,0,0,2,2,3,4,6,4,-1,5,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,1,1,2,1,5,2,-1,0,1,2,0,1,1,2,2,1,0,2,0,2,1,1,0,0,2,0,0,1,0,1,0,1,1,2
39,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,3,4,4,6,1,22,2,2,2,1,1,0,0,2,2,0,1,2,0,0,2,1,2,2,1,2,1,0,2,2,2,1,1
40,0,1,2,0,0,3,4,4,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,3,2,3,5,1,2,12,2,2,2,0,0,2,1,0,2,2,2,0,0,0,0,1,1,1,1,1,1,1,2,1,0,2,0
41,0,1,2,0,0,2,2,0,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,2,3,5,1,2,-1,0,2,2,0,0,2,0,0,0,0,1,1,0,1,0,0,0,2,1,2,0,0,2,0,1,2,0
42,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,6,2,0,0,1,1,0,1,2,2,1,1,1,1,2,2,1,1,0,1,1,1,0,0,1,0,2,1
43,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,1,3,4,4,3,1,-1,0,1,0,2,0,0,2,0,1,0,0,1,0,1,0,1,0,1,2,0,0,1,0,0,2,2,1
44,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,2,6,1,-1,2,2,2,2,0,0,2,2,1,1,0,0,2,0,2,0,1,0,2,1,2,0,2,0,0,2,0
45,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,0,4,0,-1,1,0,2,2,1,0,0,1,0,1,1,2,2,0,1,0,1,2,0,2,0,0,0,1,0,0,1
46,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,2,2,1,20,1,1,1,2,0,1,2,0,1,2,0,1,1,2,1,0,2,2,2,2,2,1,0,1,0,1,0
47,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,3,0,0,-1,1,2,1,2,2,0,1,2,1,2,1,2,1,2,2,1,2,0,1,2,2,0,1,0,0,0,1
48,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,0,4,0,-1,1,1,0,0,2,1,2,1,2,0,0,1,2,1,1,2,1,2,1,1,0,2,2,2,0,1,2
49,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,3,7,0,-1,2,1,1,1,1,2,2,2,0,2,0,1,0,0,1,0,1,2,1,0,2,1,1,2,2,0,0
50,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,3,7,0,4,1,0,2,0,0,1,2,1,1,0,2,1,1,1,1,1,2,0,1,1,0,1,1,2,1,1,2
51,0,1,2,0,0,2,2,1,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,2,3,5,1,2,8,2,0,1,0,1,0,0,1,1,2,1,1,2,1,0,0,1,1,2,1,1,0,1,1,1,1,2
52,0,0,0,1,1,0,0,2,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,2,2,1,-1,2,2,1,0,1,1,2,2,2,2,0,1,1,1,2,0,1,2,2,2,1,1,2,1,0,0,2
53,0,1,2,0,0,3,3,1,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,2,3,2,3,5,1,2,-1,1,1,2,0,1,1,1,1,2,0,1,2,0,0,0,2,1,1,1,0,0,1,0,2,0,2,0
54,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,-1,2,1,1,2,1,2,2,0,2,1,1,0,0,2,0,2,0,1,0,2,1,1,2,0,2,1,2
55,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,1,3,4,4,6,1,-1,1,0,1,2,2,1,2,1,0,1,1,2,2,1,1,1,0,2,1,1,0,1,1,2,0,2,0
56,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,0,4,0,0,0,0,2,0,1,2,0,0,1,0,1,2,2,2,2,2,0,2,1,0,2,2,1,2,2,0,0
57,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,3,7,0,-1,1,2,2,1,1,2,0,2,2,2,0,2,1,1,2,1,1,0,2,2,1,1,1,0,2,1,2
58,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,2,2,1,-1,1,1,2,1,2,1,0,2,1,2,2,2,1,1,1,1,0,2,1,1,2,1,0,1,1,2,2
59,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,3,7,0,4,2,1,0,2,2,0,1,2,2,1,1,0,2,1,0,1,2,2,1,1,2,0,1,0,0,1,1
60,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,0,1,3,4,4,3,1,-1,1,1,0,1,2,0,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,0,1,1,0,1
61,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,0,4,0,0,0,2,1,1,1,2,1,1,0,1,1,0,1,2,1,2,1,0,2,1,2,0,1,2,0,0,2
62,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,0,4,0,-1,0,0,2,0,2,2,2,2,1,0,1,1,1,2,1,2,1,1,0,1,1,2,1,0,0,0,0
63,0,1,2,0,0,2,2,0,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,3,2,3,5,1,2,14,1,0,1,0,2,0,2,1,0,1,1,2,1,1,2,2,1,0,0,0,2,2,2,2,1,0,1
64,0,0,0,1,4,5,5,7,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,1,0,1,3,4,4,3,1,-1,2,2,0,1,2,1,2,2,0,1,2,0,1,1,0,2,1,2,1,2,1,2,1,0,1,2,1
65,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,2,2,1,-1,2,1,2,2,0,1,2,2,2,2,1,2,0,1,2,0,2,2,0,2,1,1,1,2,0,0,2
66,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,3,7,0,5,2,1,0,1,0,0,2,1,0,1,0,0,0,1,0,0,1,1,2,2,2,2,2,2,0,1,1
67,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,-1,0,0,1,2,0,2,0,2,0,0,0,0,1,2,1,2,0,2,2,2,2,0,1,1,2,2,2
68,0,1,2,2,3,4,3,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,2,1,5,2,11,0,0,1,0,1,1,0,2,2,2,0,1,2,1,1,2,1,1,2,1,2,2,1,0,0,1,1
69,0,1,2,2,3,3,3,5,14,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,1,1,2,1,5,2,-1,0,2,2,0,1,2,0,2,1,0,2,0,0,2,1,1,1,2,1,1,1,2,1,2,0,2,1
70,0,1,0,2,3,4,6,6,8,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,0,1,1,2,1,5,2,-1,0,2,0,1,1,2,1,0,2,2,1,2,0,1,1,1,2,1,1,0,0,2,1,0,1,1,0
71,0,0,0,1,4,5,5,7,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,1,3,4,4,3,1,-1,0,0,2,1,1,2,2,2,0,1,2,0,2,1,2,0,0,1,2,1,0,1,0,0,0,0,0
72,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,-1,0,0,1,2,2,1,0,0,2,1,2,2,0,0,0,0,2,0,1,1,1,2,0,2,0,2,1
73,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,3,4,4,6,1,-1,1,0,1,2,0,2,1,0,2,2,2,1,0,1,1,1,2,2,2,0,2,2,1,0,0,1,0
74,0,1,1,3,2,1,1,3,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,3,7,0,-1,0,1,0,0,0,2,0,1,2,1,2,0,0,0,2,0,1,1,1,2,1,0,1,1,2,1,1
75,0,1,2,0,0,2,2,0,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,2,3,2,3,5,1,2,14,1,2,1,0,0,0,0,0,0,1,1,1,2,1,1,2,2,0,0,2,2,1,1,2,2,1,1
76,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,3,7,0,-1,2,1,2,0,1,1,2,0,0,1,0,2,0,1,0,1,1,2,1,1,2,2,0,2,1,1,2
77,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,-1,1,1,2,1,0,1,1,1,0,1,2,0,1,0,0,2,2,0,1,2,2,0,2,0,2,1,1
78,0,1,2,2,3,3,3,5,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,1,1,2,1,5,2,11,0,2,0,2,1,0,2,0,1,0,0,2,2,0,2,1,1,1,2,0,2,0,1,1,0,2,0
79,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,3,7,0,4,1,0,0,1,0,0,0,1,2,2,1,1,1,1,0,1,1,2,0,0,0,0,2,2,2,2,2
80,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,2,2,1,-1,1,1,1,1,2,2,1,2,1,1,1,0,0,2,1,1,2,0,0,1,0,1,0,1,2,0,2
81,0,0,2,2,3,3,4,4,17,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,2,3,5,1,2,12,1,1,2,1,0,0,2,0,1,0,0,0,1,0,0,2,0,0,2,0,1,2,2,1,2,1,0
82,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,-1,0,2,0,2,0,2,2,0,0,2,2,1,1,1,1,2,1,1,2,0,1,1,1,1,2,2,2
83,0,1,1,3,2,1,3,5,-1,7,0,0,0,0,0,0,0,0,1,1,0,1,0,4,2,0,0,2,1,1,2,1,5,0,-1,2,0,1,0,0,0,1,0,2,2,0,1,1,2,2,1,2,0,1,2,1,2,1,2,1,0,2
84,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,6,0,0,1,2,0,0,0,2,1,2,0,1,0,0,1,1,0,1,0,1,2,2,1,1,2,2,1,1,1,1
85,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,3,7,0,-1,0,0,2,2,2,0,1,2,1,2,1,2,1,2,2,1,0,2,1,1,1,1,2,0,0,2,0
86,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,3,7,0,4,0,2,2,0,1,2,2,0,2,1,1,1,0,2,1,2,0,1,1,1,2,2,2,1,0,1,1
87,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,1,5,0,4,0,-1,2,1,2,2,0,1,2,1,1,0,1,1,2,2,2,0,2,1,0,0,0,0,0,0,0,2,0
88,0,1,1,3,2,1,1,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,0,0,1,3,7,0,-1,1,2,1,0,0,2,0,0,2,1,2,0,0,1,1,1,2,1,1,2,0,0,0,0,0,0,0
89,0,0,0,2,3,4,6,6,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,1,1,2,1,5,2,-1,2,1,0,1,0,1,0,1,1,2,0,2,1,0,1,2,2,0,0,0,0,1,2,2,1,2,2
90,0,0,0,1,4,5,5,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,1,3,4,4,6,1,-1,2,1,1,2,1,0,0,2,2,0,0,0,2,0,2,1,2,1,0,2,1,2,2,0,2,1,2
91,0,1,2,2,3,4,3,5,-1,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,1,1,2,1,5,2,-1,0,0,1,1,1,0,1,0,1,1,0,2,1,0,1,1,0,2,1,0,1,0,2,2,2,2,2
92,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,2,6,1,17,0,2,1,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,0,0,1,2,1,2,2,2,2
93,0,0,0,1,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,4,0,2,2,1,-1,2,2,1,1,0,1,2,1,2,2,1,2,0,2,2,2,0,2,0,2,1,0,0,0,0,0,0
