,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16
12,0,1,0,1,3,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,1,2,1,2,5,7,0,0,0,3,1,3,3,3,0,1,3,1,1,0,0,0,3,0
13,0,1,0,1,1,5,1,7,13,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,3,3,1,1,0,1,1,0,0,2,0,1,2,1,1,2
14,0,0,2,0,2,1,3,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,0,1,0,1,6,1,0,0,1,1,2,2,2,1,2,1,2,0,0,1,2,2,1,0
15,0,1,2,2,4,4,6,3,15,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,0,3,1,3,0,2,2,3,1,1,1,1,2,1,1,2
16,0,1,0,2,4,4,6,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,4,5,1,4,0,0,2,3,3,3,3,3,2,2,0,0,0,2,2,3,3,2
17,0,1,0,1,1,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,1,3,2,1,0,1,0,3,1,2,1,3,1,2,3,2
18,0,1,2,2,4,4,6,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,2,2,0,0,3,0,3,0,3,0,0,2,1,3,0,0
19,0,1,0,1,1,5,1,7,18,0,0,0,0,0,0,0,0,0,0,0,3,2,5,0,3,0,1,1,2,4,5,1,6,0,0,0,0,0,0,1,2,2,1,1,2,1,2,2,0,2,0
20,0,0,1,3,0,3,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,3,3,2,0,2,0,0,2,0,0,2,1,0,0,1,1,0,0,0,1,3,2,1
21,0,1,2,2,4,4,6,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,1,0,1,0,3,1,0,1,0,3,2,1,3,0,3,3
22,0,0,2,0,2,2,4,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,1,0,0,2,1,3,2,0,0,3,3,0,0,0,0,0,1,0,2
23,0,1,2,2,4,4,6,3,21,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,0,3,2,2,3,2,3,1,0,0,1,0,2,2,1,2
24,0,1,0,1,1,5,1,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,3,3,0,2,0,0,0,2,2,3,2,1,0,2,3,0
25,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,0,2,2,0,1,0,0,3,3,3,1,2,3,0,1,2
26,0,1,0,2,4,4,1,7,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,3,0,1,1,0,4,5,1,6,0,0,2,0,1,3,3,3,3,2,0,2,1,1,1,2,3,1
27,0,1,0,1,1,5,5,0,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,4,5,3,6,0,0,0,2,2,0,1,3,3,2,2,0,3,3,3,0,0,1
28,0,0,1,3,0,3,2,4,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,1,3,2,3,3,2,2,2,0,3,0,2,3,1,1,0
29,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,2,3,2,1,2,1,2,1,1,2,1,0,2,1,0,1
30,0,1,2,2,4,4,6,1,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,0,2,1,6,1,0,0,2,3,2,1,0,1,3,0,2,2,3,3,1,0,1,0
31,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,0,2,3,1,2,2,0,1,2,1,0,1,3,1,3,0
32,0,0,1,3,0,3,2,4,28,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,3,2,0,2,1,3,0,3,0,0,0,2,1,1,2,2
33,0,1,0,1,1,5,5,0,24,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,1,2,4,5,1,6,0,0,3,1,1,1,2,1,3,0,0,0,1,3,2,0,3,3
34,0,0,2,0,2,2,4,5,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,1,2,3,2,2,2,1,1,0,2,3,3,0,3,0,0
35,0,0,1,3,3,1,0,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,2,3,3,2,0,2,0,0,1,0,2,0,1,2,0,1,2,1,2,0,0,3,2,3
36,0,0,1,3,3,0,0,2,29,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,0,2,3,3,2,0,7,0,0,3,3,1,2,1,3,0,3,2,3,3,2,3,3,1,0
37,0,0,2,0,2,2,4,5,30,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,2,0,5,0,0,2,3,0,2,2,1,3,3,0,2,2,2,0,0,1,2
38,0,0,1,3,0,3,2,6,31,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,0,2,0,0,0,1,2,1,1,1,1,2,1,1,2,2,0,1,3,1
39,0,1,0,1,1,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,2,0,1,2,1,1,0,1,0,1,0,0,2,1,0,1
40,0,1,2,2,4,1,3,1,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,0,2,1,6,1,0,0,1,0,1,0,2,0,3,2,3,1,1,0,2,3,1,0
41,0,0,2,0,2,1,3,1,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,0,1,0,2,0,1,0,0,1,2,2,1,1,1,1,2,3,3,3,2,2,0,2,1
42,0,0,2,0,2,2,4,5,34,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,1,2,0,2,2,2,0,2,1,1,0,3,0,1,2,0
43,0,0,1,3,0,3,2,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,3,3,2,0,2,0,0,3,3,3,2,3,0,2,1,3,2,3,1,1,3,3,0
44,0,1,0,1,3,0,0,2,-1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,1,2,1,4,5,7,0,0,3,3,2,3,0,2,0,1,2,1,3,1,3,2,2,3
45,0,1,0,1,1,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,1,1,3,0,2,3,1,1,3,0,2,1,3,0,1,0
46,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,2,3,0,0,1,2,2,2,1,2,1,2,1,3,0,2
47,0,1,0,2,4,4,6,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,4,5,1,4,0,0,1,2,3,3,2,3,2,1,0,2,3,0,0,1,1,1
48,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,1,0,1,2,0,3,0,3,0,2,2,0,3,3,2,3
49,0,1,2,2,4,1,3,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,1,0,2,2,6,1,0,0,0,0,3,1,0,1,2,3,1,1,1,2,2,3,1,2
50,0,1,2,2,4,4,6,3,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,0,2,3,1,0,0,1,0,3,0,3,3,0,1,2,3
51,0,0,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,2,2,1,4,5,7,0,0,1,0,0,0,2,0,3,3,0,1,0,3,1,2,0,3
52,0,1,2,2,4,4,6,3,36,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,0,2,1,2,0,3,3,3,1,3,1,1,1,3,2,3
53,0,1,0,1,3,0,1,2,37,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,0,1,2,1,2,5,7,0,0,0,0,0,1,1,1,3,3,3,1,2,3,0,2,3,1
54,0,1,2,2,4,4,6,3,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,1,4,0,0,1,2,2,0,3,1,0,2,2,0,3,0,3,2,0,3
55,0,0,1,3,0,3,2,4,38,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,3,3,1,3,3,2,3,3,1,3,3,3,1,1,3,2
56,0,0,1,0,2,1,3,6,29,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,0,1,0,2,0,2,0,0,3,3,1,2,3,2,0,0,1,2,3,1,1,0,0,2
57,0,1,0,2,1,5,1,7,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,3,0,1,1,2,4,5,1,6,0,0,2,1,3,3,2,2,1,1,1,1,0,2,3,3,0,0
58,0,0,1,3,0,3,2,6,40,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,0,2,0,0,1,3,2,3,0,3,0,1,0,1,0,1,3,0,3,0
59,0,1,0,2,4,1,1,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,1,1,2,4,5,1,6,0,0,0,3,0,2,2,0,0,0,2,2,0,0,1,3,0,0
60,0,1,2,2,4,1,1,7,41,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,3,0,1,1,0,4,5,1,6,0,0,2,2,0,3,1,1,2,0,2,3,3,0,2,2,3,2
61,0,1,0,1,1,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,3,0,3,1,3,2,3,0,3,2,0,0,3,1,2,0
62,0,0,1,0,2,1,4,6,42,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,0,0,1,0,2,0,2,0,0,3,2,2,3,3,2,1,3,2,0,3,0,2,3,2,1
63,0,1,0,1,1,5,1,7,18,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,2,1,0,2,2,2,0,3,2,3,1,1,2,2,0,2
64,0,0,1,3,3,0,0,2,43,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,4,0,0,2,2,1,4,5,7,0,0,1,2,0,1,1,3,0,2,0,0,1,3,3,3,1,0
65,0,1,0,1,3,0,5,2,44,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,4,0,0,2,2,1,4,5,7,0,0,1,3,1,0,1,2,0,0,0,2,3,0,3,1,3,1
66,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,1,1,2,1,3,3,3,3,1,0,2,1,3,1,3,0
67,0,0,2,0,2,2,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,3,1,0,1,0,1,3,1,3,1,3,3,3,3,0,2
68,0,1,0,1,3,1,3,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,1,1,2,3,2,0,7,0,0,0,0,3,1,0,3,2,2,0,3,3,1,2,1,1,1
69,0,1,2,2,4,1,3,1,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,1,1,0,2,1,6,1,0,0,0,3,1,3,1,1,1,2,2,2,1,3,2,1,0,0
70,0,0,2,0,2,2,4,5,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,1,1,0,0,2,2,3,3,0,0,0,0,3,1,1,3
71,0,0,1,0,2,2,4,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,3,2,0,0,2,3,0,3,2,2,3,1,0,1,3,3
72,0,1,0,1,1,5,1,7,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,1,2,1,4,5,6,0,0,0,0,3,3,3,2,1,0,0,3,0,3,3,0,1,1
73,0,1,2,2,4,4,6,3,17,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,1,0,0,2,2,1,2,3,1,3,3,0,0,3,1,2,3,0,1
74,0,1,0,2,4,4,6,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,4,5,1,4,0,0,0,1,1,2,3,3,3,0,0,3,1,3,0,1,0,2
75,0,0,1,3,3,0,0,2,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,3,3,2,5,7,0,0,0,1,2,2,0,1,0,1,3,1,0,3,2,3,3,3
76,0,0,2,0,2,2,4,5,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,1,1,1,3,1,0,3,0,1,2,0,0,1,1,1,3
77,0,0,1,3,0,3,0,4,47,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,0,2,3,3,0,5,7,0,0,3,1,1,2,3,0,0,2,0,3,2,0,2,1,1,2
78,0,1,2,2,4,1,3,1,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,1,1,0,2,2,6,1,0,0,1,2,1,2,3,2,1,3,0,3,0,2,1,3,0,1
79,0,1,0,1,1,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,2,0,1,3,3,3,0,0,3,0,2,2,2,1,0,0
80,0,0,1,0,2,2,4,6,48,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,5,0,1,0,1,0,3,4,5,0,0,3,2,1,3,2,3,3,1,2,1,3,2,0,2,2,1
81,0,0,2,0,2,1,3,1,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,1,0,1,0,2,0,1,0,0,0,2,3,0,3,0,1,3,0,0,1,1,2,2,2,3
82,0,0,1,3,0,3,2,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,3,3,2,0,2,0,0,0,3,2,2,1,3,3,2,0,2,1,3,3,1,0,0
83,0,0,1,3,0,3,2,4,50,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,0,2,0,0,1,0,3,2,1,0,3,2,3,0,2,2,1,2,1,2
84,0,1,2,0,2,1,3,1,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,1,0,1,2,1,6,1,0,0,3,3,0,3,1,1,3,2,0,0,2,0,0,0,2,0
85,0,0,1,3,3,0,0,2,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,3,3,2,5,7,0,0,2,0,0,1,1,0,1,2,0,0,3,2,1,2,0,1
86,0,0,1,0,0,3,2,6,51,0,0,0,0,0,0,0,0,0,1,1,1,1,3,5,7,0,0,2,3,3,2,0,2,0,0,3,2,3,2,3,2,3,2,1,1,1,2,3,0,0,3
87,0,0,1,3,0,3,2,4,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,3,2,3,3,0,0,3,3,2,0,3,3,1,1,3,2
88,0,1,2,2,4,1,3,1,-1,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,1,1,0,2,1,6,1,0,0,2,0,0,1,2,1,0,2,1,3,2,0,1,2,2,1
89,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,0,2,2,1,4,5,7,0,0,1,0,3,2,2,3,3,2,3,0,1,3,1,0,1,1
90,0,1,0,2,4,4,6,3,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,4,5,1,6,0,0,0,2,0,3,2,1,1,1,0,0,0,1,0,2,3,0
91,0,1,0,1,1,5,1,7,45,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,1,2,1,4,5,6,0,0,2,2,0,1,3,3,3,2,3,2,2,2,3,0,2,2
92,0,1,0,1,1,5,1,7,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,1,0,0,3,1,1,2,3,1,0,3,3,2,1,3,2
93,0,1,0,2,4,4,1,7,-1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,1,0,4,5,1,6,0,0,3,2,2,0,2,1,1,0,3,2,2,0,1,0,1,3
94,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,3,0,2,1,3,3,1,1,3,2,0,3,0,1,1,0
95,0,1,0,1,1,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,2,1,3,2,0,2,1,2,2,0,0,1,3,3,2,0
96,0,1,0,1,1,5,1,7,53,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,3,2,3,3,1,1,1,3,3,3,0,1,0,0,3,3
97,0,1,2,2,4,4,6,3,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,1,1,0,0,2,1,1,2,0,1,0,0,1,1,2,0
98,0,0,1,3,0,3,2,4,54,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,0,2,0,0,0,2,3,3,1,0,3,1,0,0,0,1,1,3,2,2
99,0,1,0,1,1,5,5,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,3,2,1,3,3,0,3,2,2,3,1,1,3,1,2,0
100,0,0,1,0,2,2,4,5,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,1,0,1,0,3,4,5,0,0,1,2,1,3,0,1,2,2,2,1,1,1,1,0,0,1
101,0,0,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,0,2,3,1,4,5,7,0,0,1,3,2,3,1,2,3,2,2,2,3,3,3,0,1,3
102,0,0,1,3,0,3,2,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,3,3,2,0,2,0,0,3,0,0,0,2,0,2,3,1,2,1,1,1,1,2,0
103,0,0,1,3,0,3,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,0,2,3,3,2,0,2,0,0,2,2,1,1,3,1,2,3,2,1,0,3,1,0,0,3
104,0,0,1,3,0,3,2,4,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,0,1,1,1,0,1,1,0,2,2,3,0,1,1,3,3
105,0,0,1,3,0,3,2,4,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,0,2,3,3,0,2,0,0,0,0,0,0,0,3,1,3,1,1,2,2,3,0,3,2,3
106,0,1,0,1,1,5,1,7,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,2,0,1,3,0,3,3,0,2,3,0,2,2,3,0,3
107,0,1,2,2,4,4,6,3,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,1,1,0,2,1,6,4,0,0,2,1,0,2,0,2,3,0,3,0,3,1,3,0,0,2
108,0,0,1,3,3,0,0,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,0,2,3,3,2,0,2,0,0,3,1,2,1,0,2,2,2,1,0,0,1,3,3,0,3
109,0,1,0,2,4,4,1,7,35,0,0,0,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,1,0,4,5,1,4,0,0,3,2,2,2,1,1,3,2,2,0,0,2,0,0,3,2
110,0,1,0,1,1,5,1,7,39,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,1,1,2,4,5,1,6,0,0,3,1,0,3,2,1,0,1,2,0,2,0,2,3,3,3
111,0,0,1,3,0,3,2,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,6,0,0,2,3,3,0,0,2,0,0,3,1,0,0,3,0,0,3,1,2,2,3,1,1,0,0
112,0,1,0,1,1,5,5,0,55,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,1,2,1,4,3,3,0,0,1,1,2,2,2,2,1,0,3,2,3,2,1,2,1,3
113,0,1,2,2,4,1,3,1,56,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0,1,1,0,2,2,0,1,0,0,3,1,0,0,2,0,3,3,0,1,1,2,3,0,2,1
114,0,1,2,2,4,4,6,1,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,0,0,1,1,0,2,1,6,1,0,0,3,2,0,2,0,1,1,1,1,1,0,3,0,2,0,1
