,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21
10,0,0,0,2,2,2,2,3,-1,1,0,0,0,0,0,0,0,0,0,0,2,3,1,6,0,0,0,0,1,2,2,4,7,0,-1,0,0,2,0,0,2,0,0,0,2,2,0,0,1,1,1,1,0,1,0,2
11,0,0,2,0,4,3,0,7,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,0,1,0,4,4,3,2,0,-1,1,0,1,2,1,1,1,1,0,1,0,1,0,0,0,1,0,2,2,1,1
12,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,-1,2,0,0,1,0,0,0,1,0,0,2,2,2,2,2,1,1,1,0,0,0
13,0,0,2,2,4,3,0,7,2,2,0,0,0,0,0,0,0,0,0,2,2,4,3,5,1,0,0,1,0,4,4,3,2,0,-1,2,1,2,0,1,2,1,0,1,2,2,2,1,0,2,0,1,2,1,2,0
14,0,0,2,0,0,0,3,6,5,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,0,3,1,3,1,0,0,18,1,2,2,0,0,1,1,0,2,0,2,1,1,0,0,2,2,2,1,0,0
15,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,5,0,0,0,2,0,2,2,1,2,0,1,0,1,1,0,0,2,0,2,0,0
16,0,0,2,0,0,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,0,3,1,3,1,0,0,-1,2,0,1,1,2,2,1,1,0,1,0,2,2,0,2,2,2,2,0,2,1
17,0,1,1,1,3,1,4,1,6,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,-1,0,1,2,0,2,0,0,2,0,1,0,1,1,1,2,2,0,0,2,1,0
18,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,3,5,5,3,1,0,1,0,2,0,1,1,2,2,2,0,2,1,2,2,1,2,0,1,1,0,0
19,0,0,2,0,4,5,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,0,3,1,2,4,7,0,-1,1,2,0,1,1,2,2,0,1,2,0,1,2,1,1,2,2,2,0,0,1
20,0,1,1,3,1,4,1,4,7,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,1,0,1,0,1,1,-1,2,2,1,0,2,1,2,0,2,1,2,0,1,2,2,1,0,2,0,2,2
21,0,0,2,2,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,0,3,1,2,4,7,0,-1,0,0,2,2,1,0,1,1,0,0,0,2,2,1,2,0,2,2,1,1,2
22,0,0,0,2,2,2,2,3,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,1,1,2,0,6,5,0,28,0,1,0,0,2,2,2,1,0,1,2,2,0,2,2,1,0,0,2,1,2
23,0,0,2,0,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,0,3,1,2,4,7,0,12,1,2,1,2,1,0,2,1,2,2,0,1,2,1,2,0,1,2,0,1,1
24,0,0,2,0,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,2,2,4,5,6,0,0,0,0,3,1,2,4,7,0,12,1,0,1,0,0,1,2,2,1,1,0,0,2,1,1,1,0,1,2,0,2
25,0,0,2,0,0,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,0,3,1,3,1,0,0,-1,0,1,1,0,2,1,1,2,1,0,0,2,1,1,0,0,1,1,1,0,0
26,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,6,2,0,2,1,2,0,1,0,1,2,0,2,0,2,0,1,2,2,2,1,0
27,0,0,0,2,2,5,5,0,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,0,1,1,2,4,7,0,-1,2,1,1,0,2,1,2,1,1,1,0,2,2,2,1,1,2,2,0,1,0
28,0,0,2,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,0,3,1,3,1,0,0,16,2,1,1,1,0,0,1,2,0,0,2,1,2,1,1,2,1,1,2,0,1
29,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,1,0,1,0,1,1,-1,0,0,0,2,1,0,0,0,0,1,0,2,2,1,1,0,0,2,1,0,0
30,0,0,2,0,4,3,0,7,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,0,1,0,4,4,3,2,0,-1,0,0,1,1,2,2,2,0,2,1,2,2,1,1,0,2,2,1,1,2,1
31,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,7,1,1,0,1,1,0,0,0,1,1,0,1,0,2,2,0,2,0,1,0,1
32,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,1,2,1,0,1,0,1,1,-1,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
33,0,0,2,0,0,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,0,3,1,3,1,0,0,-1,0,2,0,2,1,0,1,0,2,2,0,1,1,1,0,0,0,2,1,2,1
34,0,0,2,0,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,0,3,1,2,4,7,0,12,0,1,2,2,2,0,0,0,2,2,1,2,2,1,0,0,2,2,1,0,2
35,0,0,2,0,4,3,0,7,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,1,0,4,4,3,2,0,20,1,2,0,1,1,2,2,2,1,0,0,1,2,2,1,2,1,0,0,1,1
36,0,0,0,2,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,0,1,1,2,4,7,0,-1,1,2,0,2,2,2,0,2,0,2,0,1,1,2,0,1,0,2,0,2,2
37,0,0,0,2,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,0,1,1,2,4,7,0,-1,1,2,0,0,2,0,0,0,0,0,0,2,0,1,1,2,2,0,1,2,1
38,0,0,2,0,4,5,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,0,3,1,2,4,7,0,-1,0,1,0,2,1,0,2,0,1,1,1,2,0,0,0,0,1,0,0,1,0
39,0,0,0,2,2,2,2,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,1,1,2,0,6,4,0,-1,0,1,0,2,1,2,0,0,2,1,2,0,0,1,1,0,2,1,1,0,0
40,0,0,2,0,0,0,3,6,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,0,3,1,3,1,0,0,-1,1,2,1,2,1,0,1,0,2,1,1,1,0,2,0,1,2,1,1,2,0
41,0,0,2,0,0,0,3,6,10,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,0,3,1,3,1,0,0,-1,1,0,2,2,1,0,1,2,1,0,1,0,1,2,0,0,1,2,0,0,2
42,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,9,0,0,1,1,2,2,0,2,0,0,1,0,1,2,1,1,1,2,1,2,1
43,0,0,2,0,4,3,0,7,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,1,0,4,4,3,2,0,20,2,2,1,1,0,0,0,2,1,0,0,1,2,1,2,2,2,0,2,1,0
44,0,0,0,2,2,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,1,1,2,0,6,4,0,27,1,1,1,2,2,0,2,0,0,1,2,2,2,2,0,2,0,1,0,2,2
45,0,1,1,1,3,1,4,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,3,5,5,3,1,-1,2,1,2,1,0,0,2,1,2,0,2,2,0,2,2,2,1,0,1,2,0
46,0,0,0,2,2,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,1,0,2,0,6,4,0,24,1,2,2,0,1,2,0,1,1,0,1,2,0,2,0,2,0,1,0,0,0
47,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,-1,0,0,0,2,1,0,2,2,2,1,0,0,2,2,2,2,1,1,0,0,1
48,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,3,5,5,3,1,0,0,2,0,0,1,0,1,2,1,1,0,1,1,1,1,2,0,2,0,2,1
49,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,0,1,2,6,1,-1,0,0,2,1,1,2,0,2,1,1,2,2,2,2,1,2,2,0,2,2,0
50,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,1,2,6,1,-1,2,0,2,1,1,2,2,0,1,1,1,1,2,2,1,2,2,2,1,2,0
51,0,0,2,0,0,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,0,3,1,3,1,0,0,-1,0,0,1,2,2,0,2,0,0,2,2,0,0,2,2,1,2,2,2,2,2
52,0,1,1,3,2,2,2,3,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,0,1,1,2,0,6,5,1,-1,1,2,2,0,0,0,2,0,2,1,2,2,1,1,1,2,2,0,0,0,1
53,0,0,2,0,4,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,0,3,1,2,4,7,0,15,2,1,0,0,1,1,1,1,2,1,2,2,2,1,0,2,0,1,0,0,0
54,0,1,0,3,1,4,1,4,12,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,2,1,0,1,0,1,1,10,1,2,0,2,2,1,0,2,2,1,0,2,0,2,1,0,0,2,1,1,0
55,0,0,0,2,2,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,1,0,2,0,6,4,0,25,2,0,2,0,2,2,2,0,0,1,1,1,0,2,1,2,0,2,1,2,1
56,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,3,5,5,3,1,1,2,0,0,1,2,0,0,2,1,2,0,0,0,2,2,0,1,1,1,0,2
57,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,1,2,2,0,1,0,6,1,-1,1,2,0,0,0,1,0,1,1,1,1,0,2,0,2,1,2,2,1,1,2
58,0,0,0,2,2,2,2,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,1,0,2,0,6,4,0,-1,2,1,0,2,0,0,1,1,1,0,2,1,2,1,2,1,0,2,1,0,2
59,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,1,2,6,1,-1,0,0,0,1,1,2,1,0,2,1,2,2,0,1,1,2,2,0,1,0,1
60,0,0,2,0,0,0,3,6,-1,2,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,1,0,4,4,3,2,0,-1,1,1,0,0,0,0,1,1,2,0,0,2,0,1,0,2,1,0,0,0,1
61,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,3,5,5,3,1,1,2,0,0,1,0,0,2,0,1,1,2,2,0,0,1,1,1,0,0,0,1
62,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,3,5,5,3,1,0,0,2,1,1,2,2,0,0,1,1,2,0,0,1,1,1,0,1,2,1,0
63,0,0,2,0,0,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,0,3,1,3,1,0,0,-1,2,0,2,2,1,0,2,1,2,1,1,1,1,1,2,1,0,1,2,2,2
64,0,0,2,0,0,0,3,2,-1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,0,3,1,3,1,0,0,-1,2,0,2,2,2,2,2,1,2,1,2,2,1,1,0,1,2,0,0,0,0
65,0,0,0,2,2,2,2,3,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,1,1,2,0,6,5,0,28,2,0,1,1,1,2,0,0,0,2,0,1,0,0,1,1,2,1,0,1,2
66,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,-1,0,2,0,0,0,0,2,2,0,0,1,2,0,0,2,1,2,0,2,0,0
67,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,-1,2,2,2,0,1,2,2,0,0,1,2,1,0,1,2,1,2,1,0,2,2
68,0,0,2,2,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,0,3,1,2,4,7,0,12,1,2,2,0,0,0,1,2,2,1,1,1,1,0,1,2,0,0,2,0,2
69,0,0,0,2,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,0,3,1,2,4,7,0,-1,0,0,2,0,1,0,0,0,0,1,1,2,2,1,0,2,2,1,1,2,2
70,0,0,0,2,2,5,5,0,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,0,1,1,2,4,7,0,-1,1,2,0,1,0,2,0,0,2,0,2,2,2,1,1,0,2,2,2,0,0
71,0,0,2,0,0,0,3,7,13,2,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,0,1,0,4,4,3,2,0,29,0,0,0,0,1,2,1,0,0,1,0,2,1,1,2,0,0,2,2,2,0
72,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,6,0,2,0,1,1,1,2,1,2,1,1,2,0,2,1,0,2,2,1,1,2
73,0,0,0,2,4,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,1,0,2,0,6,4,0,23,2,1,1,2,1,1,2,0,1,2,2,0,2,0,1,0,0,1,1,1,0
74,0,1,1,1,3,1,4,1,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,3,5,5,3,1,-1,0,0,1,2,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1
75,0,0,2,0,0,0,6,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,0,3,1,3,1,0,0,-1,0,1,0,2,0,1,0,2,1,1,1,0,2,2,1,1,0,1,0,1,0
76,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,8,2,1,0,0,1,2,0,1,0,2,1,2,1,1,2,1,1,0,0,1,0
77,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,-1,0,2,0,1,1,1,0,1,1,0,1,2,1,0,1,2,0,2,1,1,1
78,0,0,2,0,4,5,6,0,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,6,0,0,0,0,3,1,2,4,7,0,12,0,0,0,0,0,2,1,2,0,0,0,2,1,1,0,2,0,2,0,0,2
79,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,5,1,2,2,0,1,0,1,2,2,2,1,1,0,0,1,0,1,1,0,1,0
80,0,0,0,2,2,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,1,0,2,0,6,4,0,25,0,0,1,0,2,0,2,1,2,2,0,1,2,0,2,1,1,0,0,2,1
81,0,0,2,0,0,0,3,6,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,0,3,1,3,1,0,0,-1,1,2,0,0,1,2,0,0,1,0,2,2,2,1,2,0,1,0,0,1,2
82,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,-1,2,2,1,2,0,2,2,1,0,2,2,1,1,2,0,2,0,0,0,1,2
83,0,0,0,2,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,0,1,1,2,4,7,0,-1,0,1,1,2,0,0,0,0,0,2,2,1,0,1,0,1,1,1,0,0,2
84,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,-1,1,1,0,0,0,1,1,2,2,0,2,2,1,2,0,2,0,0,1,2,0
85,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,-1,1,2,1,1,1,2,2,2,2,2,1,1,1,0,0,1,2,1,1,1,2
86,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,5,0,0,0,1,0,1,2,1,2,2,1,0,0,2,0,1,0,1,0,1,0
87,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,3,5,5,3,1,1,0,2,1,1,0,0,0,2,1,0,2,2,0,1,0,1,1,1,0,0,1
88,0,1,1,3,1,4,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,2,1,0,1,0,1,1,-1,2,1,2,0,1,2,0,0,1,1,1,1,1,0,2,2,0,0,0,1,2
89,0,0,0,2,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,0,1,1,2,4,7,0,-1,2,0,2,1,2,0,1,0,2,0,0,1,0,1,2,1,2,1,1,2,2
90,0,0,0,2,4,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,1,0,2,0,6,4,0,23,1,0,2,2,1,1,1,1,2,0,0,0,1,2,1,2,1,1,1,0,0
91,0,0,0,2,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,0,1,1,2,4,7,0,-1,1,0,0,2,2,2,0,1,0,1,1,1,2,2,2,1,2,2,0,2,2
92,0,0,0,2,2,2,2,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,1,0,2,0,6,4,0,-1,2,2,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1
93,0,0,0,2,2,2,2,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,1,0,2,0,6,4,0,26,1,2,2,2,2,1,0,2,2,2,2,0,2,1,2,0,0,0,0,1,0
94,0,1,1,3,2,2,2,3,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,0,1,1,2,0,6,5,1,-1,1,1,2,1,1,1,2,1,2,1,1,0,2,0,1,0,2,1,0,2,1
95,0,0,0,2,4,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,0,1,1,2,4,7,0,-1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,2,2,2,1
96,0,0,0,2,4,3,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,1,0,4,4,3,4,0,-1,1,0,1,1,1,2,2,2,0,1,1,2,1,0,0,1,1,0,0,0,0
97,0,0,2,0,4,3,0,7,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,1,0,4,4,3,2,0,-1,1,2,0,2,0,2,2,0,0,2,1,0,2,1,2,2,1,1,2,1,1
98,0,0,0,2,4,3,0,7,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,1,0,4,4,3,2,0,-1,1,1,2,1,0,0,0,1,2,2,0,1,1,0,0,2,0,2,0,0,0
99,0,0,0,2,4,5,5,0,15,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,0,3,1,2,4,7,0,-1,0,2,2,1,2,1,0,2,1,1,0,2,1,0,2,0,2,1,1,0,2
100,0,0,2,2,4,3,0,7,-1,2,0,0,0,0,0,0,0,0,0,2,2,4,3,5,1,0,0,1,0,4,4,3,2,0,-1,1,1,2,0,2,2,1,2,1,0,2,2,0,2,0,1,0,2,2,2,2
101,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,2,1,1,0,2,0,2,2,2,1,0,0,1,2,1,1,1,2,2,2,1,0
102,0,1,1,1,3,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,2,2,3,5,2,6,1,-1,1,0,1,1,1,2,2,2,2,2,0,0,2,2,0,1,2,2,0,2,1
103,0,1,1,1,3,1,4,1,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,2,2,3,5,5,3,1,-1,0,0,2,2,1,0,1,0,1,1,0,0,1,1,0,0,0,1,2,0,2
