,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23
22,0,0,0,3,4,4,2,6,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,1,3,2,3,7,0,28,2,2,2,1,0,1,0,2,2,2,1,1,0,1,1,0,2,2,2,1,0,0,1
23,0,0,2,1,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,2,0,1,0,2,6,0,12,0,1,1,0,0,1,2,1,2,1,0,0,0,1,0,2,0,0,0,2,1,0,1
24,0,0,2,1,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,4,5,6,0,0,0,2,0,1,0,2,6,0,12,2,1,0,1,1,0,2,0,2,0,1,1,0,1,1,1,0,2,1,2,0,0,0
25,0,0,2,1,3,3,0,7,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,2,0,1,4,1,1,0,-1,0,0,1,2,0,1,0,1,1,2,2,1,0,2,0,2,1,1,2,2,0,0,2
26,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,6,2,0,2,0,2,2,2,0,1,1,1,0,0,2,1,0,2,0,2,0,1,2,0
27,0,0,0,3,4,5,6,2,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,2,1,1,0,2,6,0,-1,1,0,2,0,0,1,2,0,2,2,1,2,1,2,1,2,1,1,1,0,2,2,1
28,0,0,2,1,3,3,5,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,2,0,1,4,1,1,0,16,2,1,0,2,2,1,0,1,2,0,1,2,1,1,0,2,2,1,2,2,0,1,2
29,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,1,1,2,1,6,0,1,-1,0,1,2,1,2,2,0,0,1,0,1,2,1,1,1,2,2,2,2,0,0,2,0
30,0,0,2,1,3,0,4,3,4,2,0,0,0,0,0,0,0,0,0,2,1,4,3,1,1,0,0,0,2,0,3,4,3,0,-1,1,2,1,0,1,1,1,2,1,2,1,0,1,0,1,1,2,1,0,0,1,0,0
31,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,7,2,1,2,0,0,2,0,2,2,1,1,1,0,2,0,2,0,0,2,0,2,2,1
32,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,1,1,1,2,1,6,0,1,-1,1,2,0,1,0,0,2,2,1,2,0,1,0,0,2,0,0,1,2,2,1,0,1
33,0,0,2,1,3,3,0,7,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,2,0,1,4,1,1,0,-1,1,2,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,2,1
34,0,0,2,1,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,2,0,1,0,2,6,0,12,0,1,1,2,0,1,0,0,1,1,1,0,2,0,1,0,2,2,2,2,0,0,2
35,0,0,2,1,1,0,4,3,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,0,2,0,3,4,3,0,20,1,0,0,0,0,2,1,0,2,1,2,0,2,2,1,1,0,2,2,2,0,1,0
36,0,0,0,3,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,2,1,1,0,2,6,0,-1,1,1,0,2,0,0,0,1,0,1,0,0,2,1,2,1,0,0,1,2,0,1,2
37,0,0,0,3,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,2,1,1,0,2,6,0,-1,2,1,0,2,1,0,0,0,2,1,0,0,2,2,2,1,1,1,2,2,1,1,0
38,0,0,2,1,1,5,0,7,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,2,0,1,0,2,6,0,-1,2,0,1,2,1,0,1,1,2,0,2,0,1,0,2,2,0,1,1,2,2,0,0
39,0,0,0,3,4,4,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,1,3,2,3,2,0,-1,0,2,1,0,0,0,2,2,1,0,1,1,1,1,2,1,0,1,0,0,0,2,2
40,0,0,2,1,3,3,5,5,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,2,0,1,4,1,1,0,-1,2,2,2,0,2,2,2,1,0,0,1,1,0,0,2,1,2,0,0,1,0,1,2
41,0,0,2,1,3,3,5,5,10,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,2,0,1,4,1,1,0,-1,1,0,0,2,2,0,1,0,0,2,2,2,2,0,2,2,1,1,2,1,1,1,0
42,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,9,2,2,2,0,1,2,2,1,1,2,0,2,2,2,2,1,1,2,0,1,2,0,0
43,0,0,2,1,1,0,4,3,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,0,2,0,3,4,3,0,20,1,2,2,0,2,2,2,0,2,2,0,1,0,2,1,1,1,0,1,1,2,1,0
44,0,0,0,3,4,4,2,6,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,1,3,2,3,2,0,27,2,2,2,2,0,1,1,0,1,0,1,0,1,0,2,0,1,2,0,1,2,2,1
45,0,1,1,2,0,2,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,1,3,4,5,5,5,1,-1,1,0,0,2,2,2,0,0,2,1,0,1,0,0,2,2,1,1,0,1,1,0,0
46,0,0,0,3,4,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,2,3,2,3,2,0,24,1,2,2,2,2,2,0,0,1,1,2,0,0,1,0,2,2,2,2,0,1,2,0
47,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,-1,1,0,1,0,0,1,0,2,0,1,2,2,0,1,0,0,2,0,2,2,0,2,2
48,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,1,3,4,5,5,5,1,0,2,0,2,2,2,1,2,0,2,0,1,2,0,0,2,2,0,0,1,0,0,0,1
49,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,1,3,2,1,0,4,1,-1,1,0,1,1,0,1,2,0,1,2,1,1,0,0,2,1,1,1,2,2,0,1,2
50,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,1,3,4,1,0,4,1,-1,2,0,1,1,1,2,2,1,2,2,2,1,2,0,0,1,2,0,2,0,0,0,0
51,0,0,2,1,3,3,0,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,2,0,1,4,1,1,0,-1,0,2,2,2,0,0,2,0,0,0,0,2,2,0,2,0,1,1,2,0,2,1,0
52,0,1,1,0,4,4,2,6,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,0,0,1,3,2,3,7,1,-1,0,0,2,1,0,2,0,1,1,2,2,2,0,1,2,1,0,1,0,2,1,0,0
53,0,0,2,1,3,3,0,7,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,1,2,0,0,2,0,1,0,2,6,0,15,1,1,1,2,0,1,2,1,1,0,0,2,1,0,1,2,2,2,1,2,1,0,1
54,0,1,0,0,2,1,3,4,12,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,3,0,1,1,1,2,1,6,0,1,10,1,1,2,0,1,2,2,2,1,1,2,2,0,1,2,2,1,1,0,0,0,1,2
55,0,0,0,3,4,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,0,2,3,2,3,2,0,25,0,2,2,1,0,1,1,0,1,2,2,1,0,2,1,2,0,1,0,0,0,0,0
56,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,1,3,4,5,5,5,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,2,1,1,1,0,2
57,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,6,0,1,1,3,2,1,6,4,1,-1,1,1,1,2,1,2,2,0,1,0,0,2,2,1,0,1,1,2,1,0,0,2,0
58,0,0,0,3,4,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,2,3,2,3,2,0,-1,0,0,2,2,1,0,1,2,1,1,2,0,1,0,1,2,0,0,1,2,0,2,0
59,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,1,3,4,1,0,4,1,-1,0,1,2,1,1,2,1,2,1,1,1,2,1,2,2,0,1,1,1,2,0,1,2
60,0,0,2,1,3,3,5,5,-1,2,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,0,2,0,3,4,3,0,-1,2,1,2,0,2,2,0,1,0,0,0,1,1,2,0,2,2,2,0,2,2,1,0
61,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,1,3,4,5,5,5,1,1,0,1,0,0,1,1,0,2,2,2,2,0,0,1,2,1,2,2,0,0,1,0,0
62,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,1,3,4,5,5,5,1,0,0,1,1,2,1,1,2,1,2,0,2,0,2,2,1,1,2,1,0,0,0,2,0
63,0,0,2,1,3,3,0,7,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,2,0,1,4,1,1,0,-1,1,0,1,0,2,2,0,2,2,0,0,0,1,1,1,1,1,1,0,2,1,1,0
64,0,0,2,1,3,3,5,7,-1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,1,2,0,0,2,0,1,4,1,1,0,-1,1,1,2,1,0,1,2,1,1,2,1,2,1,0,0,2,1,0,0,2,1,0,1
65,0,0,0,3,4,4,2,6,8,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,1,3,2,3,7,0,28,0,1,0,1,0,0,0,0,1,0,1,2,1,2,1,2,1,1,0,1,1,0,0
66,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,1,3,4,5,0,4,1,-1,0,0,1,1,1,1,2,1,0,0,0,1,0,2,0,1,0,2,1,2,1,1,1
67,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,-1,0,1,0,0,2,0,1,0,2,2,0,0,1,2,2,0,1,0,2,0,0,0,1
68,0,0,2,1,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,2,0,1,0,2,6,0,12,2,0,0,2,2,2,0,1,0,1,0,2,0,0,0,1,2,1,2,1,2,2,2
69,0,0,0,3,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,2,0,1,0,2,6,0,-1,1,2,2,0,0,2,1,0,0,1,2,2,0,0,2,2,2,1,0,2,2,2,0
70,0,0,0,3,4,5,6,2,9,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,2,1,1,0,2,6,0,-1,0,0,0,2,0,0,2,1,2,0,1,0,0,1,1,2,2,0,0,0,1,2,0
71,0,0,2,1,3,3,5,3,13,2,0,0,0,0,0,0,0,0,0,2,1,4,4,1,1,0,0,0,2,0,3,4,3,0,29,0,0,2,2,0,2,1,1,0,2,0,2,0,0,0,0,0,2,1,0,0,2,2
72,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,6,0,0,2,2,2,2,2,0,2,2,2,2,0,1,1,0,0,2,0,0,0,0,1
73,0,0,0,3,1,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,2,3,2,3,2,0,23,2,0,0,0,1,0,0,1,2,0,0,0,0,2,2,1,2,0,1,1,2,2,0
74,0,1,1,2,0,2,1,1,14,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,1,3,4,5,5,5,1,-1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,0,0,0,0,1,2,2,1,0
75,0,0,2,1,3,3,0,7,1,1,0,0,0,0,0,0,0,0,0,2,1,4,4,1,2,0,0,2,0,1,4,1,1,0,-1,2,0,2,0,1,0,2,2,0,2,2,1,1,1,2,1,0,1,0,2,2,1,2
76,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,8,1,0,2,0,2,1,2,2,0,0,2,1,0,2,0,0,1,0,0,2,0,0,0
77,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,-1,0,0,0,2,1,2,2,2,1,2,1,0,2,2,0,0,1,2,1,0,1,2,1
78,0,0,2,1,1,5,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,4,5,6,0,0,0,2,0,1,0,2,6,0,12,2,0,0,2,0,2,0,0,2,2,0,1,0,2,1,0,0,0,0,1,1,0,2
79,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,1,3,4,5,0,4,1,5,1,2,2,2,0,2,2,0,1,1,1,1,2,2,2,1,0,1,2,2,2,0,0
80,0,0,0,3,4,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,5,4,0,0,0,2,3,2,3,2,0,25,0,0,0,2,2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2,0,2,2
81,0,0,2,1,3,3,5,5,1,1,0,0,0,0,0,0,0,0,0,2,1,2,4,2,5,0,0,2,0,1,4,1,1,0,-1,1,0,0,1,0,2,0,1,1,0,0,2,2,1,1,0,1,1,1,1,2,0,1
82,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,-1,1,0,1,1,0,1,0,1,2,0,2,2,2,0,1,0,1,2,0,2,1,2,2
83,0,0,0,3,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,2,1,1,0,2,6,0,-1,1,1,0,0,1,1,0,0,2,0,1,1,1,1,1,0,2,0,0,1,2,0,1
84,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,1,3,4,5,0,4,1,-1,0,2,0,2,1,1,2,2,1,1,1,0,2,0,2,1,2,0,0,2,1,2,1
85,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,1,3,4,5,0,4,1,-1,1,1,1,2,0,1,0,1,0,0,0,1,2,2,1,2,2,0,2,0,2,2,2
86,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,6,0,1,1,3,4,5,0,4,1,5,2,1,2,0,0,0,0,2,0,0,0,1,2,2,0,1,2,0,0,0,0,0,0
87,0,1,1,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,7,0,1,1,3,4,5,5,5,1,1,2,1,2,0,1,1,0,2,2,1,2,0,1,0,1,0,1,1,1,2,1,0,2
88,0,1,1,0,2,1,3,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,4,3,0,1,1,1,2,1,6,0,1,-1,1,2,1,0,1,2,0,2,2,2,0,2,2,1,1,1,0,0,1,2,0,0,1
89,0,0,0,3,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,2,1,1,0,2,6,0,-1,0,2,2,1,0,2,1,1,2,0,1,2,2,2,1,0,2,0,2,0,1,0,0
90,0,0,0,3,1,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,4,0,0,0,2,3,2,3,2,0,23,2,0,0,1,0,0,1,0,0,2,2,0,0,1,2,0,1,2,2,2,0,2,1
91,0,0,0,3,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,2,1,1,0,2,6,0,-1,1,0,0,2,0,2,1,2,0,0,2,0,1,1,0,1,2,0,1,0,1,0,1
92,0,0,0,3,4,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,2,3,2,3,2,0,-1,0,0,1,2,1,0,2,2,0,1,0,1,2,1,1,1,2,1,0,2,2,2,0
93,0,0,0,3,4,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,3,4,0,0,0,2,3,2,3,2,0,26,1,2,1,2,1,1,2,1,0,0,0,1,2,2,0,1,1,2,0,1,0,0,1
94,0,1,1,0,4,4,2,6,11,2,0,0,0,0,0,0,0,0,1,0,0,0,1,3,4,0,0,0,1,3,2,3,7,1,-1,2,2,2,0,2,2,1,0,0,1,1,1,0,1,0,2,0,2,0,0,2,0,2
95,0,0,0,3,1,5,6,2,1,1,0,0,0,0,0,0,0,0,0,0,2,3,5,6,0,0,0,2,1,1,0,2,6,0,-1,1,1,2,1,0,2,1,2,1,2,0,2,2,1,1,2,0,0,0,0,0,1,0
96,0,0,0,3,1,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,0,0,2,0,3,4,2,0,-1,2,2,2,2,1,1,2,2,1,1,0,1,1,1,1,1,1,2,2,0,2,2,1
97,0,0,2,1,1,0,4,3,2,2,0,0,0,0,0,0,0,0,0,2,1,4,3,5,1,0,0,0,2,0,3,4,3,0,-1,2,2,1,2,0,0,0,1,1,0,1,1,2,0,1,0,2,1,0,1,0,1,1
98,0,0,0,3,1,0,4,3,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,0,0,2,0,3,4,3,0,-1,2,2,1,1,0,2,1,1,0,2,2,2,1,2,2,1,1,1,1,1,0,2,2
99,0,0,0,1,1,5,6,2,15,1,0,0,0,0,0,0,0,0,0,2,2,3,5,6,0,0,0,2,0,1,0,2,6,0,-1,0,0,2,1,1,2,2,2,1,1,0,0,1,1,0,2,0,0,0,2,1,0,0
