,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34
19,0,0,2,3,4,2,4,7,5,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,0,0,4,1,5,2,-1,1,0,2,1,0,0,1,1,1,2,1,1,2,2,1,1,1,2,2,0,0,0,1,2,0,2,1,2,2,0,0,1,0,0
20,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,3,4,0,-1,1,2,2,2,2,2,2,0,2,1,1,2,1,0,0,1,2,2,0,2,2,1,2,1,0,2,0,1,2,0,1,0,0,0
21,0,0,1,0,0,1,4,6,6,3,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,0,0,2,3,4,4,1,5,0,-1,2,2,1,1,0,0,2,2,2,1,1,1,0,0,0,1,2,0,0,0,2,1,0,1,2,0,0,2,0,0,1,2,1,0
22,0,1,0,1,3,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,3,0,0,3,1,-1,1,1,1,1,0,2,0,1,2,0,0,2,2,2,1,2,2,1,1,2,0,1,1,2,0,1,1,2,1,0,1,0,1,2
23,0,0,2,3,4,4,4,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,0,0,4,1,5,2,11,0,2,0,1,2,1,1,2,2,0,2,0,2,1,0,2,0,0,2,0,2,0,1,0,1,0,1,0,0,0,2,0,2,0
24,0,0,2,3,4,2,4,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,0,0,4,1,5,2,11,0,0,0,1,1,2,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0,2,2,2,1,1,0,1,2,1,0,2,0,2
25,0,0,2,2,2,3,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,4,3,2,0,2,8,0,2,1,1,1,1,1,2,1,2,0,1,2,1,2,0,2,0,2,0,0,0,0,2,0,2,2,1,2,0,1,0,1,2
26,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,3,4,0,2,0,2,0,0,1,2,1,0,2,0,1,1,0,0,0,0,1,2,2,2,0,0,1,1,0,1,0,1,2,2,2,1,2,2
27,0,1,0,3,4,4,1,4,8,4,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,0,0,4,1,5,2,-1,1,2,1,0,2,2,1,2,2,2,2,1,2,1,2,1,0,0,0,2,1,2,0,2,2,0,0,1,0,2,1,0,2,0
28,0,0,2,2,2,2,6,2,9,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,4,3,2,0,2,12,1,0,2,0,2,2,0,1,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,2,2,1,1,2,2,2,0,0
29,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,3,4,0,-1,2,2,1,1,2,1,0,2,1,2,0,1,1,2,1,1,1,2,2,0,1,1,2,1,2,2,0,0,0,2,0,0,2,2
30,0,1,0,1,1,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,0,2,1,5,2,1,-1,0,2,0,1,0,1,1,2,1,0,0,1,2,2,1,1,2,0,2,1,1,1,2,0,2,1,2,2,2,2,1,1,0,2
31,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,4,1,0,-1,1,1,0,0,2,1,0,0,2,0,0,1,2,2,2,1,2,2,2,2,1,1,1,1,0,2,2,1,2,2,0,1,1,0
32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,3,4,0,-1,0,0,2,0,2,0,2,2,0,1,2,0,2,1,0,0,0,1,2,0,2,0,1,1,2,2,1,1,2,2,1,2,0,2
33,0,0,2,2,2,3,2,6,-1,-1,2,0,0,0,0,0,0,0,1,1,3,2,1,1,6,0,0,2,3,4,3,2,0,0,-1,2,1,1,1,2,2,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,2,2,1,2,1,1,0,1,2,2,2
34,0,0,2,3,4,2,4,7,10,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,2,0,0,2,0,0,4,1,5,2,-1,0,0,1,1,2,1,1,2,0,0,0,0,2,2,2,2,0,2,0,1,2,0,1,1,0,1,0,1,0,0,2,0,2,0
35,0,1,0,1,1,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,0,2,1,5,2,1,-1,2,0,2,0,0,1,0,2,2,1,2,1,2,1,1,1,0,1,2,1,1,1,2,0,2,0,0,2,0,2,1,1,0,0
36,0,1,0,3,4,4,1,4,-1,1,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,0,0,0,4,1,5,2,-1,1,0,0,0,0,1,2,2,0,2,0,1,2,2,0,2,1,2,2,1,1,2,1,0,0,1,1,0,0,0,1,2,2,2
37,0,1,0,3,1,4,1,4,-1,-1,0,0,0,0,0,0,0,0,0,0,1,4,5,3,3,0,1,0,0,0,4,1,5,1,-1,1,1,1,1,1,1,2,1,2,0,1,1,0,0,2,0,0,2,1,0,1,1,2,1,0,0,1,1,2,1,0,0,1,1
38,0,1,2,3,4,4,1,2,-1,5,0,0,0,0,0,0,0,0,0,2,1,3,5,3,6,0,1,2,0,0,4,1,5,2,-1,2,0,2,1,0,0,2,2,2,0,2,0,2,0,2,2,0,1,0,0,0,2,0,0,0,1,0,2,2,2,0,2,0,0
39,0,1,0,1,1,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,0,2,1,5,7,1,22,1,1,1,2,0,1,2,0,0,0,2,2,1,1,1,0,2,1,2,1,1,0,2,0,2,0,1,1,0,0,1,0,2,1
40,0,0,2,2,2,2,6,2,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,0,2,0,0,2,3,4,3,2,0,2,12,0,0,2,1,1,2,1,0,2,2,2,2,1,0,1,2,2,1,2,2,1,1,1,1,1,2,0,2,2,1,2,0,0,0
41,0,0,2,2,2,3,2,5,-1,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,4,3,2,0,2,-1,1,2,1,0,1,1,0,0,0,0,2,1,2,0,2,2,2,1,2,2,1,1,1,0,2,2,0,0,0,1,0,1,0,2
42,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,4,1,0,6,0,0,0,2,2,0,1,1,0,2,0,2,1,2,0,0,1,0,0,0,2,2,2,1,2,0,2,2,2,1,0,2,2,0
43,0,1,0,1,1,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,0,2,1,5,2,1,-1,0,1,2,2,0,1,1,1,1,2,1,2,0,0,1,1,1,0,0,0,2,0,2,2,1,1,0,2,0,2,1,0,2,0
44,0,1,0,1,3,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,3,0,0,7,1,-1,2,1,2,2,2,2,1,1,0,2,0,1,1,2,1,0,0,1,0,0,2,2,2,2,1,1,2,2,2,1,2,2,0,2
45,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,6,6,0,-1,1,1,0,1,1,1,1,0,0,1,2,2,0,2,1,1,0,0,0,2,2,1,2,1,2,0,2,0,1,1,0,2,1,1
46,0,1,0,1,3,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,3,0,0,3,1,20,1,2,0,0,0,0,1,1,1,2,1,2,1,2,2,0,1,2,1,1,1,2,2,0,2,0,1,1,2,0,2,1,2,0
47,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,3,4,0,-1,1,1,0,0,1,1,0,2,1,0,0,0,0,1,2,0,2,1,0,1,0,2,1,2,0,0,2,1,1,2,1,2,0,1
48,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,6,6,0,-1,2,2,2,2,0,1,2,0,2,0,1,1,1,2,0,1,0,1,2,1,0,2,0,2,2,1,1,0,0,2,0,2,0,0
49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,3,4,0,-1,2,0,1,1,0,1,1,0,0,1,2,1,1,1,0,1,1,2,2,0,1,0,0,0,1,0,2,0,0,1,0,0,1,1
50,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,3,4,0,4,1,2,2,2,1,1,0,1,0,0,0,2,0,1,0,2,0,1,1,0,2,2,1,1,2,1,2,1,1,1,0,0,2,1
51,0,0,2,2,2,3,2,6,4,1,0,0,0,0,0,0,0,0,1,2,3,2,2,1,2,0,0,2,3,4,3,2,0,2,8,0,2,1,2,0,0,0,0,0,1,1,1,0,0,2,2,0,1,0,1,1,0,1,1,2,2,0,0,1,2,2,2,1,0
52,0,1,0,1,3,0,3,3,11,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,3,0,0,3,1,-1,1,0,0,1,2,2,1,1,0,1,1,0,0,0,0,0,1,2,2,1,1,2,1,0,1,0,0,2,0,0,0,2,2,0
53,0,0,2,2,2,2,4,6,12,1,0,0,0,0,0,0,0,0,1,2,3,3,4,4,2,0,0,2,3,4,3,2,0,2,-1,0,1,0,1,1,0,0,0,1,2,2,0,2,1,1,0,2,2,0,0,1,1,2,2,1,2,2,0,1,0,1,2,2,0
54,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,4,1,0,-1,1,0,0,0,2,2,2,2,0,1,2,1,2,0,2,0,0,0,2,0,0,0,2,0,1,2,0,1,0,0,0,2,2,2
55,0,1,0,1,1,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,1,0,1,0,0,2,1,5,7,1,-1,1,2,1,2,0,1,0,1,2,0,0,0,0,0,1,0,1,2,2,2,0,0,1,2,2,1,2,0,2,0,1,2,1,0
56,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,6,6,0,0,1,2,0,0,0,1,1,2,1,1,1,2,0,1,0,0,2,1,2,0,0,2,2,0,1,2,0,1,0,2,0,2,2,0
57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,3,4,0,-1,2,2,2,0,1,2,0,0,1,2,2,1,0,1,2,2,2,1,1,1,2,2,0,2,0,2,1,0,2,0,1,1,0,1
58,0,1,0,1,3,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,3,0,0,3,1,-1,0,1,2,2,1,2,2,0,2,1,0,1,2,1,2,2,1,2,1,1,0,0,1,1,2,1,2,1,1,2,2,0,2,1
59,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,3,4,0,4,2,2,1,0,0,0,0,2,1,1,2,1,1,0,2,0,2,0,1,0,2,1,2,1,2,1,1,0,0,1,2,1,2,1
60,0,1,0,1,1,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,5,3,0,1,0,0,2,1,5,2,1,-1,1,0,0,1,0,2,1,1,1,0,0,1,0,1,2,0,1,2,2,1,0,1,2,2,0,0,1,0,2,2,0,2,2,0
61,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,6,6,0,0,0,1,0,2,2,2,1,1,2,1,0,0,0,2,2,2,1,2,0,0,2,2,2,1,0,1,0,2,1,0,0,2,0,1
62,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,6,6,0,-1,2,1,1,1,2,0,2,2,2,1,1,0,2,1,1,1,0,1,0,1,1,0,1,2,2,1,2,0,1,1,1,2,1,2
63,0,0,2,2,2,3,2,5,13,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,6,0,0,2,3,4,3,2,0,2,14,2,0,1,2,2,1,0,2,0,0,1,2,2,2,1,0,0,0,2,2,0,2,0,1,0,0,0,2,1,2,2,1,0,0
64,0,1,0,1,1,5,5,1,-1,-1,-1,0,0,0,0,0,0,0,0,0,2,4,5,5,3,0,1,0,0,2,1,5,2,1,-1,0,2,2,2,0,0,0,1,2,2,0,0,2,1,1,2,0,1,2,2,1,2,0,1,2,2,0,2,2,1,1,1,2,0
65,0,1,0,1,3,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,3,0,0,3,1,-1,1,2,0,0,2,1,0,2,2,2,1,1,0,2,0,0,0,1,0,0,1,0,1,0,1,0,0,2,0,2,0,0,0,1
66,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,3,4,0,5,2,2,2,0,0,1,1,0,1,2,1,2,2,2,1,2,1,1,0,1,1,2,2,2,1,0,0,0,2,2,2,2,2,1
67,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,4,1,0,-1,1,2,0,1,1,2,1,0,2,0,0,1,1,0,1,0,1,0,2,1,2,2,0,1,0,0,1,1,2,0,0,1,1,2
68,0,0,2,3,4,4,4,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,1,2,0,0,4,1,5,2,11,0,2,0,1,2,1,0,2,1,2,1,2,1,0,1,1,2,2,1,2,0,1,2,1,1,2,1,1,2,2,1,2,0,0
69,0,0,2,3,4,2,4,7,14,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,0,0,4,1,5,2,-1,1,0,0,0,2,2,0,1,1,0,1,1,0,2,1,0,1,1,2,1,0,1,2,0,2,1,0,1,2,0,0,2,2,0
70,0,0,0,3,4,4,1,4,8,4,0,0,0,0,0,0,0,0,1,2,1,3,5,3,6,0,1,0,0,0,4,1,5,2,-1,0,1,2,0,0,0,0,2,0,2,0,0,0,1,0,0,2,0,1,1,2,0,0,1,2,1,1,1,0,2,2,1,1,1
71,0,1,0,1,1,5,5,1,15,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,3,0,1,0,0,2,1,5,2,1,-1,2,0,2,2,2,1,1,1,2,2,0,1,0,2,2,2,1,0,0,0,1,0,0,1,0,1,2,1,0,0,1,1,2,1
72,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,4,1,0,-1,2,0,2,0,2,1,0,0,1,0,2,0,1,1,2,0,2,2,1,2,1,0,0,1,1,2,1,2,1,1,1,0,0,1
73,0,1,0,1,1,5,5,1,2,2,0,0,0,0,0,0,0,0,0,0,2,4,3,5,1,0,1,0,0,2,1,5,7,1,-1,0,1,0,0,1,2,2,2,0,2,0,2,1,2,1,0,2,1,2,0,2,1,1,2,0,2,1,0,1,2,1,1,1,1
74,0,0,1,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,3,4,0,-1,2,0,2,1,0,1,0,1,0,1,1,1,0,2,0,1,1,1,1,1,0,1,2,2,2,0,0,1,1,2,0,2,1,2
75,0,0,2,2,2,3,2,6,-1,6,0,0,0,0,0,0,0,0,1,2,3,2,1,1,2,0,0,2,3,4,3,2,0,2,14,0,2,1,1,2,2,2,1,2,0,1,1,0,1,1,2,1,0,0,2,0,1,1,1,2,0,2,2,0,0,0,1,2,2
76,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,3,4,0,-1,2,0,0,1,2,2,2,0,2,1,1,2,2,1,0,2,2,2,1,2,2,0,1,2,0,1,1,0,0,0,1,2,1,0
77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,4,1,0,-1,2,0,2,1,2,1,2,0,0,2,0,2,2,2,0,2,2,1,2,1,0,1,0,0,1,2,1,1,1,1,1,1,0,1
78,0,0,2,3,4,2,4,7,7,1,0,0,0,0,0,0,0,0,1,2,1,3,4,4,6,0,0,2,0,0,4,1,5,2,11,1,1,0,0,2,2,2,2,2,2,0,1,0,1,1,0,1,1,0,2,2,2,1,1,2,1,2,2,0,0,1,0,2,1
79,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,0,2,3,4,0,4,1,1,2,1,0,0,2,1,0,0,1,1,2,0,0,1,0,2,2,0,2,1,0,0,2,2,1,0,2,0,0,1,0,0
80,0,1,0,1,3,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,2,0,3,6,1,0,1,0,2,3,0,0,3,1,-1,1,1,1,2,0,2,1,1,1,2,2,0,0,2,2,2,0,0,0,0,1,1,1,2,1,2,1,1,0,2,2,1,2,2
81,0,1,2,3,4,2,6,2,17,1,0,0,0,0,0,0,0,0,1,2,1,3,4,0,2,0,0,2,3,4,3,2,0,2,12,1,1,2,2,0,2,0,2,1,1,2,1,0,2,1,1,0,1,1,1,1,1,1,0,0,1,0,1,2,2,1,1,0,1
82,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5,0,0,1,1,1,5,4,1,0,-1,2,1,1,1,1,2,2,2,0,0,1,2,2,2,2,2,0,1,0,1,1,2,0,1,1,1,0,2,2,2,0,0,2,2
